8ba62b48164c7f512e018f0a7b2302d75ee769a61b94e0c39dbbd52046e8aed8,c5027ef294463a3a755b37c9a6a472a40e677279d109f05379e8f11b35a1006e,e7da3e37a4e749810974688dd263e5eac61aaacb5c421cc2bde86d53d8eed903,030e22258d2bc38d1e5a00b9783ab9339394bb10474ebf1333fe815357fd19f6,9e4a506b0266e4a37daf65c48ea08320a560fead81b459f00b163fe8520c54b3,5c580288a5d4680a0dd453e96db8e43241f537ac2ec81a1148f53d663de7eeb8,64385822b15b5d18fa7107e779fb0f209f158f373258997e9e201b1967bcc457,e96ff67e03c0a9d9b588542d70dcc1db468edd7708070079a531b87026c3df6f,fbe2205b8b6baa4a1bbc768eea175bde5f866ff29e8e993d25c4b083fe3e516b,297c3533dce490fc39b3f2b5e59deb9c5d5df5b73cede0db3d2872f7d3b0cd79,9f8713a2c868d2382b0e85843f41480d87a18ec436751b559455fd2eee460cdf,22362c30c0ec57bc02adebc5bf9d57feb5c8754908461f67527f0f7a00072cb1,6d07952293f0b6ffc6868a51f9acef515ac95dcb99bbfd36b675685c62f1d39d,4f9b838949b2e14d4c1b13074bfd909ad4cd35fa490e1dfeec8b546060db9d12,0cc0c3ae143ffa549fed1180167e06238664537229b407188c0571d574b1d0c4,ad1d058850151fff88903e58c62c88d32aeb9694064fc4d761bf61ff7027517f,287758bd6da37a745bc9dc3f4142146a4536e1dfc24891835fad3469e4d8ce7c,31705338d733febad9e0e17ed3edd39a263b958997912a08f05c639b3ce44f66
"17001001","3","0","104","每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵","1","9","2","1","1","2000","9401","30","0","1","2","403"
"17001101","3","0","0","每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵","101","12","1","0","1","0","99401","30","0","1","2","403"
"17001102","0","0","0","","","102","13","0","0","1","0","99402","1","0","1","2","403"
"17001103","1","0","0","","","103","14","0","0","1","0","99403","7","0","1","2","403"
"17001104","3","0","0","","","104","15","0","0","1","0","99404","30","0","1","2","403"
"17001105","3","0","0","每日體力禮包第{1}天的獎勵","每日體力未領取的獎勵","105","32","1","0","1","0","99445","30","0","1","0","403"
"17001106","3","0","0","每日秘石禮包第{1}天的獎勵","每日秘石未領取的獎勵","106","41","1","0","1","0","99456","30","0","1","2","403"
"17001107","3","0","0","每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵","107","42","1","0","1","0","99401","30","0","1","2","403"
"17001109","3","0","104","每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵","2","75","1","0","1","0","9401","90","0","1","2","403"
"0","3","1","103","","","0","90","0","3","0","1000","9402","7","1","0","1","0"
"17001108","3","0","0","公主之心碎片每日禮包第{1}天的獎勵","公主之心碎片每日禮包未領取的獎勵","108","91","1","0","1","0","99517","30","0","1","2","403"
"0","3","1","103","","","0","139","0","3","0","1000","9402","30","1","0","1","0"
"17001110","0","0","103","體力應援包第{1}天的獎勵","","3","211","1","1","0","0","99559","7","0","2","3","405"
"0","0","0","0","","","4","212","0","0","34","0","9403","0","0","2","4","0"
"0","0","0","0","","","5","213","0","0","31","0","9404","0","0","4","4","0"
"0","0","0","0","","","6","214","0","0","37","0","9405","0","0","6","4","0"
"0","0","0","0","","","7","215","0","0","38","0","9406","0","0","8","4","0"
"0","0","0","0","","","8","517","0","0","38","0","9411","0","0","31","4","0"
"0","0","0","0","","","9","518","0","0","38","0","9412","0","0","33","4","0"
"0","0","0","908","","","109","519","0","0","0","0","9319","30","0","1","5","0"
"0","0","0","0","","","4","520","0","0","34","0","9407","0","0","23","4","0"
"0","0","0","0","","","5","521","0","0","31","0","9408","0","0","25","4","0"
"0","0","0","0","","","6","522","0","0","37","0","9409","0","0","27","4","0"
"0","0","0","0","","","7","523","0","0","38","0","9410","0","0","29","4","0"
"0","0","0","0","","","4","536","0","0","34","0","9413","0","0","24","4","0"
"0","0","0","0","","","5","537","0","0","31","0","9414","0","0","26","4","0"
"0","0","0","0","","","6","538","0","0","37","0","9415","0","0","28","4","0"
"0","0","0","0","","","7","539","0","0","38","0","9416","0","0","30","4","0"
"0","0","0","0","","","8","540","0","0","38","0","9417","0","0","32","4","0"
"0","0","0","0","","","9","541","0","0","38","0","9418","0","0","34","4","0"
