8a18da80a11f2e6278494c8003027dd1f46fc583d52738eb1e9fa44cfbf1cfef,2e0399a4faa0dcc36b3e64a871d1f58a14d2e1e648df0d001431ae8c6ff004af,194a0271bdda9db55b14d51899a55cf9e86121692f9b490d8cfd988c4fb46ccd,f41efb0dd2256bd943ffd24e0fb84adb3477df1fc66e9a68d5f5db7958671781,56dee8d424915f47277a7401995d7c724b591ec2289569e9f3e050eeb01a7e39,181482422fb2846493b7fb4a2dec071a2af16a1dd2f9216284cb39fea75da7fc,89798a8c2e538818f264ae96e460d567ab79e5691b110fbfa929b1c31e3a3aac,398dbdf48a42ed0687e5d8fe39c1f7398b529fd9f79beb1b6b7934f4d658a92f,27fcc62e884c28208725e76d2afa05999b6d7f27e0ed7f49b8ad22b7428c8062,40667edd3666db47548bfef98afb11120bdf59f945bf0dde78d4e1e21405ddd3,19e7957318011af211ebc2a1b80a5d61b2be1fd5de332bb7cd3909910e8ba9df
"-273","wac_215_karin_idle_normal","-345","111001","2","111","202","118511","1","1","0"
"170","wac_215_idle_joy1","-355","111002","2","111","205","105811","1","1","1"
"50","wac_215_idle_normal_joy","-325","111003","2","111","202","105911","1","1","1"
"300","wac_215_idle_arm_crossed","-330","111004","2","111","203","106011","1","1","1"
"450","wac_215_idle_normal2","-360","111005","2","111","204","106431","1","1","1"
"","","","111006","","111","","","131","1",""
"","","","112001","","112","","0","93","1",""
"","","","112002","0.2","112","1","wac_215_karin_talk_normal","3","118511",""
"0","","","112003","","112","0","vo_wac_220215_000","21","vo_wac_220215",""
"1","0.5","1","112004","0","112","10","【美食殿堂】的各位，\n謝謝你們過來！","11","118511","0"
"","","","112005","","112","","","91","112004",""
"","","","112006","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"wac_215_talk_normal","","1","112007","0.2","112","0","wac_215_peko_oissu","3","105811","0.2"
"0","","","112008","","112","0","vo_wac_220215_001","21","vo_wac_220215",""
"1","0.5","1","112009","0","112","10","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","11","105811","0"
"","","","112010","","112","","","91","112009",""
"","","","112011","0.2","112","1","wac_215_idle_normal","3","105811",""
"","","","112012","0.2","112","1","wac_215_karin_talk_normal","3","118511",""
"0","","","112013","","112","0","vo_wac_220215_002","21","vo_wac_220215",""
"1","0.5","1","112014","0","112","10","我今天有個重要的委託\n想要拜託各位。","11","118511","0"
"","","","112015","","112","","","91","112014",""
"","","","112016","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"wac_215_talk_arm_crossed_loop","","1","112017","0.2","112","0","wac_215_talk_arm_crossed","3","106011","0"
"0","","","112018","","112","0","vo_wac_220215_003","21","vo_wac_220215",""
"1","0.5","1","112019","0","112","10","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","11","106011","0"
"","","","112020","","112","","","91","112019",""
"","","","112021","0.2","112","1","wac_215_idle_arm_crossed","3","106011",""
"","","","112022","0.2","112","1","wac_215_karin_talk_normal","3","118511",""
"0","","","112023","","112","0","vo_wac_220215_004","21","vo_wac_220215",""
"1","0.5","1","112024","0","112","10","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","11","118511","0"
"","","","112025","","112","","","91","112024",""
"","","","112026","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"wac_215_talk_normal","","1","112027","0.2","112","0","wac_215_shefy_humu","3","106431","0.2"
"0","","","112028","","112","0","vo_wac_220215_005","21","vo_wac_220215",""
"1","0.5","1","112029","0","112","10","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","11","106431","0"
"","","","112030","","112","","","91","112029",""
"","","","112031","0.2","112","1","wac_215_idle_normal2_joy","3","106431",""
"","","","112032","0.2","112","1","wac_215_karin_talk_normal","3","118511",""
"0","","","112033","","112","0","vo_wac_220215_006","21","vo_wac_220215",""
"1","0.5","1","112034","0","112","10","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","11","118511","0"
"","","","112035","","112","","","91","112034",""
"","","","112036","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"","","","112037","0.2","112","1","wac_215_talk_sad","3","106431",""
"0","","","112038","","112","0","vo_wac_220215_007","21","vo_wac_220215",""
"1","0.5","1","112039","0","112","10","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","11","106431","0"
"","","","112040","","112","","","91","112039",""
"","","","112041","0.2","112","1","wac_215_idle_sad","3","106431",""
"","","","112042","0.2","112","1","wac_215_karin_talk_wish","3","118511",""
"0","","","112043","","112","0","vo_wac_220215_008","21","vo_wac_220215",""
"1","0.5","1","112044","0","112","10","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","11","118511","0"
"","","","112045","","112","","","91","112044",""
"","","","112046","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"","","","112047","0.2","112","1","wac_215_coccoro_talk_wish","3","105911",""
"0","","","112048","","112","0","vo_wac_220215_009","21","vo_wac_220215",""
"1","0.5","1","112049","0","112","10","這個計畫……還真是壯闊啊。\n花凜小姐。","11","105911","0"
"","","","112050","","112","","","91","112049",""
"","","","112051","0.2","112","1","wac_215_coccoro_idle_wish","3","105911",""
"wac_215_peko_talk_guts2_loop","","1","112052","0.2","112","0","wac_215_peko_talk_guts2","3","105811","0"
"0","","","112053","","112","0","vo_wac_220215_010","21","vo_wac_220215",""
"1","0.5","1","112054","0","112","10","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","11","105811","0"
"","","","112055","","112","","","91","112054",""
"","","","112056","0.2","112","1","wac_215_peko_idle_guts2","3","105811",""
"","","","112057","","112","","0","4","105811",""
"","","","112058","","112","","0","4","105911",""
"","","","112059","0.2","112","1","wac_215_idle_joy1","3","105811",""
"","","","112060","0.2","112","1","wac_215_idle_normal","3","105911",""
"","","","112061","0.2","112","1","wac_215_idle_surprise1","3","106431",""
"wac_215_talk_anger2","","1","112062","0.2","112","1","wac_215_kyaru_anger","3","106011","0.2"
"0","","","112063","","112","0","vo_wac_220215_011","21","vo_wac_220215",""
"1","0.5","1","112064","0","112","10","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","11","106011","0"
"","","","112065","","112","","","91","112064",""
"","","","112066","0.2","112","1","wac_215_idle_anger2","3","106011",""
"","","","112067","0.2","112","1","wac_215_talk_sad","3","106011",""
"0","","","112068","","112","0","vo_wac_220215_012","21","vo_wac_220215",""
"1","0.5","1","112069","0","112","10","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","11","106011","0"
"","","","112070","","112","","","91","112069",""
"","","","112071","0.2","112","1","wac_215_idle_sad","3","106011",""
"","","","112072","0.2","112","1","wac_215_coccoro_talk_wish2","3","105911",""
"0","","","112073","","112","0","vo_wac_220215_013","21","vo_wac_220215",""
"1","0.5","1","112074","0","112","10","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","11","105911","0"
"","","","112075","","112","","","91","112074",""
"","","","112076","0.2","112","1","wac_215_coccoro_idle_wish2","3","105911",""
"wac_215_kyaru_talk_doya_loop","","1","112077","0.2","112","0","wac_215_kyaru_talk_doya","3","106011","0"
"0","","","112078","","112","0","vo_wac_220215_014","21","vo_wac_220215",""
"1","0.5","1","112079","0","112","10","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","11","106011","0"
"","","","112080","","112","","","91","112079",""
"","","","112081","0.2","112","1","wac_215_idle_arm_crossed","3","106011",""
"","","","112082","","112","","1","4","105811",""
"","","","112083","","112","","1","4","105911",""
"","","","112084","0.2","112","1","wac_215_idle_normal_joy","3","105911",""
"","","","112085","0.2","112","1","wac_215_idle_normal2_joy","3","106431",""
"","","","112086","0.2","112","1","wac_215_karin_talk_wish","3","118511",""
"0","","","112087","","112","0","vo_wac_220215_015","21","vo_wac_220215",""
"1","0.5","1","112088","0","112","10","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","11","118511","0"
"","","","112089","","112","","","91","112088",""
"","","","112090","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"","","","112091","0.2","112","1","wac_215_karin_talk_normal","3","118511",""
"0","","","112092","","112","0","vo_wac_220215_016","21","vo_wac_220215",""
"1","0.5","1","112093","0","112","10","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","11","118511","0"
"","","","112094","","112","","","91","112093",""
"","","","112095","0.2","112","1","wac_215_karin_idle_normal","3","118511",""
"wac_215_peko_talk_wish_loop","","1","112096","0.2","112","0","wac_215_peko_talk_wish","3","105811","0.2"
"0","","","112097","","112","0","vo_wac_220215_017","21","vo_wac_220215",""
"1","0.5","1","112098","0","112","10","我明白了！\n那我就來畫魔物料理──","11","105811","0"
"","","","112099","","112","","","91","112098",""
"","","","112100","0.2","112","1","wac_215_peko_idle_wish","3","105811",""
"wac_215_talk_arm_crossed_loop","","1","112101","0.2","112","0","wac_215_kyaru_talk_anger","3","106011","0.2"
"0","","","112102","","112","0","vo_wac_220215_018","21","vo_wac_220215",""
"1","0.5","1","112103","0","112","10","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","11","106011","0"
"","","","112104","","112","","","91","112103",""
"","","","112105","0.2","112","1","wac_215_idle_arm_crossed","3","106011",""
"wac_215_cmn_eieio_loop","","1","112106","0.2","112","0","wac_215_cmn_eieio","3","105811","0"
"wac_215_cmn_eieio_loop","","1","112107","0.2","112","0","wac_215_cmn_eieio","3","106431","0"
"","","","112108","","112","","","93","0.1",""
"wac_215_cmn_eieio_loop","","1","112109","0.2","112","0","wac_215_cmn_eieio","3","105911","0"
"wac_215_cmn_eieio_loop","","1","112110","0.2","112","0","wac_215_cmn_eieio","3","106011","0.2"
"","","","112111","","112","","","93","0.9",""
