9bb40eb087cea351f20df35a2ecb4df1748f11531434bee79c2a241430f5c79b,9b961a2f8d933500d777d4688d9a465abb7ecccde8dcbf63276711dbdb622bae,ec3ae047f6e618cb16f76a8469b3a5398db6a4dda74e4e2f28132d056ca85a47,751b5fd82673ccdb4b1eb12903764c38ef584ec7a221ad621e3ca7cff89c150a,c169efb817713c2cce5a0dfa0de0d1aae13be8470b95201d4bd667ade7b46490,7e0f73a4bf638fd1794d71e4620741cd0a2455c1b7a719ee5ec9a53a5014ab7a,83eb72cdbf2038c5b87655bba11a1e3a06ebac321d8bfb41fb4fc635476bac0f,06e734fbef937a87bd11dadaedef47afcbf2791e290549c970fdb4e6c73f5579,2536cb801194e35f900e80a01b428b9ea523fe0c1a83839ec739c4586f1181dd,4ce2fac712ba5a8979ba114cd7c284bbe3ed2c37f3f4fba850cd643e7276d10d,d52837678eae18da1a2cde1589bee9a5c22651fbdc26461b39f645fae925a9d1,8ee61c1dfaedbb36900c4984733053a3a7c0d7571f42b10179f509bebf4c0d4b
"進行1場戰鬥","10","31000101","31000101","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","1","0","3","7003"
"進行5場戰鬥","10","31000102","31000102","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","5","0","3","7003"
"進行10場戰鬥","10","31000103","31000103","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","10","0","3","7003"
"進行15場戰鬥","10","31000104","31000104","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","15","0","3","7003"
"進行20場戰鬥","10","31000105","31000105","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","20","0","3","7003"
"進行25場戰鬥","10","31000106","31000106","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","25","0","3","7003"
"進行30場戰鬥","10","31000107","31000107","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","30","0","3","7003"
"進行35場戰鬥","10","31000108","31000108","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","35","0","3","7003"
"進行40場戰鬥","10","31000109","31000109","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1000","40","0","3","7003"
"對黑之王賈巴沃克造成500萬累積傷害","10","31001101","31001101","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","5000000","3001","3","7004"
"對黑之王賈巴沃克造成750萬累積傷害","10","31001102","31001102","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","7500000","3001","3","7004"
"對黑之王賈巴沃克造成1000萬累積傷害","10","31001103","31001103","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","10000000","3001","3","7004"
"在1場戰鬥中對黑之王賈巴沃克造成250萬傷害","11","31001111","31001111","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1001","1","3001","3","7005"
"在1場戰鬥中對黑之王賈巴沃克造成500萬傷害","11","31001112","31001112","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1001","1","3001","3","7005"
"對失控的純潔之弓造成500萬累積傷害","20","31001201","31001201","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","5000000","3002","3","7004"
"對失控的純潔之弓造成750萬累積傷害","20","31001202","31001202","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","7500000","3002","3","7004"
"對失控的純潔之弓造成1000萬累積傷害","20","31001203","31001203","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","10000000","3002","3","7004"
"在1場戰鬥中對失控的純潔之弓造成250萬傷害","21","31001211","31001211","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1001","1","3002","3","7005"
"在1場戰鬥中對失控的純潔之弓造成500萬傷害","21","31001212","31001212","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1001","1","3002","3","7005"
"對幻影男爵造成500萬累積傷害","30","31001301","31001301","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","5000000","3003","3","7004"
"對幻影男爵造成750萬累積傷害","30","31001302","31001302","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","7500000","3003","3","7004"
"對幻影男爵造成1000萬累積傷害","30","31001303","31001303","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","10000000","3003","3","7004"
"在1場戰鬥中對幻影男爵造成250萬傷害","31","31001311","31001311","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1001","1","3003","3","7005"
"在1場戰鬥中對幻影男爵造成500萬傷害","31","31001312","31001312","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1001","1","3003","3","7005"
"對天塔帕斯造成500萬累積傷害","40","31001401","31001401","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","5000000","3004","3","7004"
"對天塔帕斯造成750萬累積傷害","40","31001402","31001402","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","7500000","3004","3","7004"
"對天塔帕斯造成1000萬累積傷害","40","31001403","31001403","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1001","10000000","3004","3","7004"
"在1場戰鬥中對天塔帕斯造成250萬傷害","41","31001411","31001411","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1001","1","3004","3","7005"
"在1場戰鬥中對天塔帕斯造成500萬傷害","41","31001412","31001412","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1001","1","3004","3","7005"
"對豪紳造成500萬累積傷害","10","31002101","31002101","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1002","5000000","3005","3","7004"
"對豪紳造成750萬累積傷害","10","31002102","31002102","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1002","7500000","3005","3","7004"
"對豪紳造成1000萬累積傷害","10","31002103","31002103","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1002","10000000","3005","3","7004"
"對豪紳造成1億1000萬累積傷害","10","31002104","31002104","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1002","110000000","3005","3","7004"
"在1場戰鬥中對豪紳造成250萬傷害","11","31002111","31002111","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1002","1","3005","3","7005"
"在1場戰鬥中對豪紳造成500萬傷害","11","31002112","31002112","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1002","1","3005","3","7005"
"在1場戰鬥中對豪紳造成2200萬傷害","11","31002113","31002113","2023/04/17 16:00:00","22000000","2023/04/24 15:59:59","1002","1","3005","3","7005"
"對阿爾瑪＆奧拉姆造成500萬累積傷害","10","31003101","31003101","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","5000000","3006","3","7004"
"對阿爾瑪＆奧拉姆造成750萬累積傷害","10","31003102","31003102","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","7500000","3006","3","7004"
"對阿爾瑪＆奧拉姆造成1000萬累積傷害","10","31003103","31003103","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","10000000","3006","3","7004"
"對阿爾瑪＆奧拉姆造成1億累積傷害","10","31003104","31003104","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","100000000","3006","3","7004"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害","11","31003111","31003111","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1003","1","3006","3","7005"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害","11","31003112","31003112","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1003","1","3006","3","7005"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害","11","31003113","31003113","2023/04/17 16:00:00","20000000","2023/04/24 15:59:59","1003","1","3006","3","7005"
"對好朋友X＆無名的藝術造成500萬累積傷害","20","31003201","31003201","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","5000000","3007","3","7004"
"對好朋友X＆無名的藝術造成750萬累積傷害","20","31003202","31003202","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","7500000","3007","3","7004"
"對好朋友X＆無名的藝術造成1000萬累積傷害","20","31003203","31003203","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","10000000","3007","3","7004"
"對好朋友X＆無名的藝術造成1億2000萬累積傷害","20","31003204","31003204","2023/04/17 16:00:00","0","2023/04/24 15:59:59","1003","120000000","3007","3","7004"
"在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害","21","31003211","31003211","2023/04/17 16:00:00","2500000","2023/04/24 15:59:59","1003","1","3007","3","7005"
"在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害","21","31003212","31003212","2023/04/17 16:00:00","5000000","2023/04/24 15:59:59","1003","1","3007","3","7005"
"在1場戰鬥中對好朋友X＆無名的藝術造成2400萬傷害","21","31003213","31003213","2023/04/17 16:00:00","24000000","2023/04/24 15:59:59","1003","1","3007","3","7005"
