509f362b88c6daa0cf3597760c14ccd4eb755815b98f7a8f0a93c28b63743104,d44d3b3accccc7c54bab5d0b73c23fe1c6ed21b0c2895eb53383d53bbd74d64b,d2c05bc3574bacafa5f68f724952899264399f53fbd786838b38b231a9eabde6,263305ca57dc62db565f502fc34c016a7e05ff26228789d43124a52c20b205cb,3e211bbde5fc6607a01b2f38715e516a77f36f8a181581006d5b98115d7c7428,5bbff88ae3aeb00671df7fd40cbca0f0818bcb9374ebc91656a53c1feb0657e6
"100","100","100","1000000","100","100"
"100","100","100","2000000","150","100"
"100","100","150","2000001","100","100"
"100","150","100","2000002","100","100"
"100","100","100","2000003","100","150"
"150","100","100","2000004","100","100"
"100","100","100","2000005","300","100"
"100","100","300","2000006","100","100"
"100","300","100","2000007","100","100"
"100","100","100","2000008","100","300"
"300","100","100","2000009","100","100"
"100","100","100","2000010","250","100"
"100","100","250","2000011","100","100"
"100","250","100","2000012","100","100"
"100","100","100","2000013","100","250"
"250","100","100","2000014","100","100"
"100","100","150","3000000","150","100"
"100","150","100","3000001","150","100"
"100","100","100","3000002","150","150"
"150","100","100","3000003","150","100"
"100","150","150","3000004","100","100"
"100","100","150","3000005","100","150"
"150","100","150","3000006","100","100"
"100","150","100","3000007","100","150"
"150","150","100","3000008","100","100"
"150","100","100","3000009","100","150"
"100","100","250","3000010","250","100"
"100","250","100","3000011","250","100"
"100","100","100","3000012","250","250"
"250","100","100","3000013","250","100"
"100","250","250","3000014","100","100"
"100","100","250","3000015","100","250"
"250","100","250","3000016","100","100"
"100","250","100","3000017","100","250"
"250","250","100","3000018","100","100"
"250","100","100","3000019","100","250"
"100","100","200","3000020","200","100"
"100","200","100","3000021","200","100"
"100","100","100","3000022","200","200"
"200","100","100","3000023","200","100"
"100","200","200","3000024","100","100"
"100","100","200","3000025","100","200"
"200","100","200","3000026","100","100"
"100","200","100","3000027","100","200"
"200","200","100","3000028","100","100"
"200","100","100","3000029","100","200"
"100","150","150","4000000","150","100"
"100","100","150","4000001","150","150"
"150","100","150","4000002","150","100"
"100","150","100","4000003","150","150"
"150","150","100","4000004","150","100"
"150","100","100","4000005","150","150"
"100","150","150","4000006","100","150"
"150","150","150","4000007","100","100"
"150","100","150","4000008","100","150"
"150","150","100","4000009","100","150"
"100","250","250","4000010","250","100"
"100","100","250","4000011","250","250"
"250","100","250","4000012","250","100"
"100","250","100","4000013","250","250"
"250","250","100","4000014","250","100"
"250","100","100","4000015","250","250"
"100","250","250","4000016","100","250"
"250","250","250","4000017","100","100"
"250","100","250","4000018","100","250"
"250","250","100","4000019","100","250"
"100","150","150","5000000","150","150"
"150","150","150","5000001","150","100"
"150","100","150","5000002","150","150"
"150","150","100","5000003","150","150"
"150","150","150","5000004","100","150"
"100","250","250","5000010","250","250"
"250","250","250","5000011","250","100"
"250","100","250","5000012","250","250"
"250","250","100","5000013","250","250"
"250","250","250","5000014","100","250"
