c6e33fdefb84d0fd448c41f4523000b14ab26ab7b1030cd8ce8344be864c74c9,d966b6a77829cab6ef37af11636942e840251ef733925174c72b17b19240b1c5,09d64a09af52606c23c34769946bc5badf8516d15acf8a45eeae8a986a69dc61,16dec8f713d1e782793b95b76f56ddd7347ca00200572c055db1c8a5441d0c42,220b9ed2ec42dd0866bd5d0c08221efaf81e0877d54aff7997e816b444c8d518,9266046ae467b2b1b8aa6bbe9fa8b6ac62de124ea5fb6cc8ec2b7370d71428fc,6bc490fd46eb50a4a5420c1de9306bcfe553b7c2be62d06d8012848aeaf82be2
"2","10001","1","1000101","vo_minigame_1004_top_1_000","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004"
"2","10002","1","1000201","vo_minigame_1004_top_1_003","接龍之戰，我要找哥哥幫忙。","vo_minigame_1004"
"1","10003","2","1000301","vo_minigame_1004_top_1_004","打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004"
"1","10004","2","1000401","vo_minigame_1004_top_1_005","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004"
"1","10005","2","1000501","vo_minigame_1004_top_1_006","管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004"
"2","10006","3","1000601","vo_minigame_1004_top_1_007","咕麼……（我、肚子餓了）","vo_minigame_1004"
"2","10007","3","1000701","vo_minigame_1004_top_1_008","咕麼麼麼麼（接龍真有趣）","vo_minigame_1004"
"2","10008","3","1000801","vo_minigame_1004_top_1_009","咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004"
"2","10009","1","1000901","vo_minigame_1004_top_2_010","就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004"
"1","10009","2","1000902","vo_minigame_1004_top_2_011","好極了！要比的話就要認真的比哦。","vo_minigame_1004"
"2","10010","1","1001001","vo_minigame_1004_top_2_012","嘉夜夜，要道歉就趁現在。","vo_minigame_1004"
"1","10010","2","1001002","vo_minigame_1004_top_2_013","祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004"
"2","10011","1","1001101","vo_minigame_1004_top_2_014","嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004"
"1","10011","2","1001102","vo_minigame_1004_top_2_015","慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004"
"1","10012","1","1001201","vo_minigame_1004_top_2_016","來，讓妳見識一下我們的力量！","vo_minigame_1004"
"2","10012","3","1001202","vo_minigame_1004_top_2_017","咕麼！（交給我！）","vo_minigame_1004"
"1","10013","1","1001301","vo_minigame_1004_top_2_018","乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004"
"2","10013","3","1001302","vo_minigame_1004_top_2_019","咕麼！（我 喜歡巧克力）","vo_minigame_1004"
"1","10014","2","1001401","vo_minigame_1004_top_2_023","喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004"
"2","10014","1","1001402","vo_minigame_1004_top_2_024","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004"
"1","10015","2","1001501","vo_minigame_1004_top_2_025","就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004"
"2","10015","1","1001502","vo_minigame_1004_top_2_026","正合我意，我可不會手下留情哦！","vo_minigame_1004"
"1","10016","2","1001601","vo_minigame_1004_top_2_027","嘿，妳還滿行的嘛！","vo_minigame_1004"
