cd63643d47868136797acd02af76d58212549b9de34b9c62cc96189170511305,cd512d70d0c4abb0fe4a9d823879021d07b118aec3c001557453816f776d55f8,3bddf96302fa5ef8d3b334044595fe865a0df4b01dd0f7f5743c86e3e6050b78,b6706150fbc3633f118f8c8fb6e02c123ff77aee60f5c5b91c1e4326b9d52f41,46295ba84b466a0d72c893cd2f1d98f0f8230b66ffd258ddf7f0eb5965c95cb0,e23349ed06627827588831a1640b59db82a994abcd3e85720331d7fe1f104874,70eef841f4db4881c09e18aa4c3fb632a074d99a0cee8af91664ac349d8f1f03,10a0637389c1b3425a8a262549095063e046b704490041d0876b2476872e42fc,5a019ba991d3b003aa8a684f664c4367ee2698cd43578fb874fd56205623f6f5,be50ac92db98eb6f233b730e2c33877965fcbc018bc1604e15dab7ff75332b05,1bd2b9a2fa69ac14ee77cb6037bc6a922f1953a04ceb342081958ee7d1c54e92,ae80807629fe865e9181c5bb8a0a99461556d8628d964b67af23e2310b25817a,e9954ba6a26e849e10597d27edff661cbd683166e329081a30077af6f7e27efe,36c4216a2bf3e366578ae5d1379b7ad5d008a8264163036629b0f6255b4c24d2
"3.414","1","62","1000001","-416.5","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","2","1","1","0","190801"
"3.099","1","62","1000002","-416.5","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","將任務完成，\n並獲得獎勵吧！","2","2","1","0","190801"
"2.801","1","63","1000003","-416.5","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","似乎有能夠\n領取的獎勵了，\n請確認看看","2","3","1","0","190801"
"0","1","63","1000004","-416.5","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","能夠領取獎勵了！\n請檢查看看","2","4","2","0","190801"
"2.12","1","64","1000005","-363","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","這裡是公會管理協會！\n如果您持有活動獎勵券，就能夠交換各種道具哦","1","5","2","0","190801"
"1.68","1","64","1000006","-363","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","辛苦了！\n在這裡，能夠以活動獎勵券來換取道具哦","2","6","1","0","190801"
"2.33","1","64","1000007","-363","2030/01/01 14:59:59","花凜","2025/06/01 16:00:00","一直以來都很謝謝你！\n要交換獎勵嗎？\n那就以活動獎勵券來進行交換吧","1","7","2","0","190801"
"5.18","10201","61","1020101","-285","2030/01/01 14:59:59","拉比林斯達","2025/06/01 16:00:00","這次的敵人對我來說\n也是無法置之不理的存在\n少年，我也會全力以赴\n一起保護這個世界吧","7","101","3","-6","133701"
"8.77","10201","61","1020102","-285","2030/01/01 14:59:59","克莉絲提娜","2025/06/01 16:00:00","感覺到能消除無聊的\n戰鬥的氣息了啊，小子\n趕快帶我過去吧\n我會順手幫忙保護這個世界","2","201","1","-2","133901"
"15.5","10201","61","1020103","-285","2030/01/01 14:59:59","似似花","2025/06/01 16:00:00","哦，需要我的力量……是嗎？\n格列戈爾會去幫忙的喔\n看你一臉想問我是不是不上場\n……我會考慮的","1","301","6","0","133801"
"9.061","10202","61","1020201","-285","2030/01/01 14:59:59","蘭法","2025/07/01 16:00:00","只屬於我的演唱……\n你願意一起尋找嗎……？\n有你在身邊……\n我就能更加努力……","5","101","2","0","134301"
"7.699","10202","61","1020202","-285","2030/01/01 14:59:59","千歌","2025/07/01 16:00:00","作為唱喚士，作為夥伴\n我都會盡我的全力\n……這些，都是\n多虧了你在背後推了我一把哦","2","201","1","0","134401"
"8.595","10203","61","1020301","-285","2030/01/01 14:59:59","碧","2025/08/01 16:00:00","世界和平由我跟克蘿茜肩負了對吧？\n雖然對我這種邊緣人來說有點沉重，\n但、但如果是兩個人的話，\n我會扛下來給你看的！","2","101","1","0","134601"
"7.758","10203","61","1020302","-285","2030/01/01 14:59:59","克蘿茜","2025/08/01 16:00:00","靠著這對新獲得的翅膀……\n無論騎士先生在哪裡，\n我都會馬上飛馳而去！\n克蘿茜‧航空軀體，出動！","2","201","1","0","134501"
"7","10204","61","1020401","-285","2030/01/01 14:59:59","露易絲瑪莉","2025/09/01 16:00:00","今天是和達令的第一次約會♪\n我們要一起逛街購物、然後……\n咦、我現在是通緝犯！？\n達、達令快救救我～！！","6","101","2","0","132302"
"7.904","10204","61","1020402","-285","2030/01/01 14:59:59","彩羽","2025/09/01 16:00:00","露易的奶奶人好溫柔、\n總是笑咪咪的，彩羽好喜歡她♪\n不過彩羽最喜歡的地方，\n還是那對超大超帥氣的角～♪","2","201","1","0","132402"
"8.487","10204","61","1020403","-285","2030/01/01 14:59:59","苑","2025/09/01 16:00:00","多虧望好不容易讓營收穩定下來，\n結果卻要暫停營業，損失好大。\n……不過，為了露易，\n就讓我來拚一把吧。彩羽我們走～","2","301","4","0","132502"
"8.763","10205","61","1020502","-285","2030/01/01 14:59:59","華音","2025/10/01 16:00:00","哦～呵呵♪\n能與本小姐呼吸一樣的空氣，\n你該感到十分幸運才是～♪\n哦～呵呵呵～♪","2","101","1","0","134901"
"6.417","10205","61","1020503","-285","2030/01/01 14:59:59","紡希","2025/10/01 16:00:00","要上囉，騎士先生！\n與華音一起同心協力……一起……\n……那個人到底是怎麼回事？\n我現在感到前所未有地不安耶！","3","201","1","0","134801"
"10.335","10206","61","1020601","-285","2030/01/01 14:59:59","厄莉絲","2025/11/01 16:00:00","「實現願望的海岸」嗎………\n分明可疑，阿賀斗紫布菜她們\n卻在悠閒嬉戲……真是看不下去。\n騎士先生就由我來保護。","7","101","3","0","135001"
"6.281","10206","61","1020602","-285","2030/01/01 14:59:59","雪菲","2025/11/01 16:00:00","難得的暑假，\n偶爾也在海灘上悠哉一下吧。\n……咦，難道說這個夏天，\n也沒辦法好好休息嗎？","4","201","2","0","135101"
"12.244","10206","61","1020603","-285","2030/01/01 14:59:59","普蕾西亞","2025/11/01 16:00:00","吃很多。吃飽飽。\n長、大大。\n應該，就能守護、正義。\n哥，一起。來吃、西瓜吧。","2","301","1","0","135201"
"6.339","10207","61","1020701","-285","2030/01/01 14:59:59","可璃亞","2025/12/01 16:00:00","一個夏日的冒險開始！\n安涅默涅小姐也能好好享受就好了。\n……可以的話，\n希望我們能再變得更要好一點……","8","101","2","0","135301"
"8.184","10207","61","1020702","-285","2030/01/01 14:59:59","安涅默涅","2025/12/01 16:00:00","──夢幻之花……\n是否真的存在還是個謎──不過。\n要我陪同一起去找，\n也不是不可以。","9","201","7","0","135401"
"3.906","10208","61","1020801","-285","2030/01/01 14:59:59","埃拉","2026/01/01 16:00:00","啊哈哈！笑口常開福氣自來！\n我相信只要保持笑容，\n即使是複製品世界也會迎來未來！\n妳說對吧，志那都！","2","101","9","0","129101"
"14.465","10208","61","1020802","-285","2030/01/01 14:59:59","志那都","2026/01/01 16:00:00","跨越反覆重置後的未來。\n無論許願幾次都無法求得的未來。\n……但我不會放棄的，絕對不會。\n妳也是對吧……埃拉？","2","201","1","0","129201"
"8.662","10208","61","1020803","-285","2030/01/01 14:59:59","日和","2026/01/01 16:00:00","埃拉的世界裡，\n大家也都拚命地活著……！\n……但是卻遇到了世界的危機！\n我一定、一定會幫上忙的！","3","301","4","0","100101"
