b02e982d089238e122f32fe0be813d5fc40446cd7c258eefc5373c1cb4ba9ae4,922a96c32d5094c963aa5abb00d7004b941a40eb5cf5f743cfedcc55dfc689e1,a4672afeced9398bba1f3be3bde61bc52307ce72d5156e8ceb4be6e4f1370834,5a9adb7e09f64155fcd4fb741d8d918a07aa80409a3b05803679958dea2cbe1b,6f7d049b17b6e41a43026ff891a25a6979fd9fc0f6454b67d49b9c24123c07e1,0a9fcac4f06735333b650e1cef35d8c7fc70b3676fc6a076be1229a8c4e8efbc,b31c56c4e06f5301a1e6fe6c653a5212a9a6d77729da8f12ec69b77899b610a8,5ea11efcc7f8dab6922078f57d8292e85366a7b0210b2ad1815e562701007b56,afb7da7046dd1875d0730d8cddda0a3cbececa7dd392e529c6c28162333bede0,45d2e279a4841988e7080352223f05334c33883e7380d4ed1c760549d320d356,8f88c97edf568b41c2d12bd24baabfe073a4f995aec08a0850163191524f6390,071e92e41b76b9d481f5da2434d541e74663d93f0546e2ddd86ba46ffa932341,c329db2b48f7da22446bd19b49dbc9a6ab42da10ad0faa681498bda3917f7af4,1ca3aaa23b43799a7196a8d39c8632c675af173112c6caf44fc5ce9a7f5d8231,266c6d02b0a22cb26bc581bfcedd98b7e8ee7e9a7c4aa32e9497828b897d20bb,267fa06638d9546e83f2b4d89f6048e4a907f82e5555afa128242f6ca40f1a0f,ef52bbad2b675f28901be990a0e475feb7b340422755e9e66de8562c052b4913,fb3155d999160e23b39c1409fd7eaeb3764cbbbb0b58fb5520d68d412593590a,7d9d405753da758d585f6d83a9ff81caf920d7e20c6b00241201ffa6fa13e10e,64358f0d35ac8a017b5df56cc709cf7e6ec11c1d789b1de477bb7dba9d3563a3,aa57f1d4f4b9fcb5d52a2bf671cfafedb813ade544573b6529dd07a4d9428a7e
"51200001","2000001","最終之戰","90","100182","512000011","0","0","0","0","0","0","0","0","0","0","901000102","901000103","901000105","901000106","0"
"51200002","2000002","新手教學戰鬥","90","100021","512000021","bgm_M06","bgm_M06","100022","512000022","bgm_M06","bgm_M06","0","0","0","0","901000201","901000202","901000104","0","0"
"51200006","2000006","新手教學戰鬥","90","100021","512000021","bgm_M06","bgm_M06","100022","512000022","bgm_M06","bgm_M06","0","0","0","0","901000201","901000202","901000104","0","0"
"52003005","2003005","ADV戰鬥","90","100671","520030051","bgm_M17","bgm_M17_03_and_M29","0","0","0","0","0","0","0","0","901000301","901000302","901000303","0","0"
"52004002","2004002","ADV戰鬥","90","100011","520040021","bgm_M06","bgm_M06","0","0","0","0","0","0","0","0","901000401","901000402","901000403","0","0"
"55001004","5001004","席茲之戰","90","81000111","550010041","bgm_M47","bgm_M47","0","0","0","0","0","0","0","0","901000501","0","0","0","0"
"55001006","5001006","席茲之戰","90","81000106","550010041","bgm_M47","bgm_M47","0","0","0","0","0","0","0","0","901000401","901000501","901000502","0","0"
"55002005","5002005","阿爾瑪之戰","90","81000205","550020051","bgm_M102","bgm_M102","0","0","0","0","0","0","0","0","901000601","901000602","901000603","0","0"
"55002006","5002006","阿爾瑪之戰","90","81000206","550020052","bgm_M102","bgm_M102","0","0","0","0","0","0","0","0","901000601","901000602","901000603","0","0"
"55003006","5003006","加爾格之戰","90","81000305","550030061","bgm_M109","bgm_M109","0","0","0","0","0","0","0","0","901000601","901000701","901000702","901000703","0"
"55004005","5004005","泳裝戰鬥","90","100931","550040051","bgm_M116","bgm_M116","0","0","0","0","0","0","0","0","901000601","901000801","901000802","901000803","0"
"55005006","5005006","島鯨戰鬥","90","81000505","550050061","bgm_M124","bgm_M124","0","0","0","0","0","0","0","0","901000906","901000901","901000902","901000903","901000904"
"55011005","5011005","情人節頭目戰","90","81001105","550110051","bgm_M192","bgm_M192","0","0","0","0","0","0","0","0","901000906","901001001","901001002","901001003","0"
"55011006","5011006","情人節頭目戰","90","81001106","550110051","0","0","0","0","0","0","0","0","0","0","901001001","901001002","901001003","0","0"
