8613ca3e3c91891995a2814f8fdf30e96de6446de7b29a35d1e54d4efff9f63a,9ea4e57c4482ba4e104b442bfee639a94feddea48af84e527772a76b8ed3940b,552abcca59a306d7925c43c8d96893a2ce587f96551aa2a4343d011c3517f940,0938ad7442e2b42e10be8319cd8f6aab2c05ab6c89250aed8977fa4e07ebd5ee,c2912093e17e76555a6813edd248d80ada36e290bbaaf17833f23d708463405c,6e2fbf888f0f493ac941a20ec30c42002f4605c68e3f676cd2409cc1477ba8ae,f99603c50f949e408c2a9e6647f8816228d7f1d88ce01e043323c8d7a34d34e9,a57037024f6f61b295c27cd4372f63985cf014dcc8f388a04f4a6f9988f91df4
"bgm_M61","11001","2015/12/17 15:00:00","1.朱諾平原","1.朱諾平原","2030/12/17 14:59:59","bgm_M61","101"
"bgm_M61","11002","2015/12/17 15:00:00","2.帕拉斯高原","2.帕拉斯高原","2030/12/17 14:59:59","bgm_M61_02","101"
"bgm_M61","11003","2015/12/17 15:00:00","3.赫柏丘陵","3.赫柏丘陵","2030/12/17 14:59:59","bgm_M61_03","101"
"bgm_M61","11004","2015/12/17 15:00:00","4.維斯塔溪谷","4.維斯塔溪谷","2030/12/17 14:59:59","bgm_M61_04","101"
"bgm_M62","11005","2015/12/17 15:00:00","5.刻瑞斯森林","5.刻瑞斯森林","2030/12/17 14:59:59","bgm_M62_01","101"
"bgm_M62","11006","2015/12/17 15:00:00","6.佛洛拉湖畔","6.佛洛拉湖畔","2030/12/17 14:59:59","bgm_M62_02","101"
"bgm_M62","11007","2015/12/17 15:00:00","7.墨提斯大瀑布","7.墨提斯大瀑布","2030/12/17 14:59:59","bgm_M62_03","101"
"bgm_M42","11008","2015/12/17 15:00:00","8.伊麗絲樹海","8.伊麗絲樹海","2030/12/17 14:59:59","bgm_M42_02","101"
"bgm_M58","11009","2015/12/17 15:00:00","9.弗麗嘉雪原","9.弗麗嘉雪原","2030/12/17 14:59:59","bgm_M58","101"
"bgm_M101","11010","2018/10/05 16:00:00","10.洛麗泰海岸","10.洛麗泰海岸","2030/12/17 14:59:59","bgm_M101","101"
"bgm_M93","11011","2018/11/07 16:00:00","11.蓋奴亞荒漠","11.蓋奴亞荒漠","2030/12/17 14:59:59","bgm_M93","101"
"bgm_M94","11012","2018/12/07 16:00:00","12.波諾尼亞砂丘","12.波諾尼亞砂丘","2030/12/17 14:59:59","bgm_M94","101"
"bgm_M118","11013","2019/01/03 16:00:00","13.朵羅西亞濕地","13.朵羅西亞溼地","2030/12/17 14:59:59","bgm_M118","101"
"bgm_M95","11014","2019/01/30 16:00:00","14.尤金尼亞熱地","14.尤金尼亞熱地","2030/12/17 14:59:59","bgm_M95","101"
"bgm_M96","11015","2019/02/18 16:00:00","15.塔利亞火山","15.塔利亞火山","2030/12/17 14:59:59","bgm_M96","101"
"bgm_M140","11016","2019/03/21 16:00:00","16.泰美斯銀嶺","16.泰美斯銀嶺","2030/12/17 14:59:59","bgm_M140","101"
"bgm_M141","11017","2015/12/17 15:00:00","17.菲得斯冰原","17.菲得斯冰原","2030/12/17 14:59:59","bgm_M141","101"
"bgm_M179","11018","2015/12/17 15:00:00","18.法艾頓\n　　　　　草原‧北部","18.法艾頓草原","2030/12/17 14:59:59","bgm_M179","102"
"bgm_M179","11019","2019/06/17 16:00:00","19.法艾頓\n　　　　　草原‧南部","19.法艾頓草原‧南部","2030/12/17 14:59:59","bgm_M179","102"
"bgm_M180","11020","2019/08/15 16:00:00","20.卡斯塔利亞\n　　　　　樹林‧西部","20.卡斯塔利亞樹林‧西部","2030/12/17 14:59:59","bgm_M180","102"
"bgm_M180","11021","2019/08/15 16:00:00","21.卡斯塔利亞\n　　　　　樹林‧東部","21.卡斯塔利亞樹林‧東部","2030/12/17 14:59:59","bgm_M180","102"
"bgm_M232","11022","2019/09/17 16:00:00","22.馬提爾德\n　　　　　岩峰‧南部","22.馬提爾德岩峰‧南部","2030/12/17 14:59:59","bgm_M232","102"
"bgm_M232","11023","2019/09/17 16:00:00","23.馬提爾德\n　　　　　岩峰‧北部","23.馬提爾德岩峰‧北部","2030/12/17 14:59:59","bgm_M232","102"
"bgm_M233","11024","2019/10/15 16:00:00","24.雷蒂烏斯\n　　　　　群峰‧西麓","24.雷蒂烏斯群峰‧西麓","2030/12/17 14:59:59","bgm_M233","102"
"bgm_M233","11025","2019/11/15 16:00:00","25.雷蒂烏斯\n　　　　　群峰‧東麓","25.雷蒂烏斯群峰‧東麓","2030/12/17 14:59:59","bgm_M233","102"
"bgm_M260","11026","2019/12/13 16:00:00","26.佩特羅大森林‧西部","26.佩特羅大森林‧西部","2030/12/17 14:59:59","bgm_M260","102"
"bgm_M260","11027","2020/01/10 16:00:00","27.佩特羅大森林‧東部","27.佩特羅大森林‧東部","2030/12/17 14:59:59","bgm_M260","102"
"bgm_M278","11028","2020/02/14 16:00:00","28.迪茲塔爾河\n　　　　　蝕岸‧北部","28.迪茲塔爾河蝕岸‧北部","2030/12/17 14:59:59","bgm_M278_E28","102"
"bgm_M278","11029","2020/03/13 16:00:00","29.迪茲塔爾河\n　　　　　蝕岸‧南部","29.迪茲塔爾河蝕岸‧南部","2030/12/17 14:59:59","bgm_M278_E29","102"
"bgm_M293","11030","2020/04/14 16:00:00","30.弗泰拉斷崖‧北部","30.弗泰拉斷崖‧北部","2030/12/17 14:59:59","bgm_M293","102"
"bgm_M293","11031","2020/05/15 16:00:00","31.弗泰拉斷崖‧南部","31.弗泰拉斷崖‧南部","2030/12/17 14:59:59","bgm_M293","102"
"bgm_M339","11032","2020/06/15 16:00:00","32.法斯奇亞\n　　　　　　森林‧南部","32.法斯奇亞森林‧南部","2030/12/17 14:59:59","bgm_M339","102"
"bgm_M339","11033","2020/07/13 16:00:00","33.法斯奇亞\n　　　　　　森林‧東部","33.法斯奇亞森林‧東部","2030/12/17 14:59:59","bgm_M339","102"
"bgm_M374","11034","2020/08/17 16:00:00","34.迪克斯提亞\n　　　　　岩崖‧西壁","34.迪克斯提亞岩崖‧西壁","2030/12/17 14:59:59","bgm_M374","102"
"bgm_M374","11035","2020/09/14 16:00:00","35.迪克斯提亞\n　　　　　岩崖‧東壁","35.迪克斯提亞岩崖‧東壁","2030/12/17 14:59:59","bgm_M374","102"
"bgm_M392","11036","2020/11/13 16:00:00","36.維娜\n　　　　　湖畔道‧南部","36.維娜湖畔道‧南部","2030/12/17 14:59:59","bgm_M392","102"
"bgm_M392","11037","2020/12/14 16:00:00","37.維娜\n　　　　　湖畔道‧北部","37.維娜湖畔道‧北部","2030/12/17 14:59:59","bgm_M392","102"
"bgm_M411","11038","2021/01/15 16:00:00","38.拉圖斯\n　　　　　斷崖‧南部","38.拉圖斯斷崖‧南部","2030/12/17 14:59:59","bgm_M411","102"
"bgm_M411","11039","2021/02/09 16:00:00","39.拉圖斯\n　　　　　斷崖‧北部","39.拉圖斯斷崖‧北部","2030/12/17 14:59:59","bgm_M411","102"
