1fb5335e1b984e876e6b894bdd63a856699f44a4e56b72aaa475209f0c747733,8def794353fa516c34cb68643980571f80a775752fc16aaf362277135cf56a29,6c67ab4fe969f793679f9575d62f332170bcbb1b6acdd422bdfeaeba93767f32,2ce5426e88377048456bb76afa382252782d8f4bfdbd0db34c63d8d5ffcf5f28,727c2b9ca67343ebd40772f5e3f261dd5346144384f4dbc235475d1b815efa91,a3cbc1cff45f379d1bc2d3fb38a872f48430e17fb14e99217a70069336f9da90,816dddc3a860aea93fa405b51422b014e1d6d2fd5a5af8a3ae11a2285b2e1cc2,8ef73acae34fde0be7b5b1f9535c154246d38c949407863f26b500aa33a9333b,b262fd8be67f95cb16dfebc6643e7185f8af6a3e6bd8c7a1d282fa9ea022ee41
"1101002","0","21","600","0","0","0","0","1101001"
"1101003","0","22","2400","0","600","0","0","1101002"
"1","50","20","1","0","-1500","0","0","1101003"
"1101012","0","21","900","0","0","0","0","1101011"
"1101013","0","22","2100","0","700","0","0","1101012"
"1","200","20","1","0","-1500","0","0","1101013"
"1101022","0","21","400","0","0","0","0","1101021"
"1101023","0","22","2000","0","500","0","0","1101022"
"1","350","20","1","0","-1500","0","0","1101023"
"1101032","0","21","1000","0","0","0","0","1101031"
"1101033","0","22","1800","0","900","0","0","1101032"
"1","500","20","1","0","-1500","0","0","1101033"
"1101042","0","21","500","0","0","0","0","1101041"
"1101043","0","22","1600","0","800","0","0","1101042"
"1","750","20","1","0","-1500","0","0","1101043"
"25","2","1","1","2","2","0","0","1101101"
"1","-100","20","1","0","-2000","0","0","1102001"
"20","10","1","1","2","2","0","0","1102101"
"200000","0","10","2","2","0","0","0","1102102"
"1103002","0","21","500","0","0","0","0","1103001"
"1000","0","3","0","2","0","0","0","1103002"
"-15","0","2","3","2","3000","0","0","1202001"
"15","0","2","3","1","30000","0","0","1204001"
"10","0","2","3","1","30000","0","0","1205001"
"10","0","2","3","1","30000","0","0","1206001"
"10","0","2","3","1","30000","0","0","1207001"
"15","0","2","2","1","3000","0","0","1208001"
"25","0","2","1","1","3000","0","0","1209001"
"10","0","2","2","1","3000","0","0","1210001"
"1210003","0","21","3000","0","0","0","0","1210002"
"15","0","2","1","1","30000","0","0","1210003"
"-10","0","2","2","1","3000","0","0","1211001"
"1211003","0","21","3000","0","0","0","0","1211002"
"-15","0","2","1","2","30000","0","0","1211003"
"-10","0","2","1","2","30000","0","0","1213001"
"-10","0","2","2","2","30000","0","0","1213002"
"-25","0","2","3","2","1500","0","0","1214001"
"-20","0","2","3","2","3000","0","0","1216001"
"20","0","2","3","1","30000","0","0","1218001"
"15","0","2","3","1","30000","0","0","1219001"
"15","0","2","3","1","30000","0","0","1220001"
"15","0","2","3","1","30000","0","0","1221001"
"20","0","2","2","1","3000","0","0","1222001"
"30","0","2","1","1","3000","0","0","1223001"
"15","0","2","2","1","3000","0","0","1224001"
"1224003","0","21","3000","0","0","0","0","1224002"
"20","0","2","1","1","30000","0","0","1224003"
"-10","0","2","2","1","3000","0","0","1225001"
"1225003","0","21","3000","0","0","0","0","1225002"
"-20","0","2","1","2","30000","0","0","1225003"
"-15","0","2","1","2","30000","0","0","1227001"
"-15","0","2","2","2","30000","0","0","1227002"
"-35","0","2","3","2","1500","0","0","1228001"
"20","0","2","3","1","30000","0","0","1229001"
"20","0","2","2","1","3000","0","0","1230001"
"1230003","0","21","3000","0","0","0","0","1230002"
"50","0","2","1","1","30000","0","0","1230003"
"-25","0","2","3","2","3000","0","0","1232001"
"25","0","2","3","1","30000","0","0","1234001"
"20","0","2","3","1","30000","0","0","1235001"
"20","0","2","3","1","30000","0","0","1236001"
"20","0","2","3","1","30000","0","0","1237001"
"25","0","2","2","1","3000","0","0","1238001"
"35","0","2","1","1","3000","0","0","1239001"
"20","0","2","2","1","3000","0","0","1240001"
"1240003","0","21","3000","0","0","0","0","1240002"
"25","0","2","1","1","30000","0","0","1240003"
"-10","0","2","2","1","3000","0","0","1241001"
"1241003","0","21","3000","0","0","0","0","1241002"
"-25","0","2","1","2","30000","0","0","1241003"
"-20","0","2","1","2","30000","0","0","1242001"
"-20","0","2","2","2","30000","0","0","1242002"
"-75","0","2","3","2","1500","0","0","1244001"
"20","0","2","3","1","30000","0","0","1246001"
"30","0","2","3","1","30000","0","0","1247001"
"1247003","0","21","3000","0","0","0","0","1247002"
"25","0","2","1","1","3000","0","0","1247003"
"75","0","2","1","1","3000","0","0","1248001"
"-90","0","2","3","2","1500","0","0","1249001"
"10","0","2","2","1","30000","0","0","2101001"
