95d251ba075568fe9253c3db991194f5ff2edcaff53812535e937eae1e472ebb,133f2fb7fa2772d6bf31053d7f7acde1304c6afab533e25a543e897000af9d20,ada168cb68bb967110e0190dbd98336f75e43d004f4f5c69a1d1f3b0ebf8eded,de8d36745d7ac769e82e0193a61067a34f49b5d4c0093aba81f0677d83f4a661,d257e63905ae69451c4dbc946346fb5390e2ebd018e88ca0eebf614528669b61,b0b2c5a1e976b3cb799776d7f227f16655ff89686685b6c9164d43b1faba13a5,f7785eb3e76cf05900ed68963158caaa8bf998f5eaa60eb7bd72aaafd65ae062,ba46ed6ae756058fc02cd60c43aabf5b1e19d9c4a879cf5719a287e868e53f1a,292a80582e031f77bb0faaf3151ae8b3f36323de05209c71dff1dd8ac8e37d75,997e5c4bef026be384dce318a29a1768f0d2d399011ed035caf3ca0f2e798281
"-100","102231","1","0","0","102231","bgm_M301","記憶領域第1層","75000001","bgm_M301"
"0","81002102","1","0","0","81002102","bgm_M248_02","記憶領域第2層","75000002","bgm_M248"
"-100","102241","1","0","0","102241","bgm_M301","記憶領域第3層","75000003","bgm_M301"
"0","81002502","1","0","0","81002502","bgm_M268","記憶領域第4層","75000004","bgm_M268"
"-100","102881","1","0","0","102881","bgm_M502","記憶領域第5層","75000005","bgm_M502"
"0","81004602","1","0","0","81004602","bgm_M397","記憶領域第6層","75000006","bgm_M397"
"-100","102871","1","0","0","102871","bgm_M503","記憶領域第7層","75000007","bgm_M503"
"0","81009002","1","0","0","81009002","bgm_M577","記憶領域第8層","75000008","bgm_M577"
"-100","102251","1","0","0","102251","bgm_M301","記憶領域第9層","75000009","bgm_M301"
"-100","102861","1","0","0","102861","bgm_M505","記憶領域第10層","75000010","bgm_M505"
"0","81010002","1","0","0","81010002","bgm_M621","記憶領域第11層","75000011","bgm_M621"
"-100","81000605","1","0","0","81000605","bgm_M504","記憶領域第12層","75000012","bgm_M504"
