877e79579aac6864ff9f299ec147ef921c9c60f8e5d58d5ee0891f6641e75b97,9a35832ceca482664eb5a7c2e71f855af42ea252c502dbefc7db0f8cf05a57d8,106a2b509fbb53764d96d296426863887915091bbfa829cf9acd92f15e8ad21d,fa8d0659110dc76c96fb8a70ee17ccaa5d0222eaa67d72ce40449ec0493dcf41,a6d30bb98947424f9d91365b369e87dd7ddbc0e3fba2826f5ee1ef639544e7c6,ab7893805170b75138aaa3a717ba77a2d44b0fa1f3e68aba4df68f8626bab26a,352a5a5e49807d3a4888084ae1cb8975ea4640ea59048cf0c1418dec5ee6868a,88276706121b7c3da5d5e6390190f76a595b016ef9c0431b46e26f700029dc29,4c5ab2d0e50455e7a12223c633526af9661df1603217d23f724686061d56583f,46be23eb81e70bf8d04bbe5c90a3a41ef10ec5b83804a8ab888002b4927aba32,e96c1dd83c4ba865a35effb4f4886a984dbc37faeb4b1bc0124c40bfe8c6827a,e3f82abc6920c3db0d45f9f4a98b27f7e4eaaeed80828666ad82783a76de38d3,a18e141d4aef3e0b59ad429975c3a1a876255ac70ffb64f28cdb36f693fcd4aa,1ca777b76bd40607fdf42a512c1ae6c79f1cfcf1d697c58828025b367b7f3099,03518614e2b10434568fcd55c35fcb5b343d42d618e9ef186989b2be7db6ed18,47bd21a926965c7a51afccf532e782ef41d3b630ca6bf6bb3880b5312123065c
"2","91002","0","0","8","1001101","22002","40","0","40","1","90006","0","2","0","0"
"2","91002","0","0","8","1001102","22002","50","0","60","2","90006","0","2","0","0"
"2","91002","0","0","8","1001103","22002","60","0","80","3","90006","0","2","0","0"
"2","91002","0","0","8","1001104","22002","80","0","100","4","90006","0","2","0","0"
"2","91002","0","0","8","1001105","22003","150","0","200","2","90006","0","2","0","0"
"0","90006","0","0","2","1001106","0","1","0","20","0","22002","0","2","0","0"
"0","90006","0","0","2","1001107","0","1","0","20","0","22002","0","2","0","0"
"0","90006","0","0","2","1001108","0","1","0","20","0","22002","0","2","0","0"
"0","90006","0","0","2","1001109","0","1","0","20","0","22002","0","2","0","0"
"0","90006","0","0","2","1001110","0","1","0","20","0","22003","0","2","0","0"
"2","91002","0","0","8","1002101","22002","40","0","40","1","90006","0","2","0","0"
"2","91002","0","0","8","1002102","22002","50","0","60","2","90006","0","2","0","0"
"2","91002","0","0","8","1002103","22002","60","0","80","3","90006","0","2","0","0"
"2","91002","0","0","8","1002104","22002","80","0","100","4","90006","0","2","0","0"
"2","91002","0","0","8","1002105","22003","150","0","200","2","90006","0","2","0","0"
"0","90006","0","0","2","1002106","0","1","0","40","0","22002","0","2","0","0"
"0","90006","0","0","2","1002107","0","1","0","40","0","22002","0","2","0","0"
