0124ebd5f4caeb6b2c84df10dbceae41a760249fb3f58082f719ccb4865e5954,d9eba0c71ede3123ca7d22bac77c298a928c9dc8c68a81c6f3e0a42246e85f6d,f0b82001b54203f124c129a15887c09b1370b88a14351966ba5c0f762cb80584,92491e01bb235ee6e612ffc92e27ec0d8b71818f900747431de06b08712ab1d3,db0eec9db27a38627ec3ec23b555e1d59bb33b7326848412d982147e8f6a074a,81d47bde016abced92f2b808a5121033f93f15b85b625b7ccb65e1ff268c2564,7997157304fb18d5d7b90f2c837a8eea0a122287a847179341f7b9597c092fbb,e4b798376c6cea57cbd9545cbde13bf2155819d4f12aacd0707ba5de2878b1e1,acf5a0c67fe98cc069339dde9ab478ab5c275dd7dfd8c56a56bbb601fa1de4cf,d6268b8c860d93a333e4eacfd793c5f2b94ed9321d7dc3e75a05c94bf317934c,ad84571b3593ec0fca65f8cdba4e668a36730cbcc0e11e192d32c02a22b279ae
"105811","61001","idle_normal","0","1","1.8","100","1","5146061","-278","-225"
"1058","61002","idle_normal","0","5","1.8","101","6","5146061","-278","-225"
"105911","61003","kokkoro_idle_normal","0","1","1.8","103","1","5146061","-288","-385"
"1059","61004","kokkoro_idle_normal","0","5","1.8","104","3","5146061","-288","-385"
"106011","61005","idle_normal","1","1","1.8","106","1","5146061","-278","290"
"1060","61006","idle_normal","1","5","1.8","107","4","5146061","-278","290"
"200","61007","","","13","","","105811","5146061","",""
"203","61008","","","13","","","105911","5146061","",""
"206","61009","","","13","","","106011","5146061","",""
"7","61010","idle","0","5","0.85","15","7","5146061","-174","0"
"201","61011","empty","0","5","1","210","20","5146061","8","290"
"202","61012","empty","0","5","1","211","20","5146061","-78","0"
"203","61013","empty","0","5","1","210","20","5146061","16","-315"
"21","61014","empty","0","5","1","60","21","5146061","153","0"
"1","61015","","","31","1","0","1","5146061","1","0"
"2","61016","","","31","0","0","2","5146061","1","-57.7"
"10","61017","","","31","0","0","10","5146061","1","0"
"11","61018","","","31","0","0","11","5146061","1","0"
"0","61019","","","91","","","0","5146061","",""
"0","61020","","","102","","0","0","5146061","",""
"0","61021","","","93","","","1","5146061","",""
"doya_in_shy","61022","","0","3","0.2","0","106011","5146061","1","doya_talk_shy"
"doya_in_shy","61023","","0","3","0.2","0","1060","5146061","1","doya_talk_shy"
"vo_apg_0101","61024","","","21","","0","vo_apg","5146061","","0"
"搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","61025","0","0","11","0","8","106011","5146061","1","1"
"","61026","","","91","","","0","5146061","",""
"1","61027","","","32","","","2","5146061","",""
"fade105_in","61028","","","37","","","2","5146061","",""
"0","61029","","","4","","","106011","5146061","",""
"0","61030","","","4","","","1060","5146061","",""
"sad_idle_dere_shy","61031","","","3","0.5","1","106011","5146061","",""
"sad_idle_dere_shy","61032","","","3","0.5","1","1060","5146061","",""
"vo_apg_0102","61033","","","21","","0","vo_apg","5146061","","0"
"0102_in","61034","","","3","0","0","201","5146061","",""
"1","61035","","","93","","","4.6","5146061","",""
"0102_mid","61036","","","3","0","0","201","5146061","",""
"","61037","","","92","","","","5146061","",""
"0102_out","61038","","","3","0","0","201","5146061","",""
"0","61039","","","93","","","0.2","5146061","",""
"kyaru_smile_in","61040","","0","3","0.2","0","106011","5146061","1","kyaru_smile_idle"
"kyaru_smile_in","61041","","0","3","0.2","0","1060","5146061","1","kyaru_smile_idle"
"vo_apg_0103","61042","","","21","","0","vo_apg","5146061","","0"
"0103_in","61043","","","3","0","0","201","5146061","",""
"1","61044","","","93","","","5.4","5146061","",""
"0103_mid","61045","","","3","0","0","201","5146061","",""
"","61046","","","92","","","","5146061","",""
"0103_out","61047","","","3","0","0","201","5146061","",""
"0","61048","","","93","","","0.2","5146061","",""
"fade105_out","61049","","","37","","","2","5146061","",""
"1","61050","","","4","","","105811","5146061","",""
"1","61051","","","4","","","1058","5146061","",""
"surprise_talk","61052","","","3","0.2","1","105811","5146061","",""
"surprise_talk","61053","","","3","0.2","1","1058","5146061","",""
"vo_apg_0104","61054","","","21","","0","vo_apg","5146061","","0"
"……小凱留，\n不想被拍進照片嗎……？","61055","0","0","11","0","7","105811","5146061","1","1"
