06182edab5f03286a6f3bca4528388a2a5e72e4a6c65daf70d879f35ee8fb87f,704e67aeda3b29eed72caa67cf2186ab7eccdd602e6d257b0f93dd9d2603d5e3,d6fe411d5cbb6e5a85f1239440cf9b545c059469b23b7812333a57a8728fc8a3
"pink","101","#E24E7F"
"pink","102","#E24E7F"
"pink","103","#E24E7F"
"pink","104","#E24E7F"
"pink","105","#E24E7F"
"pink","106","#E24E7F"
"pink","107","#E24E7F"
"pink","108","#E24E7F"
"pink","109","#E24E7F"
"pink","110","#E24E7F"
"lightblue","200","#3290D4"
"lightblue","201","#3290D4"
"lightblue","202","#3290D4"
"lightblue","203","#3290D4"
"lightblue","204","#3290D4"
"lightblue","205","#3290D4"
"lightblue","206","#3290D4"
"lightblue","207","#3290D4"
"lightblue","208","#3290D4"
"lightblue","209","#3290D4"
"lightblue","210","#3290D4"
"lightblue","211","#3290D4"
"orange","301","#E5681E"
"orange","302","#E5681E"
"orange","303","#E5681E"
"orange","304","#E5681E"
"orange","305","#E5681E"
"yellow","401","#C09825"
"yellow","402","#C09825"
"yellow","403","#C09825"
"yellow","404","#C09825"
"yellow","405","#C09825"
"blue","501","#476FD8"
"green","601","#339910"
"green","602","#339910"
"green","603","#339910"
"darkgreen","1000","#0F8B5E"
"orange","1001","#E5681E"
"green","1002","#339910"
"pink","1003","#E24E7F"
"lightblue","1004","#3290D4"
"yellow","1005","#C09825"
"yellow","1006","#C09825"
"yellow","1007","#C09825"
"yellow","1008","#C09825"
"yellow","1009","#C09825"
"yellow","1010","#C09825"
"lightblue","1011","#3290D4"
