4f2da3ccd9262d4e864ef5e089af5b51a874ca679c32313e6038284e9f56f9ef,abd0a097a330a9d271d7a9711edcce5de02437b09ac4546bd703d42dfe9a37a3,ea07dfe34adbf82f0e111f8bde392be6347700540afeeab50c6b217663496d52,371d98a59bb6893688e7bd90502b87ab188d178cded85ebbd219b708118f418a,956c8706bba8af6abc84fb3632d30cf286219bc5964b16b2aa9c0a3354817f12,44e00611e7d67b30a86c0dc5dac8506fec7ae03b8158c24573735560e6db6169,27542ab36587e55699710d1533945d7ae346d59dae0d30a9ab66f4fc3755be6f,b9c316f3c13776e26e04e0e30c738088a955f7d7efa5f0f0f28e42ef942b23c1
"5","3","2","111","1","200","4","104"
"5","3","2","211","1","2","4","14"
"5","3","2","311","1","2","4","103"
"5","3","2","411","1","2","4","102"
"5","3","2","511","1","200","4","104"
"5","3","2","611","1","250","4","1"
"5","3","2","711","1","3","4","101"
"5","3","2","811","1","3","4","100"
"5","3","2","911","1","200","4","104"
"5","3","2","1011","1","250","4","1"
"5","3","2","1111","1","250","4","3"
"5","3","2","1112","1","250","4","5"
"5","3","2","1211","1","150","4","6"
"5","3","2","1212","1","150","4","7"
"5","3","2","1311","1","200","4","104"
"5","3","2","1411","1","2","4","103"
"5","3","2","1511","1","2","4","102"
"5","3","2","1611","1","250","4","1"
"5","3","2","1711","1","200","4","104"
"5","3","2","1811","1","500","4","2"
"5","3","2","1812","1","500","4","4"
"5","3","2","1911","1","3","4","101"
"5","3","2","2011","1","3","4","100"
"5","3","2","2111","1","200","4","104"
"5","3","2","2211","1","250","4","1"
"5","3","2","2311","1","3","4","100"
"5","3","2","2411","1","3","4","101"
"5","3","2","2511","1","200","4","104"
"5","3","2","2611","1","500","4","2"
"5","3","2","2612","1","500","4","4"
"5","3","2","2711","1","150","4","6"
"5","3","2","2712","1","150","4","7"
"5","3","2","2811","1","500","4","2"
"5","3","2","2812","1","500","4","4"
"5","3","2","2911","1","200","4","104"
"5","3","2","3011","1","250","4","3"
"5","3","2","3012","1","250","4","5"
"5","3","2","3111","1","3","4","100"
"5","3","2","3211","1","3","4","101"
"5","3","2","3311","1","200","4","104"
"5","3","2","3411","1","2","4","100"
"5","3","2","3511","1","200","4","104"
"5","3","2","3611","1","1","4","103"
"5","3","2","3711","1","1","4","102"
"5","3","2","3811","1","250","4","2"
"5","3","2","3812","1","250","4","4"
"5","3","2","3911","1","1","4","102"
"5","3","2","4011","1","200","4","104"
"5","3","2","4111","1","2","4","100"
"5","3","2","4211","1","150","4","6"
"5","3","2","4212","1","150","4","7"
"5","3","2","4311","1","200","4","104"
"5","3","2","4411","1","1","4","103"
"5","3","2","4511","1","200","4","104"
"5","3","2","4611","1","2","4","101"
"5","3","2","4711","1","1","4","102"
"5","3","2","4811","1","200","4","104"
"5","3","2","4911","1","1","4","103"
"5","3","2","5011","1","200","4","104"
"5","3","2","5111","1","2","4","101"
"5","3","2","5211","1","1","4","102"
"5","3","2","5311","1","200","4","104"
"5","3","2","5411","1","150","4","6"
"5","3","2","5412","1","150","4","7"
"5","3","2","5511","1","1","4","103"
"5","3","2","5611","1","200","4","104"
"5","3","2","5711","1","2","4","100"
"5","3","2","5811","1","2","4","101"
"5","3","2","5911","1","1","4","103"
"5","3","2","6011","1","200","4","104"
"5","3","2","6111","1","1","4","102"
"5","3","2","6211","1","250","4","2"
"5","3","2","6212","1","250","4","4"
"5","3","2","6311","1","200","4","104"
"5","3","2","6411","1","1","4","103"
"5","3","2","6511","1","1","4","102"
"5","3","2","6611","1","200","4","104"
