1dda9ad1a4b5a67f9c1f942a513ceff9a4041610a8a505027edb9238dc11933f,5cf51752d67cbf12117a3775fc339e39863b13c8ef7ea4df7725d2af9afd5f08,516e07793d2fb8b1a544022133df3e49a042395dc30dad1d720670ac5e0935b2,d99ea021201f5f87fdcfa062914bbc1b00b955e000565cd5112f975620977c8c,c172a5dc1da1df5d5ec7159d9743b366a4915fa4b572103ed18d2a59518aa13a,3d9321f975e82d0f28ba5c96cc92138900bae3e728bb74760425673595e7a20b,7300ac8268b2eea57454dc85cbedab9dac14306e39bba1e6dcb00ddf8c5efb95,d190908fd722c05d5b175c868fa93d74ff46a188332db3f9c31d99c07086a2a9,30e2cf48e37a47b508340c1dcafe4e8f77211729782e9dd34867c12595743520
"2","100101","1","3","1","3","2","2","6"
"1","100201","3","3","2","2","1","1","5"
"1","100301","1","2","3","3","3","2","7"
"2","100401","1","2","3","3","2","2","13"
"2","100501","2","3","2","1","2","3","18"
"1","100601","1","3","2","2","2","3","25"
"2","100701","3","3","2","2","3","1","26"
"2","100801","3","2","3","1","3","1","40"
"1","100901","1","2","2","3","3","3","34"
"1","101001","3","3","2","2","1","1","8"
"3","101101","2","3","2","2","2","1","56"
"3","101201","1","1","2","3","2","2","43"
"1","101301","1","3","3","1","2","3","33"
"1","101401","3","2","2","1","1","2","11"
"1","101501","3","2","3","2","1","1","42"
"3","101601","2","3","3","1","2","1","46"
"3","101701","1","3","2","1","2","2","10"
"1","101801","3","2","3","1","1","2","45"
"2","102001","2","3","1","3","1","2","12"
"1","102101","1","3","3","2","1","2","30"
"3","102201","1","1","3","2","1","2","24"
"2","102301","1","3","1","3","2","3","31"
"3","102501","3","2","2","1","1","1","29"
"2","102601","3","3","1","2","1","1","51"
"2","102701","2","1","3","3","3","1","36"
"2","102801","2","2","3","1","1","1","28"
"2","102901","2","3","2","2","1","1","52"
"1","103001","2","3","3","1","2","2","39"
"2","103101","3","2","1","3","3","1","27"
"2","103201","3","1","2","3","2","1","19"
"1","103301","2","3","1","3","2","2","48"
"2","103401","2","1","2","2","1","3","20"
"2","103601","3","1","2","1","3","3","14"
"2","103701","1","2","3","1","3","3","17"
"1","103801","3","2","1","2","3","3","49"
"3","104001","2","1","1","2","1","3","44"
"2","104201","3","2","2","1","3","2","53"
"3","104301","1","2","2","3","3","1","9"
"1","104401","3","2","1","3","3","2","23"
"1","104501","2","2","2","2","1","3","38"
"3","104601","3","2","1","2","2","1","21"
"3","104701","1","2","2","1","3","3","15"
"3","104801","1","1","3","2","3","2","22"
"2","104901","2","2","2","3","1","1","55"
"3","105001","2","3","2","1","1","2","47"
"3","105101","3","1","1","1","3","2","35"
"2","105201","2","3","2","2","2","1","50"
"2","105301","1","2","3","3","3","1","37"
"3","105401","2","3","1","2","2","1","54"
"1","105501","2","2","1","3","1","3","41"
"3","105601","1","3","2","2","3","1","32"
"2","105701","1","3","2","2","1","2","67"
"2","105801","2","3","2","2","2","1","1"
"1","105901","3","2","2","2","1","2","2"
"3","106001","2","2","1","1","3","3","3"
"2","106101","1","3","2","3","2","2","58"
"2","106301","1","3","1","3","1","2","68"
"2","106401","1","3","2","2","1","3","4"
"2","106501","1","3","2","1","3","3","61"
"2","106601","3","3","1","1","2","3","62"
"1","106701","2","2","2","1","3","2","60"
"2","106801","1","1","2","1","1","3","57"
"1","107001","3","1","1","2","3","2","59"
"2","107101","1","1","3","2","3","2","16"
"1","109201","2","2","2","2","1","2","70"
"3","109301","2","3","2","2","2","1","72"
"3","109401","1","2","3","1","3","2","71"
"3","110801","1","2","2","2","1","2","64"
"2","110901","2","2","3","1","2","1","65"
"1","111001","3","3","1","1","3","2","63"
"3","111401","2","2","1","2","2","3","69"
"3","118001","3","1","2","1","2","2","66"
