79b120dcbd5f73cdf185538ac7319e14191179b6a4fea5478ac85d1065750464,25d517fd22b449cd721bc3d6930a4d8b5bad78237ef5c7b5f27ef5014a500716,5936900fb32abc548551389b381e8f25d7fb78c715d6624098e65e068ad06b2c,4c0cec43ac4fa7c5de69cf42c810cd93c60043171c3a623c85da71b0124e2c91,dddc166f1c05ed193a3ea5cfb9b75e8e5cdd35d611310c0c627f29ed48f488bf,fcc19652b59a6e14715bb46bad9238584a580dd6aaedda130c739c9b40c3e546,9add5b706ae223476bf1ccfaef8638c36799bd616669e87e302975e2b022b3d9,b02ce72415d7ec7c57b4f70a6682fa78a15777282178c7a0751b3291f9caf670,304aceb6d6daa5ee81ee2ddaa13fd761d85da1d93e4c662152b4bb730baf2bf1,2380d87d695b8647c8296e1bc7a0703ea877124537db06af5eacfbf5d5e9a31e,eb391cc3ce7a77bf1105c7e3343d8583c4c51bb41d72d03a96c3bd52b308ea7e,2f712f815a92d1c2b3d15bb1e2d31ef5a3089167d2791cd187a29b11656afc44
"0","1120001","1","0","0","3","0","12","0","4","0","1"
"0","1120002","0","vo_nyx_0101","0","0","0","12","0","2","vo_nyx","2"
"2.698","1120003","0","0","1","0","0","12","278","1","0","3"
"0","1120004","3.334","0","0","1","0","12","0","4","0","4"
"0","1120005","0","vo_nyx_0102","0","0","0","12","0","2","vo_nyx","5"
"1.055","1120006","0","0","1","0","278","12","382","1","0","6"
"0","1120007","1.055","0","0","1","0","12","0","4","0","7"
"0.732","1120008","0","0","2","0","0","12","78","1","0","8"
"0","1120009","1.05","0","0","1","0","12","0","4","0","9"
"2.42","1120010","0","0","2","0","78","12","365","1","0","10"
"0","1120011","3.5","0","0","1","0","12","0","4","0","11"
"0","1120012","2","0","0","3","0","12","0","4","0","12"
"0","1120013","0","vo_nyx_0103","0","0","0","12","0","2","vo_nyx","13"
"0.815","1120014","0","0","3","0","0","12","79","1","0","14"
"0","1120015","1.157","0","0","1","0","12","0","4","0","15"
"2.763","1120016","0","0","3","0","79","12","372","1","0","16"
"0","1120017","2.763","0","0","1","0","12","0","4","0","17"
"2.388","1120018","0","0","4","0","0","12","250","1","0","18"
"0","1120019","3.338","0","0","1","0","12","0","4","0","19"
"0","1120020","0","vo_nyx_0104","0","0","0","12","0","2","vo_nyx","20"
"0.778","1120021","0","0","5","0","0","12","108","1","0","21"
"0","1120022","1.214","0","0","1","0","12","0","4","0","22"
"3.167","1120023","0","0","5","0","108","12","375","1","0","23"
"0","1120024","3.61","0","0","1","0","12","0","4","0","24"
"2.618","1120025","0","0","6","0","0","12","279","1","0","25"
"0","1120026","3.198","0","0","1","0","12","0","4","0","26"
"0","1120027","0","vo_nyx_0105","0","0","0","12","0","2","vo_nyx","27"
"1.4","1120028","0","0","6","0","279","12","392","1","0","28"
"0","1120029","1.448","0","0","1","0","12","0","4","0","29"
"2.927","1120030","0","0","7","0","0","12","309","1","0","30"
"0","1120031","3.811","0","0","1","0","12","0","4","0","31"
"0","1120032","3","0","0","3","0","12","0","4","0","32"
"0","1120033","0","vo_nyx_0106","0","0","0","12","0","2","vo_nyx","33"
"0.506","1120034","0","0","7","0","309","12","360","1","0","34"
"0","1120035","1.175","0","0","1","0","12","0","4","0","35"
"0","1120036","3","0","0","3","0","12","0","4","0","36"
"0","1120037","0","vo_nyx_0107","0","0","0","12","0","2","vo_nyx","37"
"1.439","1120038","0","0","8","0","0","12","233","1","0","38"
