acd47eb19b21f4b0e6463da53f35f65c37a83055e6b15a62ee537f95652f6e0a,c60d2c0bd382c2fc5212f13e22b7dfc7ef9414d7038afe8d9af0839b43b8bacc,dbb4b5b17c9a02707caa57d6f9620ee643a14dfb9e6ac666a99b8478b659abba,3eb7afd7d49316e72500b9755c0ee60706ccf17e37b714838fde908b81158527,77d8d20f3111201cdaf345ec108bbec8f878ff2af2826a06a341b8d03618b248,f8e35ad50a8a5e4326eb7d1f05631d41349ec31856b247bae2b475b981790d58,b1853bb1b5805cd8102f87338f5a65a9e55ffbf9a1ec353209056d1f47b3173f,cda9eb84ae6845b2406373d072f2e601b5f78716d87b79b52415eb161353804d,27f35ef2df2f4231a5eeeaa0f9596645ce79af18e688238c8379b0e84b16c0c0,d9bf7461f8a45733318d73e95372ee1fadbd62f045db0e4c20364a80f0779cae,9e42f157ed41aafba632c8480c471c155c7e30b85dde633469dffe8891cca1cc
"201001","empty","201","1","55","118511","0","1.3","-150","2","150"
"201002","empty","201","5","56","1","0","0.65","-150","1","150"
"201003","empty","201","5","50","3","0","1.9","-180","3","-650"
"201004","","201","91","","0","","","","201001",""
"201005","","201","3","0","empty","","0","","118511",""
"201006","","201","91","","","","","","0",""
"201007","","201","23","0","se_labyrinth_event_drama_201","","","","se_labyrinth",""
"201008","","201","3","0","201_karin","","0","","118511",""
"201009","","201","3","0","201_karin","","0","","1",""
"201010","","201","3","0","201_hero","","0","","3",""
"201011","","201","2","-180","-150","","","11","3","1.2"
"201012","","201","93","","0","","","","1.7",""
"201013","","201","21","0","vo_labyrinth_drama_20101","","","","vo_labyrinth_drama",""
"201014","","201","93","","0","","","","0.8",""
"201015","0","201","12","1","7","0","0","0","3","0"
"201016","","201","23","0","se_labyrinth_event_emote_7","","","","se_labyrinth",""
"201017","","201","93","","0","","","","1.1",""
"311001","empty","311","5","55","310","0","1.9","-213","310","-225"
"311002","empty","311","5","50","104","0","0.8","-187","104","427"
"311003","","311","31","0","300","","0","1","300","0"
"311004","","311","31","0","303","","1","1","303","0"
"311005","","311","31","0","304","","1","1","303","0"
"311006","","311","31","0","301","","0","1","301","0"
"311007","","311","91","","0","","","","311001",""
"311008","","311","3","0","empty","","0","","310",""
"311009","","311","91","","","","","","0",""
"311010","","311","23","0","se_labyrinth_event_drama_311","","","","se_labyrinth",""
"311011","","311","21","0","vo_labyrinth_drama_31101","","","","vo_labyrinth_drama",""
"311012","","311","3","0","311_hiyori_jankenpon_win","","0","","310",""
"311013","","311","3","0","jankenpon_lose","","0","","104",""
"311014","","311","32","","1","","","","300",""
"311015","","311","37","","L_gu_WIN","","","","303",""
"311016","","311","37","","R_choki_LOSE","","","","304",""
"311017","","311","93","","0","","","","3.133",""
"311018","","311","32","","1","","","","301",""
"311019","","311","21","0","vo_labyrinth_drama_31102","","","","vo_labyrinth_drama",""
"311020","","311","93","","0","","","","1.867",""
"312001","empty","312","5","55","310","0","1.9","-213","310","-225"
"312002","empty","312","5","50","105","0","0.8","-187","105","427"
"312003","","312","31","0","300","","0","1","300","0"
"312004","","312","31","0","303","","1","1","303","0"
"312005","","312","31","0","304","","1","1","303","0"
"312006","","312","31","0","302","","0","1","302","0"
"312007","","312","91","","0","","","","312001",""
"312008","","312","3","0","empty","","0","","310",""
"312009","","312","91","","","","","","0",""
"312010","","312","23","0","se_labyrinth_event_drama_312","","","","se_labyrinth",""
"312011","","312","21","0","vo_labyrinth_drama_31201","","","","vo_labyrinth_drama",""
"312012","","312","3","0","312_hiyori_jankenpon_lose","","0","","310",""
"312013","","312","3","0","jankenpon_win","","0","","105",""
"312014","","312","32","","1","","","","300",""
"312015","","312","37","","L_gu_LOSE","","","","303",""
"312016","","312","37","","R_pa_WIN","","","","304",""
"312017","","312","93","","0","","","","3",""
"312018","","312","32","","1","","","","302",""
"312019","","312","21","0","vo_labyrinth_drama_31202","","","","vo_labyrinth_drama",""
"312020","","312","93","","0","","","","2",""
"321001","empty","321","5","55","320","0","1.9","-213","320","-225"
"321002","empty","321","5","50","105","0","0.8","-187","105","427"
"321003","","321","31","0","300","","0","1","300","0"
"321004","","321","31","0","303","","1","1","303","0"
"321005","","321","31","0","304","","1","1","303","0"
"321006","","321","31","0","301","","0","1","301","0"
"321007","","321","91","","0","","","","321001",""
"321008","","321","3","0","empty","","0","","320",""
"321009","","321","91","","","","","","0",""
"321010","","321","23","0","se_labyrinth_event_drama_321","","","","se_labyrinth",""
"321011","","321","21","0","vo_labyrinth_drama_32101","","","","vo_labyrinth_drama",""
"321012","","321","3","0","321_rei_jankenpon_win","","0","","320",""
"321013","","321","3","0","jankenpon_lose","","0","","105",""
"321014","","321","32","","1","","","","300",""
"321015","","321","37","","L_choki_WIN","","","","303",""
"321016","","321","37","","R_pa_LOSE","","","","304",""
"321017","","321","93","","0","","","","3.133",""
"321018","","321","32","","1","","","","301",""
"321019","","321","21","0","vo_labyrinth_drama_32102","","","","vo_labyrinth_drama",""
"321020","","321","93","","0","","","","1.867",""
"322001","empty","322","5","55","320","0","1.9","-213","320","-225"
"322002","empty","322","5","50","103","0","0.9","-187","103","427"
"322003","","322","31","0","300","","0","1","300","0"
"322004","","322","31","0","303","","1","1","303","0"
"322005","","322","31","0","304","","1","1","303","0"
"322006","","322","31","0","302","","0","1","302","0"
"322007","","322","91","","0","","","","322001",""
"322008","","322","3","0","empty","","0","","320",""
"322009","","322","91","","","","","","0",""
"322010","","322","23","0","se_labyrinth_event_drama_322","","","","se_labyrinth",""
"322011","","322","21","0","vo_labyrinth_drama_32201","","","","vo_labyrinth_drama",""
"322012","","322","3","0","322_rei_jankenpon_lose","","0","","320",""
"322013","","322","3","0","jankenpon_win","","0","","103",""
"322014","","322","32","","1","","","","300",""
"322015","","322","37","","L_choki_LOSE","","","","303",""
"322016","","322","37","","R_gu_WIN","","","","304",""
"322017","","322","93","","0","","","","3",""
"322018","","322","32","","1","","","","302",""
"322019","","322","21","0","vo_labyrinth_drama_32202","","","","vo_labyrinth_drama",""
"322020","","322","93","","0","","","","2",""
"331001","empty","331","5","55","330","0","1.9","-213","330","-225"
"331002","empty","331","5","50","103","0","0.9","-187","103","427"
"331003","","331","31","0","300","","0","1","300","0"
"331004","","331","31","0","303","","1","1","303","0"
"331005","","331","31","0","304","","1","1","303","0"
"331006","","331","31","0","301","","0","1","301","0"
"331007","","331","91","","0","","","","331001",""
"331008","","331","3","0","empty","","0","","330",""
"331009","","331","91","","","","","","0",""
"331010","","331","23","0","se_labyrinth_event_drama_331","","","","se_labyrinth",""
"331011","","331","21","0","vo_labyrinth_drama_33101","","","","vo_labyrinth_drama",""
"331012","","331","3","0","331_yui_jankenpon_win","","0","","330",""
"331013","","331","3","0","jankenpon_lose","","0","","103",""
"331014","","331","32","","1","","","","300",""
"331015","","331","37","","L_pa_WIN","","","","303",""
"331016","","331","37","","R_gu_LOSE","","","","304",""
"331017","","331","93","","0","","","","3.133",""
"331018","","331","32","","1","","","","301",""
"331019","","331","21","0","vo_labyrinth_drama_33102","","","","vo_labyrinth_drama",""
"331020","","331","93","","0","","","","1.867",""
"332001","empty","332","5","55","330","0","1.9","-213","330","-225"
"332002","empty","332","5","50","104","0","0.8","-187","104","427"
"332003","","332","31","0","300","","0","1","300","0"
"332004","","332","31","0","303","","1","1","303","0"
"332005","","332","31","0","304","","1","1","303","0"
"332006","","332","31","0","302","","0","1","302","0"
"332007","","332","91","","0","","","","332001",""
"332008","","332","3","0","empty","","0","","330",""
"332009","","332","91","","","","","","0",""
"332010","","332","23","0","se_labyrinth_event_drama_332","","","","se_labyrinth",""
"332011","","332","21","0","vo_labyrinth_drama_33201","","","","vo_labyrinth_drama",""
"332012","","332","3","0","332_yui_jankenpon_lose","","0","","330",""
"332013","","332","3","0","jankenpon_win","","0","","104",""
"332014","","332","32","","1","","","","300",""
"332015","","332","37","","L_pa_LOSE","","","","303",""
"332016","","332","37","","R_choki_WIN","","","","304",""
"332017","","332","93","","0","","","","3",""
"332018","","332","32","","1","","","","302",""
"332019","","332","21","0","vo_labyrinth_drama_33202","","","","vo_labyrinth_drama",""
"332020","","332","93","","0","","","","2",""
"411001","empty","411","1","53","100511","0","1.3","-180","2","-250"
"411002","empty","411","5","52","100","0","0.66","-180","100","250"
"411003","empty","411","5","51","101","0","0.66","-180","101","250"
"411004","empty","411","5","50","102","0","0.66","-180","102","250"
"411005","","411","31","0","411","","1","1","411","0"
"411006","","411","91","","0","","","","411004",""
"411007","","411","3","0","empty","","0","","100511",""
"411008","","411","91","","","","","","0",""
"411009","","411","23","0","se_labyrinth_event_drama_411","","","","se_labyrinth",""
"411010","","411","3","0","411_matsuri_battle","","0","","100511",""
"411011","","411","3","0","411_battle","","0","","100",""
"411012","","411","3","0","411_battle","","0","","101",""
"411013","","411","3","0","411_battle","","0","","102",""
"411014","","411","32","","1","","","","411",""
"411015","","411","93","","0","","","","1.033",""
"411016","","411","21","0","vo_labyrinth_drama_41101","","","","vo_labyrinth_drama",""
"411017","","411","93","","0","","","","0.967",""
"421001","empty","421","1","60","107111","0","1.3","-180","2","-250"
"421002","","421","31","0","421","","1","1","421","0"
"421003","","421","91","","0","","","","421001",""
"421004","","421","3","0","empty","","0","","107111",""
"421005","","421","91","","","","","","0",""
"421006","","421","23","0","se_labyrinth_event_drama_421","","","","se_labyrinth",""
"421007","","421","3","0","421_chris_battle","","0","","107111",""
"421008","","421","32","","1","","","","421",""
"421009","","421","93","","0","","","","0.1",""
"421010","","421","21","0","vo_labyrinth_drama_42101","","","","vo_labyrinth_drama",""
"421011","","421","93","","0","","","","1.9",""
"511001","empty","511","1","51","105611","0","1.3","-205","2","-187"
"511002","empty","511","5","52","2","0","0.66","-205","2","-187"
"511003","empty","511","5","50","3","0","0.66","-205","2","-187"
"511004","","511","6","1","1","0","0","0","105611","1"
"511005","","511","6","1","1","0","0","0","2","1"
"511006","","511","6","1","1","0","0","0","3","1"
"511007","","511","31","-187","1","","1","1","1","-205"
"511008","","511","31","0","510","","0","1","510","0"
"511009","","511","91","","0","","","","511003",""
"511010","","511","3","0","empty","","0","","105611",""
"511011","","511","91","","","","","","0",""
"511012","","511","23","0","se_labyrinth_event_drama_511","","","","se_labyrinth",""
"511013","","511","3","0","510_ruka_fishing","","0","","105611",""
"511014","","511","3","0","511_fishing_normal","","0","","2",""
"511015","","511","3","0","510_fishing_B","","0","","3",""
"511016","","511","6","1","1","0","0.1","1","105611","1"
"511017","","511","6","1","1","0","0.1","1","2","1"
"511018","","511","6","1","1","0","0.1","1","3","1"
"511019","","511","37","","notice_510","","","","1",""
"511020","","511","32","","1","","","","510",""
"511021","","511","93","","0","","","","1.433",""
"511022","","511","21","0","vo_labyrinth_drama_51101","","","","vo_labyrinth_drama",""
"511023","","511","93","","0","","","","1.267",""
"512001","empty","512","1","51","105611","0","1.3","-205","2","-187"
"512002","empty","512","5","52","2","0","0.66","-205","2","-187"
"512003","empty","512","5","50","3","0","0.66","-205","2","-187"
"512004","","512","6","1","1","0","0","0","105611","1"
"512005","","512","6","1","1","0","0","0","2","1"
"512006","","512","6","1","1","0","0","0","3","1"
"512007","","512","31","-187","1","","1","1","1","-205"
"512008","","512","31","0","510","","0","1","510","0"
"512009","","512","91","","0","","","","512003",""
"512010","","512","3","0","empty","","0","","105611",""
"512011","","512","91","","","","","","0",""
"512012","","512","23","0","se_labyrinth_event_drama_512","","","","se_labyrinth",""
"512013","","512","3","0","510_ruka_fishing","","0","","105611",""
"512014","","512","3","0","512_fishing_rare_1","","0","","2",""
"512015","","512","3","0","510_fishing_B","","0","","3",""
"512016","","512","6","1","1","0","0.1","1","105611","1"
"512017","","512","6","1","1","0","0.1","1","2","1"
"512018","","512","6","1","1","0","0.1","1","3","1"
"512019","","512","37","","notice_510","","","","1",""
"512020","","512","32","","1","","","","510",""
"512021","","512","93","","0","","","","1.633",""
"512022","","512","21","0","vo_labyrinth_drama_51201","","","","vo_labyrinth_drama",""
"512023","","512","93","","0","","","","1.067",""
"513001","empty","513","1","51","105611","0","1.3","-205","2","-187"
"513002","empty","513","5","52","2","0","0.66","-205","2","-187"
"513003","empty","513","5","50","3","0","0.66","-205","2","-187"
"513004","","513","6","1","1","0","0","0","105611","1"
"513005","","513","6","1","1","0","0","0","2","1"
"513006","","513","6","1","1","0","0","0","3","1"
"513007","","513","31","-187","1","","1","1","1","-205"
"513008","","513","31","0","510","","0","1","510","0"
"513009","","513","91","","0","","","","513003",""
"513010","","513","3","0","empty","","0","","105611",""
"513011","","513","91","","","","","","0",""
"513012","","513","23","0","se_labyrinth_event_drama_513","","","","se_labyrinth",""
"513013","","513","3","0","510_ruka_fishing","","0","","105611",""
"513014","","513","3","0","513_fishing_failed","","0","","2",""
"513015","","513","3","0","510_fishing_B","","0","","3",""
"513016","","513","6","1","1","0","0.1","1","105611","1"
"513017","","513","6","1","1","0","0.1","1","2","1"
"513018","","513","6","1","1","0","0.1","1","3","1"
"513019","","513","37","","notice_510","","","","1",""
"513020","","513","32","","1","","","","510",""
"513021","","513","93","","0","","","","1.5",""
"513022","","513","21","0","vo_labyrinth_drama_51301","","","","vo_labyrinth_drama",""
"513023","","513","93","","0","","","","1.2",""
"514001","empty","514","1","51","105611","0","1.3","-205","2","-187"
"514002","empty","514","5","52","2","0","0.66","-205","2","-187"
"514003","empty","514","5","50","3","0","0.66","-205","2","-187"
"514004","","514","6","1","1","0","0","0","105611","1"
"514005","","514","6","1","1","0","0","0","2","1"
"514006","","514","6","1","1","0","0","0","3","1"
"514007","","514","31","-187","1","","1","1","1","-205"
"514008","","514","31","0","510","","0","1","510","0"
"514009","","514","91","","0","","","","514003",""
"514010","","514","3","0","empty","","0","","105611",""
"514011","","514","91","","","","","","0",""
"514012","","514","23","0","se_labyrinth_event_drama_514","","","","se_labyrinth",""
"514013","","514","3","0","510_ruka_fishing","","0","","105611",""
"514014","","514","3","0","514_fishing_rare_2","","0","","2",""
"514015","","514","3","0","510_fishing_B","","0","","3",""
"514016","","514","6","1","1","0","0.1","1","105611","1"
"514017","","514","6","1","1","0","0.1","1","2","1"
"514018","","514","6","1","1","0","0.1","1","3","1"
"514019","","514","37","","notice_510","","","","1",""
"514020","","514","32","","1","","","","510",""
"514021","","514","93","","0","","","","1.566",""
"514022","","514","21","0","vo_labyrinth_drama_51401","","","","vo_labyrinth_drama",""
"514023","","514","93","","0","","","","1.134",""
"611001","empty","611","1","52","106611","0","1.9","-200","1","-180"
"611002","empty","611","1","54","105511","0","1.9","-220","1","-340"
"611003","empty","611","5","50","106","0","1","-170","106","210"
"611004","","611","31","0","600","","1","1","600","0"
"611005","","611","31","0","601","","1","1","601","0"
"611006","","611","91","","","","","","611003",""
"611007","","611","93","","0","","","","0.1",""
