653515a3321979badc2d4ce11599a6d8e279e69dc6034d543a19f73c3961d410,be49ec8a8748a232eca835e7fe986fb3062c5ce4301f98f36bce12caf9da43e2,17e5c7c33f7fac82375e72781266b371a894f83248c031b37e27548f7b223e25,98be0185a62d7338945728c3551ae873cd3ab1210acde127c03a90182af437c6
"1001","0","無法戰鬥的角色為0人以下時獲勝","100101"
"1001","1","無法戰鬥的角色為1人以下時獲勝","100102"
"1001","2","無法戰鬥的角色為2人以下時獲勝","100103"
"1002","74001","戰鬥剩餘時間為1:15以上時獲勝","100201"
"1002","69001","戰鬥剩餘時間為1:10以上時獲勝","100202"
"1002","59001","戰鬥剩餘時間為1:00以上時獲勝","100203"
"1002","49001","戰鬥剩餘時間為0:50以上時獲勝","100204"
"1002","44001","戰鬥剩餘時間為0:45以上時獲勝","100205"
"1002","39001","戰鬥剩餘時間為0:40以上時獲勝","100206"
"1002","29001","戰鬥剩餘時間為0:30以上時獲勝","100207"
"1003","1000","我方的Total HP為100%以上時獲勝","100301"
"1003","900","我方的Total HP為90%以上時獲勝","100302"
"1003","800","我方的Total HP為80%以上時獲勝","100303"
"1003","700","我方的Total HP為70%以上時獲勝","100304"
"1003","600","我方的Total HP為60%以上時獲勝","100305"
"1003","500","我方的Total HP為50%以上時獲勝","100306"
