4a93817d427d36aa71a0ea18af1a199751ca28e6cd72c3366495065a77a6ccca,f4a57bc3f11e81b75c4e74cc089bb50ef31b896329b7724759235d91eaee6624,eff6fa70c82880c4016868ffe4a141eeb5f47924f2a1cb5d67734bc7c5f83a17,4576626c61a011ea993f63c9dcbccdb45f0a4d2313db6dbcc590adecfc9ee064,48f7bb9efa9597747b6f5c8d94025d787898ae7c56e61e3384761571d11b959f,847062652a96c643efd03f026c66b509fe97effb6e05248c62c32f27cfd0d161,20422c3f0ef97766dc15e6c71db6924ea787f6216e7ed6ca3af30cdc84de13b5,ea72ab9d7a5fca4f5266298c692f56f24879e7fab0fc699f9fb022f626b59560,7dfb3266dadf6b6080949282143dfa5adb12ea63c3fc9e2d05ccbab1d84cb8a8,792716d58d857712abdf5045110f01a7fd0c5d8c817a04249bdfd32985a46417,65c2d5eb2c24c2cc4f2246e07c30ed476e8c63efa17f4edde844616ca876f8ec
"0","0","0","50061","10003","10001","0","10002","0","0","10004"
"0","0","0","50067","10003","10001","0","10002","0","0","10005"
"0","0","0","50079","10003","10001","0","10002","10006","0","10005"
"10007","0","0","50084","10003","10001","0","10002","10006","0","10005"
"10007","10008","0","50094","10003","10001","0","10002","10006","0","10005"
"10007","10008","0","50108","10003","10001","10009","10002","10006","0","10005"
"10007","10008","0","50116","10003","10001","10009","10002","10006","0","10005"
"10007","10008","10010","50119","10003","10001","10009","10002","10006","0","10005"
"10007","10008","10010","50129","10003","10001","10009","10002","10006","0","10005"
"10007","10008","10010","50140","10003","10001","10009","10002","10006","10011","10005"
"10008","10009","10011","50151","10005","10002","10010","10003","10007","10012","10006"
"0","0","0","50162","10011","10009","0","10010","10013","0","10012"
"0","0","0","50172","10012","10010","0","10011","10014","0","10013"
"0","0","0","50183","10013","10011","0","10012","10015","0","10014"
"0","0","0","50190","10015","10013","0","10014","10005","0","10007"
"0","0","0","50195","10014","10012","0","10013","10016","0","10015"
"0","0","0","50200","10016","10014","0","10015","10002","0","10003"
"0","0","0","50217","10015","10013","0","10014","10017","0","10016"
"0","0","0","50231","10017","10015","0","10016","10009","0","10010"
"0","0","0","50237","10016","10014","0","10015","10018","0","10017"
"0","0","0","50248","0","10019","0","0","0","0","0"
"0","0","0","50261","0","10011","0","0","0","0","0"
"0","0","0","50267","0","10020","0","0","0","0","0"
"0","0","0","50278","0","10021","0","0","0","0","0"
"0","0","0","50291","0","10006","0","0","0","0","0"
"0","0","0","50298","0","10022","0","0","0","0","0"
"0","0","0","50309","0","10023","0","0","0","0","0"
"0","0","0","50321","0","10024","0","0","0","0","0"
"0","0","0","50331","0","10025","0","0","0","0","0"
"0","0","0","50341","0","10026","0","0","0","0","0"
"0","0","0","50354","0","10027","0","0","0","0","0"
"0","0","0","50365","0","10028","0","0","0","0","0"
"0","0","0","50375","0","10029","0","0","0","0","0"
"0","0","0","50383","0","10030","0","0","0","0","0"
"0","0","0","50393","0","10019","0","0","0","0","0"
"0","0","0","50405","0","10031","0","0","0","0","0"
"0","0","0","50406","0","10032","0","0","0","0","0"
"0","0","0","50414","0","10033","0","0","0","0","0"
