7a2341af162b07b755f0e8c5dd0267c2c3d455d5bef7a6e72492f4c56c3dc121,1e70caef1dcd5bcf10d22e699d13fe429d862e1bf3bde85b8a612ddd60bbccb8,efc0229154b03aac32f988961b8ef311fa09ee427e5df9ebe3184fea41fda01b,8dac5b4003396bc2d79ab94554b17a3f382dd7e57c29d4df99472263fe16dec5,905916bb0210159e5863068caa974abefcf46dbd361a5bef599ede25f25e91f8,e75211ac30e3d0a6474986e6d50cc430b667e14051c85baccec930f31f2ef743
"1001","10101001","15","1","58002001","1"
"1002","10101002","15","1","58002002","2"
"1003","10101003","15","1","58002003","3"
"1001","10201001","15","1","56011001","4"
"1002","10201002","15","1","56011002","5"
"1003","10201003","15","1","56011003","6"
"0","91002","8","50","56011003","7"
"1001","10201004","15","1","56011004","8"
"1002","10201005","15","1","56011005","9"
"1003","10201006","15","1","56011006","10"
"0","91002","8","50","56011006","11"
"1001","10201007","15","1","56011007","12"
"1002","10201008","15","1","56011008","13"
"1003","10201009","15","1","56011009","14"
"0","91002","8","50","56011009","15"
"1001","10201010","15","1","56011010","16"
"1002","10201011","15","1","56011011","17"
"1003","10201012","15","1","56011012","18"
"0","91002","8","50","56011012","19"
"1001","10201013","15","1","56011013","20"
"1002","10201014","15","1","56011014","21"
"1003","10201015","15","1","56011015","22"
"0","91002","8","50","56011015","23"
"1001","10201016","15","1","56011016","24"
"1002","10201017","15","1","56011017","25"
"1003","10201018","15","1","56011018","26"
"0","91002","8","50","56011018","27"
"1001","10201019","15","1","56011019","28"
"1002","10201020","15","1","56011020","29"
"1003","10201021","15","1","56011021","30"
"0","91002","8","50","56011021","31"
"1001","10201022","15","1","56011022","32"
"1002","10201023","15","1","56011023","33"
"1003","10201024","15","1","56011024","34"
"0","91002","8","50","56011024","35"
"1001","10201025","15","1","56011025","36"
"1002","10201026","15","1","56011026","37"
"1003","10201027","15","1","56011027","38"
"0","91002","8","50","56011027","39"
"1001","10201028","15","1","56011028","40"
"1002","10201029","15","1","56011029","41"
"1003","10201030","15","1","56011030","42"
"0","91002","8","50","56011030","43"
"1001","10201031","15","1","56011031","44"
"1002","10201032","15","1","56011032","45"
"1003","10201033","15","1","56011033","46"
"0","91002","8","50","56011033","47"
"1001","10201034","15","1","56011034","48"
"1002","10201035","15","1","56011035","49"
"1003","10201036","15","1","56011036","50"
"0","91002","8","50","56011036","51"
"1001","10201037","15","1","56011037","52"
"1002","10201038","15","1","56011038","53"
"1003","10201039","15","1","56011039","54"
"0","91002","8","50","56011039","55"
"1001","10201040","15","1","56011040","56"
"1002","10201041","15","1","56011041","57"
"1003","10201042","15","1","56011042","58"
"0","91002","8","50","56011042","59"
"1001","10201043","15","1","56011043","60"
"1002","10201044","15","1","56011044","61"
"1003","10201045","15","1","56011045","62"
