d637ecf14657832f8ef9221b174b662100899e692ea9956a159f0e9db87b6be4,08028757fcc7dd63f13c380726ace353586086b53af0b62011ef28f81c8b4509,6eef9fb84cd7a00c035fb4b28cc16a0b52641638fd72beee752044c7533d46f9,9f1a088b8511b8dbbb01bd33b0c47db97c50653e8e40f6ca4a43dd8dc2c3c23e,af1f8c440a9a34d1a34cd89a321e3eb367c6492b135087f507f8e10c35f32153
"火屬性獎勵特大幅度提升","1","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407010","12"
"提升物理防禦力（不可降低）","2","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407010","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","3","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407010","boss_magic_def_lower_limit"
"賦予TP上升的上限","4","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407010","17"
"降低HP吸收","5","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407010","9"
"火屬性獎勵特大幅度提升","6","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407020","12"
"提升物理防禦力（不可降低）","7","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407020","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","8","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407020","boss_magic_def_lower_limit"
"賦予TP上升的上限","9","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407020","17"
"降低HP吸收","10","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407020","9"
"火屬性獎勵特大幅度提升","11","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407030","12"
"提升物理防禦力（不可降低）","12","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407030","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","13","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407030","boss_magic_def_lower_limit"
"賦予TP上升的上限","14","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407030","17"
"降低HP吸收","15","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407030","9"
"火屬性獎勵特大幅度提升","16","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407110","12"
"傷害值衰減","17","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407110","18"
"提升物理防禦力（不可降低）","18","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407110","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","19","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407110","boss_magic_def_lower_limit"
"賦予TP上升的上限","20","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407110","17"
"降低HP吸收","21","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407110","9"
"減少降低TP","22","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407110","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","23","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407120","12"
"傷害值衰減","24","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407120","18"
