011996b84b5a20567b0f52e84f301f04b78fdee9f896783af90b891f39c3a427,d87df8a2967658fb0b78f6b82046e24795d262755425476eaafc2d8951f9c45d,0548d890af6468c421448900fe4e348991354b7b977d91489e4eae32085b1067,dbb1412c0d1d3bf845f2df737a9ec8048ec885966a31cb7b75ce9b0e0638520a
"10000","1st Anniversary 特殊登入獎勵","2019/08/01 05:00:00","2019/08/15 04:59:00"
"10002","1.5週年登入禮","2020/01/21 05:00:00","2020/02/07 04:59:59"
"10003","2nd Anniversary 特殊登入獎勵","2020/06/22 05:00:00","2020/07/08 04:59:59"
"10004","2.5 Anniversary 特殊登入獎勵","2021/02/09 05:00:00","2021/02/26 04:59:59"
"10005","3rd Anniversary 特殊登入獎勵","2021/08/01 05:00:00","2021/08/15 04:59:59"
"10006","3.5 Anniversary 特殊登入獎勵","2022/02/01 05:00:00","2022/02/18 04:59:59"
"10007","4th Anniversary 特殊登入獎勵","2022/08/01 05:00:00","2022/08/15 04:59:59"
"10008","4.5 Year Anniversary 特殊登入獎勵","2023/01/20 05:00:00","2023/02/06 04:59:59"
"10009","5th Anniversary 特殊登入獎勵","2023/08/01 05:00:00","2023/08/15 04:59:59"
"10010","5.5 Year Anniversary 特殊登入獎勵","2024/02/07 05:00:00","2024/02/24 04:59:59"
"10011","6th Anniversary 特殊登入獎勵","2024/08/01 05:00:00","2024/08/16 04:59:59"
