9b40948a7faec1499d6222f93de5fe74de55aaa512f4f891c124d74964a53419,0d2256a734080958fc52039adef1d44ba989946f4709b61f10e08b8d28856e3a,74679332215ab7fed456e1841f63fa0c99bcc5bfb35c8ceab88069536c2923e3,092d0fa841a183e4ea8e4db3179d5ec929213b29995eaf6372ec99f8675034a9,abe55f92f6ea621a7f6201250c3a3efd8a632b85da7b4fe1310eecd0dda4cc19
"1","0","0","3030100","1"
"2","0","0","3050100","1"
"3","0","0","3040100","1"
"4","0","0","3020100","1"
"5","0","0","2040100","1"
"5","0","0","2040100","2"
"6","0","0","2020100","1"
"6","0","0","2020100","2"
"7","314","0","1030100","1"
"8","0","0","4030100","1"
"9","502","0","1050100","1"
"10","0","0","4020100","1"
"11","0","0","2030100","1"
"11","0","0","2030100","2"
"12","0","10301010","3040100","1"
"13","202","0","1020100","1"
"14","406","20201010","1040102","1"
"15","105","0","1010200","1"
"15","0","0","2010200","2"
"15","0","0","2010200","3"
"16","0","0","3050200","1"
"17","0","0","3040200","1"
"18","0","0","3020200","1"
"19","0","0","2040200","1"
"19","0","0","2040200","2"
"20","0","0","2020200","1"
"20","0","0","2020200","2"
"21","315","0","1030200","1"
"22","205","0","1020200","1"
"23","509","0","1050200","1"
"24","0","0","4020200","1"
"25","0","0","2030200","1"
"25","0","0","2030200","2"
"26","0","0","4030200","1"
"27","0","10101020","3020200","1"
"28","408","20201020","1040200","1"
"29","0","10101020","3040200","1"
"30","0","10101020","3010200","1"
"31","102","0","1010300","1"
"31","0","0","2010300","2"
"31","0","0","2010300","3"
"32","0","0","3050300","1"
"33","0","0","3040300","1"
"34","0","0","3020300","1"
"35","0","0","2040300","1"
"35","0","0","2040300","2"
"36","0","0","2020300","1"
"36","0","0","2020300","2"
"37","306","0","1030300","1"
"38","206","0","1020300","1"
"39","502","0","1050300","1"
"40","0","0","4020300","1"
"41","0","0","2030300","1"
"41","0","0","2030300","2"
"42","0","0","4030300","1"
"43","0","10101030","3020300","1"
"44","406","20201030","1040300","1"
"45","0","10101050","3010300","1"
"46","0","10101050","3040300","1"
"47","0","10101050","3030300","1"
"48","0","10101050","3010300","1"
"49","0","10101050","3020300","1"
"50","112","30102050","1010300","1"
