7c6425e515d352a36c9aac7265309323802bcf264f56c853c1d3d011fafa65d3,4238db3be329c81fc0ce266eaab165a4e2722ffdaf55e9adb8467363456411da,c25c0bd86a0ea0ba4e2199097dfa231ab79e7ec61069da15a2331ca3c54e2b99,98af53461b245829e49465e11fbcc91cc7215be76045c0fde5653f34532f53aa,7fe63e962a7f70890faa5521c289adadf8d74646d2bf58586b0578ca86da863b,b91a9df6346111c74f1cda1b8c3fe14732f4c2ab1d561077cc3a24060d14d985,7b5418921cb13624691e703b475ca2b5766a419d469f3c6fb97aff1972e9d59f,56841119145b89910997fafcc128c0ae55ddbd204b7da24a480a90c9d552dee7,3c95b096a8fae4bf7d9afa0e5e644fa272041d21d2ef5c9b430b7a58e89b1b38,30b9106623560eeae420695ffc08020b8535d3516a7002d2fbb1ee3727b32d70,adbd2c4a0bd03fabbf68c6eecbe05a4ccbe34a7ee8fbe48f243cea2412d0c688
"1","0","1","130011","1.3","bsm_idle_yamato","0","100","1","1001","0"
"3","1","130011","bsm_drama_arm_crossed","0.2","","0","0","1","1002","bsm_drama_arm_crossed_loop"
"21","","vo_minigame_1014","vo_minigame_1014_top_1000","","","","0","1","1003","0"
"11","0","130011","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","0","1","0","5","1","1004","1"
"91","","0","","","","","","1","1005",""
"3","","130011","bsm_idle_yamato","0.3","","","1","1","1006",""
"1","0","1","130011","1.3","bsm_idle_yamato","0","100","2","2001","0"
"3","","130011","bsm_drama_thinking","0.2","","","1","2","2002",""
"21","","vo_minigame_1014","vo_minigame_1014_top_1001","","","","0","2","2003","0"
"11","0","130011","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","0","1","0","6","2","2004","1"
"91","","0","","","","","","2","2005",""
"3","","130011","bsm_idle_yamato","0.3","","","1","2","2006",""
"1","0","1","130011","1.3","bsm_idle_yamato","0","100","3","3001","0"
"3","1","130011","bsm_drama_doya","0.2","","0","0","3","3002","bsm_drama_doya_loop"
"21","","vo_minigame_1014","vo_minigame_1014_top_1002","","","","0","3","3003","0"
"11","0","130011","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","0","1","0","7","3","3004","1"
"91","","0","","","","","","3","3005",""
"3","","130011","bsm_idle_yamato","0.3","","","1","3","3006",""
"1","0","1","130111","1.3","bsm_idle_wakana","0","100","4","4001","0"
"3","1","130111","bsm_drama_guts","0.2","","0","0","4","4002","bsm_drama_guts_loop"
"21","","vo_minigame_1014","vo_minigame_1014_top_2000","","","","0","4","4003","0"
"11","0","130111","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","0","1","0","8","4","4004","1"
"91","","0","","","","","","4","4005",""
"3","","130111","bsm_idle_wakana","0.3","","","1","4","4006",""
"1","0","1","130111","1.3","bsm_idle_wakana","0","100","5","5001","0"
"3","","130111","bsm_drama_wish","0.2","","","1","5","5002",""
"21","","vo_minigame_1014","vo_minigame_1014_top_2001","","","","0","5","5003","0"
"11","0","130111","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","0","1","0","8","5","5004","1"
"91","","0","","","","","","5","5005",""
"3","","130111","bsm_idle_wakana","0.3","","","1","5","5006",""
"1","0","1","130111","1.3","bsm_idle_wakana","0","100","6","6001","0"
"3","","130111","bsm_drama_pazzled","0.2","","","1","6","6002",""
"21","","vo_minigame_1014","vo_minigame_1014_top_2002","","","","0","6","6003","0"
"11","0","130111","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","0","1","0","7","6","6004","1"
"91","","0","","","","","","6","6005",""
"3","","130111","bsm_idle_wakana","0.3","","","1","6","6006",""
"1","0","1","130211","1.3","bsm_idle_fubuki","0","100","7","7001","0"
"3","","130211","bsm_drama_smile","0.2","","","1","7","7002",""
"21","","vo_minigame_1014","vo_minigame_1014_top_3000","","","","0","7","7003","0"
"11","0","130211","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","0","1","0","5","7","7004","1"
"91","","0","","","","","","7","7005",""
"3","","130211","bsm_idle_fubuki","0.2","","","1","7","7006",""
"1","0","1","130211","1.3","bsm_idle_fubuki","0","100","8","8001","0"
"3","1","130211","bsm_drama_doya","0.2","","","0","8","8002","bsm_drama_doya_loop"
"21","","vo_minigame_1014","vo_minigame_1014_top_3001","","","","0","8","8003","0"
"11","0","130211","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","0","1","0","7","8","8004","1"
"91","","0","","","","","","8","8005",""
"3","","130211","bsm_idle_fubuki","0.2","","","1","8","8006",""
"1","0","1","130211","1.3","bsm_idle_fubuki","0","100","9","9001","0"
"3","1","130211","bsm_drama_laugh","0.2","","0","0","9","9002","bsm_drama_laugh_loop"
"21","","vo_minigame_1014","vo_minigame_1014_top_3002","","","","0","9","9003","0"
"11","0","130211","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","0","1","0","7","9","9004","1"
"91","","0","","","","","","9","9005",""
"3","","130211","bsm_idle_fubuki","0.2","","","1","9","9006",""
