ac9883ecd9b9f3575a10bdfbceb3c21290ca579b87a60be253fc55d0fbadc1aa,377a8bc89299cf5be85c8a75b6fa3efbb7e35a0048d7b4baf6ccdc135ddd1c3d,10d6c757f5e30ed336e1e17623a50cec9c8136e8c7afa175292f81cd649a2128,a2d23af15122d0add7bb067d71be877aa823c78f3e2f15781cc6a0d47f1b7b47,d9ada8d53f1dafa39ca06aec987628d4bcc2e2e16f3e28faf742a1be84256434,ac004b7e0a8e1fdaaff5ac189d7e5d98a6e129d2b624d60456013b1286c579ab,5b6de9c4484c16e4dde9d1180ecb033f87cf3eb3b489e9f9dd3fe29182db7a83,30463ef30c0aa71b4ba1c3645456d3f043541712eef3df8ec5b8db431bea5c0e,f35d5690d50bbc0fbdd7a99e8d492812014016b4dc5e9c6cb24ea477650bae1e,d774df4949be1e6b6b0e3c040c6a7529f034dfdafb5d57311445fc143345b5c3,459d5506fec01f87e4f6a772e3dde47f61d974e8c9c097f38e84b018bb2c2cc4,e995531ea5cadb5f36161825aef293732ca580e8408afddd5b338e829e9b5452
"107511","游泳圈游泳（黃）","103","0","10140","0","10140101","0","1","2","0","10"
"107611","游泳圈游泳（藍）","102","0","10140","0","10140102","0","1","2","0","15"
"107711","游泳圈游泳（黃）","103","0","10140","0","10140103","0","1","1","0","10"
"108011","游泳圈游泳（藍）","102","0","10140","0","10140106","0","1","2","0","10"
"110011","游泳圈游泳（粉）","101","0","10140","0","10140107","0","1","2","0","10"
"110111","游泳圈游泳（粉）","101","0","10140","0","10140108","0","1","1","0","10"
"110311","游泳圈游泳（黃）","103","0","10140","0","10140109","0","1","1","0","3"
"110411","游泳圈游泳（藍）","102","0","10140","0","10140110","0","1","2","0","10"
"110511","游泳圈游泳（藍）","102","0","10140","0","10140111","0","1","2","0","10"
"110611","游泳圈游泳（粉）","101","0","10140","0","10140112","0","1","2","0","50"
"113111","游泳圈游泳（藍）","102","0","10140","0","10140113","0","1","1","0","5"
"113211","游泳圈游泳（藍）","102","0","10140","0","10140114","0","1","1","0","5"
"113311","游泳圈游泳（藍）","102","0","10140","0","10140115","0","1","1","0","5"
"113411","游泳圈游泳（藍）","102","0","10140","0","10140116","0","1","2","0","10"
"113511","游泳圈游泳（藍）","102","0","10140","0","10140117","0","1","2","0","10"
"113611","游泳圈游泳（藍）","102","0","10140","0","10140118","0","1","2","0","10"
"115711","游泳圈游泳（藍）","102","0","10140","0","10140119","0","1","1","0","5"
"117011","游泳圈游泳（粉）","101","0","10140","0","10140120","0","1","2","0","10"
"117111","游泳圈游泳（藍）","102","0","10140","0","10140121","0","1","2","0","10"
"117211","游泳圈游泳（藍）","102","0","10140","0","10140122","0","1","2","0","10"
"117311","游泳圈游泳（藍）","102","0","10140","0","10140123","0","1","2","0","10"
