257fa9a16e7851db4b10b022eb68c64c46086bd25c219867401fce927b5e27d3,c5eaff78bb46d2e9013ce8869f22524e429c6350b5f6a353e2a97144badbbc4a,8776fbd64800351050be49fde885ac93c9b882d888b581a6142c09d8e273fe02,a60136d86628b71765dfdb25a5e43817373d48081ecbcdc242cac03e26c5138a,b594102b8aae82dbb271f6da64f500cabbb6db8fcde48950f2ff21ecf3f87ebc,476cc8484ae9b1ef02455cc087575e9e7a211b38910f2fdd435f19128f24919a,eff02aa87b9e84ec828bca5df6da6f9fbf0699ce705c402f1f512a2246f0a644,a3ccfa0d1b39c83848c68eedb8f6eba3693ef4468bdafa9f934ac03f8bd1aec6,10d4c8fb2c59f9dc9fb7fa94c6bb24ff6003a0ae3280d731eaa94e06aa2463cb,dfbf4dcf8c16d004246af5d826426752ba685da2abf0d3e7f685f05fc5aa30b0,ea36e5a165da2f90efa622aeac97e6177b53230f5d80999471d0458fa79c73cb,cf3ee7b059b1add77b26d0b65f289d560c290876272769e6735c98a5f71a14a7,fa8345557cc012626b0b52314b387abb06eed468e14f7597f2ec7135082e846f,829825321bab9ab51db5c2e332986d08e6fa086de2fccdaddd994794049fc49d,b80ae4d337d3d46c7f98a378305fc73abaf2de3129a916ff63160ef27082cafd,6a49a3023e30c5028b5ebad1c3045e49ad81d4f46eb2ed0fd35ee1d953c0f809
"275000001","2","0","0","0","26202","0","0","0","0","0","0","80000","0","0","0"
"275000002","2","0","0","0","26202","0","0","0","0","0","0","85000","0","0","0"
"275000003","2","0","0","0","26202","0","0","0","0","0","0","90000","0","0","0"
"275000004","2","0","0","0","26202","0","0","0","0","0","0","95000","0","0","0"
"275000005","2","0","0","0","26202","0","0","0","0","0","0","100000","0","0","0"
"275000006","2","0","0","0","26202","0","0","0","0","0","0","105000","0","0","0"
"275000007","2","0","0","0","26202","0","0","0","0","0","0","110000","0","0","0"
"275000008","2","0","0","0","26202","0","0","0","0","0","0","115000","0","0","0"
"275000009","2","0","0","0","26202","0","0","0","0","0","0","120000","0","0","0"
"275000010","2","0","0","0","26202","0","0","0","0","0","0","125000","0","0","0"
"275000011","2","0","0","0","26202","0","0","0","0","0","0","130000","0","0","0"
"275000012","2","0","0","0","26202","0","0","0","0","0","0","135000","0","0","0"
"276010001","2","400","0","0","26202","0","0","0","4109501","2","90013","50000","0","18","1"
"276010002","2","425","0","0","26202","0","0","0","0","2","90013","50000","0","0","0"
"276010003","2","450","0","0","26202","0","0","0","0","2","90013","50000","0","0","0"
"276010004","2","475","0","0","26202","0","0","0","0","2","90013","100000","0","0","0"
"276010005","2","500","0","0","26202","0","0","0","26203","2","90013","100000","0","2","1"
"276020001","2","400","0","0","26202","0","0","0","4101501","2","90013","50000","0","18","1"
"276020002","2","425","0","0","26202","0","0","0","0","2","90013","50000","0","0","0"
"276020003","2","450","0","0","26202","0","0","0","0","2","90013","50000","0","0","0"
"276020004","2","475","0","0","26202","0","0","0","0","2","90013","100000","0","0","0"
"276020005","2","500","0","0","26202","0","0","0","26203","2","90013","100000","0","2","1"
