024ff818350bc9957a5e899eccf81d023ac13cf873b11fd0e0dd23b8d11d04b7,f9dbf4c22ab148a3a8bd469c65079e069856a77a1d5b060a2a5b019e7bce7075,6e8bb44450c52e3c7c571bb57561d3ea974c4f5657ded9717e020db9c0b066ca,daae4f18ab3a7fd61185b45db5eed55e1303712a9f53f0a904554d2c4079cb5a,8d5ab75983013d8e7f5cc04ed181a5ff46c2fd82ac85de462ded99392abeb7b2,ab47662e2f3b97d722b6a183f25e8d3f4969db9e363389bd188fdd9d26ba8cb2,e53d12329c2ecd5e05f3f36dba7a9a4d8cfcf3991906f91616c4aef3b16eda29,c12d4fa265772481519a1d7e01f94887540ae92e35a51b152a9c29a1eb9e65c1,630248edef50f673309857d54a5677732cfd184dd582be83cb7cb339ff9a9288,9b5408af607d4dece291944add074d65120c711822f78adde70341e27e71936f
"","10001","53003","8","2","2","-1","3","22","15"
"","10002","53003","5","1","1","14","3","22","1"
"若菜的施捨","10003","52019","2","0","0","0","3","23","0"
"","10004","53003","8","2","2","-1","4","22","15"
"","10005","53003","5","1","1","14","4","22","1"
"若菜的施捨","10006","52019","2","0","0","0","4","23","0"
"","10007","53003","8","2","2","-1","5","22","15"
"","10008","53003","5","1","1","14","5","22","1"
"若菜的施捨","10009","52019","2","0","0","0","5","23","0"
"","10010","53003","8","2","2","-1","6","22","15"
"","10011","53003","5","1","1","14","6","22","1"
"若菜的施捨","10012","52019","2","0","0","0","6","23","0"
"","10013","53003","8","2","2","-1","7","22","15"
"","10014","53003","5","1","1","14","7","22","1"
"若菜的施捨","10015","52019","2","0","0","0","7","23","0"
"","10016","53003","8","2","2","-1","8","22","15"
"","10017","53003","5","1","1","14","8","22","1"
"若菜的施捨","10018","52019","2","0","0","0","8","23","0"
