d8ebecb0a25c5e45be3dc795919f47e0412dc78c43396f29180e92ab797476b3,0133e193ee7cd15dcfdc0661145bf940ea4055db6074072ea9473388affa4daa,a124a0af9dacb77c39be2d8e7b3b6417662eaa89af064687b640c3bc75e1c472,771303114d9d04ae4d2cede103ca4302738858407b1669912baf36261bbbe2f0,4172eb51d474bde1ff6660ad1642dcf26c49f27e81dc93af6842af22a024cf14,d01ded0120155b12e7461669fa8c266480f6840432f4dd54004774f1f1d2391d,2001096197ceb8f9f18908a5248babe01cc0f07c767657122c344b7d7face767
"1","0","0","10008101","","1","10008111"
"2","0","0","10008112","","1","10008115"
"3","0","0","10008101","","3","10008103"
"4","0","0","10008105","","3","10008115"
"5","0","0","10008112","","4","150"
"6","0","0","10028101","","1","10028111"
"7","0","0","10028112","","1","10028115"
"8","0","0","10028101","","3","10028103"
"9","0","0","10028105","","3","10028115"
"10","0","0","10028112","","4","150"
"11","20012107","0","20012104","","11","20012104"
"12","20012109","0","20012108","","11","20012108"
"13","20012114","0","20012110","","11","20012110"
"14","20012115","0","20012115","","11","20012115"
"15","0","0","20012110","","4","120"
"16","0","0","20008101","","1","20008111"
"17","0","0","20008112","","1","20008115"
"18","0","0","20008101","","3","20008103"
"19","0","0","20008105","","3","20008115"
"20","0","0","20008112","","4","150"
