4eb314119dcd176919153b132b31bef2b436dc9cb506fb49732db97d827064c0,10e9fd304f379ac9e5dcca12593741fc4622cc6b40eae91075dffe97a2fcb919,c1ba8274fde20f95b2bf9234a4046ba2d58b1e69f9653cd4f4bc25a1442a5c73,4119dad0d22ca8280783b325a99fc8858c6e274fc2cd6b5388ada06816f5845f,dad0575cb93b6aa81979ba757633f4d3a7fc310fa5057c1f2cebd19c3abb60c3
"1","300","1","1","135"
"1","-100","1","2","425"
"2","125","1","3","-100"
"2","-415","1","4","375"
"3","-50","1","5","25"
"3","-300","1","6","-25"
"4","-335","1","7","-195"
"4","-415","1","8","105"
"5","-160","1","9","135"
"6","-40","1","10","345"
"7","90","1","11","-230"
"8","-420","1","12","230"
"9","250","1","13","30"
"10","-245","1","14","280"
"11","-110","1","15","-150"
