5a627f59cfcf33539a09464f00ac8e3372aef26365c4d148bf097be796b5c96a,ac0685082cd863428b4bff6e6880a42085ee6174fa9f8880351b3662b3593080,4fbb07674c05da51b9ada243761af49e49e7e49b1fde66ced6e49186e8fd9114
"1","1","30009"
"2","2","30011"
"3","3","30016"
"4","4","30022"
"4","5","50023"
"5","6","50027"
"6","7","30031"
"7","8","30044"
"7","9","30045"
"8","10","30060"
"8","11","50061"
"9","12","50067"
"9","13","30072"
"10","14","30068"
"10","15","30076"
"11","16","50094"
"11","17","30093"
"11","18","40003"
"12","19","50108"
"12","20","30099"
"13","21","30103"
"14","22","30107"
"15","23","30114"
"15","24","40004"
"15","25","30117"
"15","26","30118"
"16","27","30117"
"16","28","30118"
"16","29","50119"
"16","30","30120"
"16","31","30122"
"16","32","30126"
"16","33","30123"
"16","34","50129"
"16","35","30125"
"17","36","30127"
"17","37","30130"
"18","38","30148"
"18","39","40005"
"18","40","30150"
"18","41","50151"
"19","42","50151"
"19","43","30152"
"19","44","30153"
"19","45","30154"
"19","46","40006"
"19","47","30156"
"19","48","30157"
"20","49","30161"
"20","50","30163"
"21","51","30163"
"21","52","30164"
"21","53","30166"
"21","54","30167"
"22","55","30171"
"22","56","30170"
"22","57","50172"
"22","58","30173"
"23","59","30173"
"23","60","30174"
"23","61","30175"
"23","62","30176"
"23","63","30177"
"24","64","30179"
"24","65","40007"
"24","66","30182"
"24","67","50183"
"25","68","50183"
"25","69","30184"
"25","70","30186"
"25","71","30187"
"25","72","30188"
"25","73","50195"
"26","74","50190"
"26","75","30194"
"26","76","30196"
"27","77","30213"
"27","78","40008"
"27","79","30215"
"27","80","30216"
"27","81","50217"
"28","82","30224"
"28","83","30225"
"28","84","30226"
"28","85","30227"
"29","86","30235"
"29","87","30236"
"29","88","50237"
"29","89","30238"
"30","90","30244"
"30","91","40009"
"30","92","30247"
"30","93","50248"
"31","94","30256"
"31","95","30257"
"31","96","30258"
"32","97","30274"
"32","98","40010"
"32","99","30276"
"32","100","30277"
"32","101","50278"
"33","102","30286"
"33","103","30287"
"33","104","30288"
"34","105","30295"
"34","106","30296"
"34","107","30297"
"34","108","50298"
"34","109","30299"
"35","110","30305"
"35","111","30306"
"35","112","40011"
"35","113","30308"
"35","114","50309"
"36","115","30319"
"36","116","30320"
"36","117","50321"
"37","118","30339"
"37","119","40012"
"37","120","50341"
"37","121","30342"
"37","122","30343"
"38","123","30363"
"38","124","30364"
"38","125","50365"
"38","126","30366"
"39","127","30370"
"39","128","40013"
"39","129","30374"
"40","130","30381"
"40","131","30382"
"40","132","50383"
"41","133","30401"
"41","134","40014"
"41","135","30404"
"41","136","50405"
"42","137","30422"
"42","138","30423"
