f7c7f803fa5796264ef8582bc48048109d87ca03cad4e8436aeeaf4468ed5a1d,8640bff4a7669fd6321bff8b7df8a77598e179eee1cbf82ccd8d22e0baeefd77,9d3a05a51133988288f4548ade4f73cab11fce7811373a20f5926f87bf87d84e,7d4b7fad23addabe11dd98209d46793a61dbb9aa94dc9679d33c4734469cbb59,c4825caa49d0d756bd5c3f27868b99db4e3b0c67222542d0f422078ce0d730e3,29c249af8b5e737be4d981c9d20d605a867529a85fc29bbdf30f868181f663ac,e4247184ae3938d33dbe7b77eacccd0281bff477adf9d9e73094fba8f110fb72,2b7ae9c5068623d3452f92744ef0f9bb9915553b9ff86ef67be01183513c2d86,658a5880d9ea7da19c62e3a3695139385fd9cb64b2cd52058c9cb902d4b56f53,73c47c7f7ab9a167a543f6f8b9ecad016158149e708409598985f919bd97d691,52c90416c75dde043ce9f70cb6333b0119c8e6d96c0c8bc2be65153c4fd686e3,31028b4ad4446de31bcbe5148c06f4897226faa88131a95e664c9cb411339963
"0","1000102","0","0","0","10001201","10001","1000101","2018/09/07 16:00:00","10001115","0","0"
"0","0","0","0","0","0","10001","1000102","0","0","0","1000101"
"0","1000202","0","0","0","10002201","10002","1000201","2018/10/13 16:00:00","10002115","0","0"
"0","0","0","0","0","0","10002","1000202","0","0","0","1000201"
"0","1000302","0","0","0","10003201","10003","1000301","2018/11/11 16:00:00","10003115","0","0"
"0","0","0","0","0","0","10003","1000302","0","0","0","1000301"
"0","1000402","0","0","0","10004201","10004","1000401","2018/12/11 16:00:00","10004115","0","0"
"0","1000403","0","0","0","0","10004","1000402","0","0","0","1000401"
"0","0","0","0","0","0","10004","1000403","0","0","0","1000402"
"0","1000502","0","0","0","10005201","10005","1000501","2019/01/13 16:00:00","10005115","0","0"
"0","1000503","0","0","0","0","10005","1000502","0","0","0","1000501"
"0","0","0","0","0","0","10005","1000503","0","0","0","1000502"
"0","1000602","0","0","0","10006201","10006","1000601","2019/02/11 12:00:00","10006115","0","0"
"0","1000603","0","0","0","0","10006","1000602","0","0","0","1000601"
"0","0","0","0","0","0","10006","1000603","0","0","0","1000602"
"0","1000702","0","0","0","10007201","10007","1000701","2019/03/13 16:00:00","10007115","0","0"
"0","1000703","0","0","0","0","10007","1000702","0","0","0","1000701"
"0","0","0","0","0","0","10007","1000703","0","0","0","1000702"
"0","1000802","0","0","0","10008201","10008","1000801","2019/04/09 16:00:00","10008115","0","0"
"0","1000803","0","0","0","0","10008","1000802","0","0","0","1000801"
"0","0","0","0","0","0","10008","1000803","0","0","0","1000802"
"0","1000902","0","0","0","10009201","10009","1000901","2019/05/09 12:00:00","10009115","0","0"
"0","1000903","0","0","0","0","10009","1000902","0","0","0","1000901"
"0","0","0","0","0","0","10009","1000903","0","0","0","1000902"
"0","1001002","0","0","0","10010201","10010","1001001","2019/06/10 12:00:00","10010115","0","0"
"0","1001003","0","0","0","0","10010","1001002","0","0","0","1001001"
"0","0","0","0","0","0","10010","1001003","0","0","0","1001002"
