5cf181bc4eb147f926a49a70541acbbc244a45549058391c9a44c6939a0105ad,4470b3b57e00d0dd7074e20fba48f5f1e6d3106a5cd63b0120a76093fd4f426e,3021d06ff59c328d98b5be74fdf28f9faa1a7a2079b7cbac37bf7d3777109619,77005c2bc413a27d2b01cfd190a5ea613e4d1a2766a5cfc65e55baadef78c65f,2b8a30ae96a91af0699000ebc411ab22733ea52ca1ae3b4e6c3997b18d59d9de,c1a4d4139977eac1707151c543807b52c11569e61069d99835a0f15e6c4a063a,ab7e913459f3fe2c0c694c1de82ebb79d95710cc16175bd6d98ee70800705f6f,eecb3039f5bfaf66fc79b609a6767d5825e6f1b792e23d714780f99f2f5b1b90,4a3ead5ea0763a94d428d2e3f112940cac166d257ca49efa1d1966a98c45f126,055c70082c8f1887789e7fde7160baf4ada51ef3203bc2745737db44585620f8,63c5ee41de0bf241213acfc3f2b6fac8257dadbf95e87d729cc1705ffd61ab53,1ec0e2c22e9ea384d72147fd5482eef3f8af68e44ee1e46f01d4e5ba74baaade,05450ad7f8fd859139e776ef1eafd2a21bb334ff6908a5d3c7fbea23bb9e5e09,c2530c195e1183a713a88eec1d72c4995ffb3faa0dc4b4ed8147cc782faa699e,0913717bf594da9bd35418a5c576a8b81203ca43ff7bb8d4fb2ed2858130f095,b0e69b11534fadf76ba5b3debb22729aff77de07836eb0c33f790026a57ef3ef,fe032950b1c4f560f4a03faf72efe311f0eaf081d5eebe8505454f63d24c9428,dc417f437d37754c9ddf3b68d373d28ade23427b73856ec3e189d9d07a312ac6,e044aca4b2c397e695d6e914a89633178ebeb0f754ab3476abd62df235562ab8
"5","0","610010004","5010321","90","1.5","0","0","","0","0","1","610010401","0","10010","0","0","0","2"
"5","0","610010005","5010322","90","1.5","0","0","","0","0","2","610010402","0","10010","108","0","0","3"
"5","0","610010006","0","90","1.5","0","0","","0","0","3","0","0","10010","0","0","0","1"
"5","0","610011004","5011322","90","1.5","5011321","0","","0","0","1","0","0","10011","0","0","70","1"
"5","0","610011005","5011323","90","1.5","0","0","","0","0","2","0","0","10011","0","0","40","1"
"5","0","610011006","0","90","1.5","0","0","","0","0","3","0","0","10011","0","0","0","1"
"5","1","610012004","5012321","90","1.5","0","0","","0","3","1","610012401","600","10012","0","0","0","2"
"5","1","610012005","5012322","90","1.5","0","0","","0","0","2","0","0","10012","0","0","51","1"
"5","1","610012006","0","90","1.5","0","0","","0","0","3","0","0","10012","0","0","0","1"
"5","1","610013004","5013321","90","1.5","0","0","","0.9","3","1","610013401","600","10013","0","50","0","2"
"5","0","610013005","5013322","90","1.5","0","0","","1","0","2","0","0","10013","0","84","50","1"
"5","0","610013006","0","90","1.5","0","0","","1","0","3","0","0","10013","0","84","0","1"
"5","1","610015004","5015321","90","1.5","0","0","","0.9","3","1","610015401","600","10015","0","1","0","2"
"5","1","610015005","5015322","90","1.5","0","0","","1.3","0","2","0","0","10015","0","-50","50","1"
"5","1","610015006","0","90","1.5","0","0","","1.3","0","3","0","0","10015","0","-50","0","1"
"5","1","610017004","5017321","90","1.5","0","0","","0.9","3","1","610017401","600","10017","0","50","0","2"
"5","1","610017005","5017322","90","1.5","0","0","","1","0","2","0","0","10017","0","84","50","1"
