c9d2206aa9b50fb4e12f8c108fac1f340e987ddbe1a9aafd08dd9d3b5f6c5da0,78b065dabcc30fb3cccb659ad9d2980ef1d26e2bb97da89a603e13fc456a1279,19744942317ba1e951a6e4a6bea1a87062d4d3f75b7b6883f93d185ff7e6d532,c71d2cd078eb0c9e6fff3cd22cedb0c42ebe3533ef52deca29f51c6ed173fc1f,92cd702bd9a9ba29681d379502f4dc1df5ef31249e10efe305bbd0115b275862,9149a731df431474b6143e061b39312fdffa86a5e63807ec3663f908c1d63102,fbb7e1ae86f9a9b86264f39a57a60695dbeb962f25ee5a633291e30553936e33,43462c993a442ad0b204703ba79b6bdb27dc65fbc7930f693bbc29da59cd7d10,ff8a44e4acfb0866cda9bc2b12fe97ae5463642c481c166134a11561e9d43620,5061ba3c0619afcee7a6509ad22315c508b30d2abc728c4d9ac1245dabd23ce3,d21c2d3ba1d81e60973df1a82b0a14190b078100cc2377f4f12c4064a2b10fbc,46755f8b2d2e94c44a205775004069ed78d6b19ce94f16928f0a8ac6794d7f36,523adbf5938c34eae13bcc84fdbc4bd31c5aea3da9257b4c6376a4c8912f1827,29503637c8b45adedf652d3efc8e9f6ec7280afa19648ac6702dcd8d8400f6c2,822708ff1d1402b4b62f642e4e5bea6bbf64885c1767fd6e8736f646fd53a5b8,9f8921cfe831eb4a16a656d00372b8a9da5c4848ca8e1b782085d47decbc40d9
"40","0","2","2","1001101","40","0","8","90006","0","91002","0","22002","0","1","0"
"60","0","2","2","1001102","50","0","8","90006","0","91002","0","22002","0","2","0"
"80","0","2","2","1001103","60","0","8","90006","0","91002","0","22002","0","3","0"
"100","0","2","2","1001104","80","0","8","90006","0","91002","0","22002","0","4","0"
"200","0","2","2","1001105","150","0","8","90006","0","91002","0","22003","0","2","0"
"20","0","0","2","1001106","1","0","2","22002","0","90006","0","0","0","0","0"
"20","0","0","2","1001107","1","0","2","22002","0","90006","0","0","0","0","0"
"20","0","0","2","1001108","1","0","2","22002","0","90006","0","0","0","0","0"
"20","0","0","2","1001109","1","0","2","22002","0","90006","0","0","0","0","0"
"20","0","0","2","1001110","1","0","2","22003","0","90006","0","0","0","0","0"
"40","0","2","2","1002101","40","0","8","90006","0","91002","0","22002","0","1","0"
"60","0","2","2","1002102","50","0","8","90006","0","91002","0","22002","0","2","0"
"80","0","2","2","1002103","60","0","8","90006","0","91002","0","22002","0","3","0"
"100","0","2","2","1002104","80","0","8","90006","0","91002","0","22002","0","4","0"
"200","0","2","2","1002105","150","0","8","90006","0","91002","0","22003","0","2","0"
"40","0","0","2","1002106","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1002107","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1002108","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1002109","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1002110","1","0","2","22003","0","90006","0","0","0","0","0"
"40","0","2","2","1003101","40","0","8","90006","0","91002","0","22002","0","1","0"
"60","0","2","2","1003102","50","0","8","90006","0","91002","0","22002","0","2","0"
"80","0","2","2","1003103","60","0","8","90006","0","91002","0","22002","0","3","0"
"100","0","2","2","1003104","80","0","8","90006","0","91002","0","22002","0","4","0"
"200","0","2","2","1003105","150","0","8","90006","0","91002","0","22003","0","2","0"
"40","0","0","2","1003106","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1003107","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1003108","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1003109","1","0","2","22002","0","90006","0","0","0","0","0"
"40","0","0","2","1003110","1","0","2","22003","0","90006","0","0","0","0","0"
"40","0","2","2","1004101","20","0","8","90006","0","91002","0","0","0","0","0"
"50","0","2","2","1004102","30","0","8","90006","0","91002","0","0","0","0","0"
"75","0","2","2","1004103","40","0","8","90006","0","91002","0","0","0","0","0"
"100","0","2","2","1004104","50","0","8","90006","0","91002","0","0","0","0","0"
"150","0","2","2","1004105","100","0","8","90006","0","91002","0","31018","0","2","0"
"20","0","2","2","1004106","20","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1004107","30","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1004108","40","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1004109","50","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1004110","100","0","8","90006","0","91002","0","31018","0","1","0"
"20","0","2","2","1004111","30","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1004112","40","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1004113","50","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1004114","60","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1004115","100","0","8","90006","0","91002","0","31018","0","1","0"
"25000","0","0","0","1004116","0","0","12","0","0","94002","0","0","0","0","0"
"40","0","2","2","1005101","20","0","8","90006","0","91002","0","0","0","0","0"
"50","0","2","2","1005102","30","0","8","90006","0","91002","0","0","0","0","0"
"75","0","2","2","1005103","40","0","8","90006","0","91002","0","0","0","0","0"
"100","0","2","2","1005104","50","0","8","90006","0","91002","0","0","0","0","0"
"150","0","2","2","1005105","100","0","8","90006","0","91002","0","31042","0","2","0"
"20","0","2","2","1005106","20","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1005107","30","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1005108","40","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1005109","50","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1005110","100","0","8","90006","0","91002","0","31042","0","1","0"
"20","0","2","2","1005111","30","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1005112","40","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1005113","50","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1005114","60","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1005115","100","0","8","90006","0","91002","0","31042","0","1","0"
"25000","0","0","0","1005116","0","0","12","0","0","94002","0","0","0","0","0"
"40","0","2","2","1006101","20","0","8","90006","0","91002","0","0","0","0","0"
"50","0","2","2","1006102","30","0","8","90006","0","91002","0","0","0","0","0"
"75","0","2","2","1006103","40","0","8","90006","0","91002","0","0","0","0","0"
"100","0","2","2","1006104","50","0","8","90006","0","91002","0","0","0","0","0"
"150","0","2","2","1006105","100","0","8","90006","0","91002","0","31025","0","2","0"
"20","0","2","2","1006106","20","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1006107","30","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1006108","40","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1006109","50","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1006110","100","0","8","90006","0","91002","0","31025","0","1","0"
"20","0","2","2","1006111","30","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1006112","40","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1006113","50","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1006114","60","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1006115","100","0","8","90006","0","91002","0","31025","0","1","0"
"25000","0","0","0","1006116","0","0","12","0","0","94002","0","0","0","0","0"
"40","0","2","2","1007101","20","0","8","90006","0","91002","0","0","0","0","0"
"50","0","2","2","1007102","30","0","8","90006","0","91002","0","0","0","0","0"
"75","0","2","2","1007103","40","0","8","90006","0","91002","0","0","0","0","0"
"100","0","2","2","1007104","50","0","8","90006","0","91002","0","0","0","0","0"
"150","0","2","2","1007105","100","0","8","90006","0","91002","0","31018","0","2","0"
"20","0","2","2","1007106","20","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1007107","30","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1007108","40","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1007109","50","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1007110","100","0","8","90006","0","91002","0","31018","0","1","0"
"20","0","2","2","1007111","30","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1007112","40","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1007113","50","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1007114","60","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1007115","100","0","8","90006","0","91002","0","31018","0","1","0"
"25000","0","0","0","1007116","0","0","12","0","0","94002","0","0","0","0","0"
"40","0","2","2","1008101","20","0","8","90006","0","91002","0","0","0","0","0"
"50","0","2","2","1008102","30","0","8","90006","0","91002","0","0","0","0","0"
"75","0","2","2","1008103","40","0","8","90006","0","91002","0","0","0","0","0"
"100","0","2","2","1008104","50","0","8","90006","0","91002","0","0","0","0","0"
"150","0","2","2","1008105","100","0","8","90006","0","91002","0","31042","0","2","0"
"20","0","2","2","1008106","20","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1008107","30","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1008108","40","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1008109","50","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1008110","100","0","8","90006","0","91002","0","31042","0","1","0"
"20","0","2","2","1008111","30","0","8","90006","0","91002","0","0","0","0","0"
"25","0","2","2","1008112","40","0","8","90006","0","91002","0","0","0","0","0"
"30","0","2","2","1008113","50","0","8","90006","0","91002","0","0","0","0","0"
"40","0","2","2","1008114","60","0","8","90006","0","91002","0","0","0","0","0"
"80","0","2","2","1008115","100","0","8","90006","0","91002","0","31042","0","1","0"
"25000","0","0","0","1008116","0","0","12","0","0","94002","0","0","0","0","0"
"40","0","2","2","1009101","20","0","8","90006","0","91002","0","0","0","0","0"
