d7291273427821dc62eccb15a1ceca1334c3463f4951f1f40704c0ca1377a945,659301735c9ffcc29e6c59d3ecd7cbfebf734516c85d67e1059889f888491243,249db552467f35f1bddac2202e95c6ae9fb733bdd36c1661489504f231ee4dac,b5f726933dae492e7713cc5613974a853b98f95b9a2bbf8b8b1ac8d9d695f7db,a7e9c1d06537fa8fe60dd1a2086e3e5719068580e596898157f58344f372e325,45f57f92fa4f315aab7265248464aebb21e01bc8bc4e84881262dca7dbfc6b74,354c381884a4a21fd5e0393ac370da2c85c9cb0f4ea79d4609b12bd8083fdd85,19c614191689a5e720bd51c89014165cf8bf29215eef6c17b4d34eea0d5bf9d6,8f9fe2071f093cd2b4ee2758c6157a22307bcbf0b7a90e5c70f5d69b6ff294c7,a5788dd399b1c6a76aa9871424dee64d7f8495f44df0973fc6e40d05578b9414,d4bb6c51d24ccf35c4c06b2a2499571696ca6cd2e19b4b80d0b31cf0cafb4304,e3b712f87073597e0a136b33225189341f953d35946cf7f6aaf018e956b2e1be,6a40bc242efa59364f6914749de5022dfbd0d4f76bfdc21d2b267a5530e5a2a5,d9498b3bdd7c7623670736ad69b1b06b8e811fad7d435593c5a44fdd66f101a3,dc1b746a9ae2f63d3220f0f2ff781f33f9e63a9a59d7a3e67f9eab8e4c469a68,0d3cd7e3158f5554933c85070e8f9b35e1442a5353c87ef2da56dda6c0cb152c,a2f9143e7ff3bd224f4df89cda5f00afbe3ecd413b8fad4f25d4ee47a82b2b70,66c459d2112243b20d8f86d26e995281f0f89b067139b73db2221e29411384af,85750fd8a53be8741ffc4c99303d000b1e1de65b52f2bc119f2bc9b59668b9b0,3e0497e7059567aed6ff31d41b4f188548c8c2ddd4ddeaa2610e7516094abe3d,dcb396156dc488992a5ac54d5e8be986c411bac2ce0bc8f326e4005162bef70d,528a30f11ad736fd30d84d0da7d011ab657abdf738f1b16a9b770047368fc0a7,ce4dbf799404a68a64f603dda7a719eda4b1033e6afac1cb5fc111a1e2e4ba48,37deecbf37b702010d992a48180921259312ab593754ad6a0d5ed4e03270bff0
"31009","0","8","2015/12/17 15:00:00","2","15063001","-120","-356","0","0","【暮光流星群】出動！","5","11063","31056","2","1","2","在戰鬥中獲得勝利。","300010","31013","30","5","91002","5"
"31043","0","8","2015/12/17 15:00:00","2","15063002","-168","-214","0","0","背面世界的戰鬥訓練","5","11063","31053","2","1","2","在戰鬥中獲得勝利。","300010","31005","30","5","91002","5"
"31016","0","8","2015/12/17 15:00:00","2","15063003","-65","-84","0","0","前往背面世界的畢業旅行？","5","11063","31018","2","1","2","在戰鬥中獲得勝利。","300010","31050","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15063004","109","-116","0","0","《EX》成群的危險暗影","0","11063","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31020","0","8","2015/12/17 15:00:00","2","15063005","-120","614","0","0","小小反轉大冒險","5","11063","31004","2","1","2","在戰鬥中獲得勝利。","300010","31036","30","5","91002","5"
"31006","0","8","2015/12/17 15:00:00","2","15063006","51","655","0","0","目標，出征背面世界？","5","11063","31044","2","1","2","在戰鬥中獲得勝利。","300010","31022","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15063007","30","881","0","0","《EX》成群的危險暗影","0","11063","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31066","0","8","2015/12/17 15:00:00","2","15064001","-179","-247","0","0","代替招呼的背面世界火拼！","5","11064","31065","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"31048","0","8","2015/12/17 15:00:00","2","15064002","-105","0","0","0","新生意的甜～美香氣","5","11064","31032","2","1","2","在戰鬥中獲得勝利。","300010","31034","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15064003","-90","159","0","0","《EX》危險的魔物‧胡狼與眼蔓","0","11064","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"0","0","8","2015/12/17 15:00:00","0","15064004","-79","453","0","0","用火箭拳擊退魔物！","0","11064","90005","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","10"
"31021","0","8","2015/12/17 15:00:00","2","15064005","58","570","0","0","在背面世界野餐？","5","11064","31028","2","1","2","在戰鬥中獲得勝利。","300010","31023","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15064006","-18","905","0","0","《EX》危險暗影與怪鳥獸","0","11064","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31022","0","8","2015/12/17 15:00:00","2","15065001","-123","-442","0","0","妹妹們的照顧之戰","5","11065","31006","2","1","2","在戰鬥中獲得勝利。","300010","31011","30","5","91002","5"
"31033","1","8","2015/12/17 15:00:00","2","15065002","117","-289","51011","2","背面世界開拓記","5","11065","31052","2","1","2","在戰鬥中獲得勝利。","300010","31026","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15065003","-162","-150","0","0","《EX》成群的危險暗影","0","11065","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31049","0","8","2015/12/17 15:00:00","2","15065004","-109","141","0","0","令人興奮的森林野餐！","5","11065","31037","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"31055","0","8","2015/12/17 15:00:00","2","15065005","-34","332","0","0","在甘海高舉大漁旗","5","11065","31030","2","1","2","在戰鬥中獲得勝利。","300010","51012","30","1","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15065006","77","640","0","0","《EX》危險的魔物‧狂熊與翼龍","0","11065","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31185","0","8","2015/12/17 15:00:00","2","15066001","-56","-701","0","0","支援背面世界復興總部","5","11066","31180","2","1","2","在戰鬥中獲得勝利。","300010","51013","30","1","91002","5"
"31017","0","8","2015/12/17 15:00:00","2","15066002","109","-427","0","0","公主們的泡澡外交","5","11066","31010","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15066003","-180","-573","0","0","《EX》天才發明家三女，襲來","0","11066","4102402","0","2","18","在戰鬥中獲得勝利。","300020","0","150","0","91002","1"
"31012","1","8","2015/12/17 15:00:00","2","15066004","-25","-165","51016","2","背面世界安全講習會","5","11066","31015","2","1","2","在戰鬥中獲得勝利。","300010","31040","30","5","91002","5"
"31054","0","8","2015/12/17 15:00:00","2","15066005","-88","110","0","0","背面世界登台！","5","11066","31029","2","1","2","在戰鬥中獲得勝利。","300010","31042","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15066006","97","135","0","0","龍族姊妹的請求","0","11066","90005","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","10"
"0","0","8","2015/12/17 15:00:00","0","15066007","42","443","0","0","《EX》危險暗影與魔物‧雷雷傲M","0","11066","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31008","0","8","2015/12/17 15:00:00","2","15067001","-32","-208","0","0","甜蜜又美味的美容法","5","11067","31258","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"31045","0","8","2015/12/17 15:00:00","2","15067002","44","-58","0","0","確保被虐狂與正太","5","11067","31233","2","1","2","在戰鬥中獲得勝利。","300010","51017","30","1","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15067003","-165","-84","0","0","《EX》受難體質的次女，遇難","0","11067","4105402","0","2","18","在戰鬥中獲得勝利。","300020","0","150","0","91002","1"
"31034","1","8","2015/12/17 15:00:00","2","15067004","90","425","51018","2","寵溺的人是誰","5","11067","31181","2","1","2","在戰鬥中獲得勝利。","300010","31059","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15067005","36","551","0","0","餓肚子咕嚕咕嚕二重奏","0","11067","90005","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","10"
"0","0","8","2015/12/17 15:00:00","0","15067006","-120","602","0","0","《EX》危險的魔物‧大鬼與雷鳥","0","11067","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31014","0","8","2015/12/17 15:00:00","2","15068001","-20","-40","0","0","背面世界也有發生事件的預感","5","11068","31093","2","1","2","在戰鬥中獲得勝利。","300010","51021","30","1","91002","5"
"31051","0","8","2015/12/17 15:00:00","2","15068002","-179","90","0","0","如煉獄中盛開的花朵般","5","11068","31027","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15068003","-171","245","0","0","《EX》心胸開闊的長女，狂醉","0","11068","4101403","0","2","18","在戰鬥中獲得勝利。","300020","0","150","0","91002","1"
"31033","0","8","2015/12/17 15:00:00","2","15068004","44","643","0","0","當心泡昏頭","5","11068","31032","2","1","2","在戰鬥中獲得勝利。","300010","51022","30","1","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15068005","-93","768","0","0","在吉歐‧格黑納追兔子","0","11068","90005","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","10"
"0","0","8","2015/12/17 15:00:00","0","15068006","91","814","0","0","《EX》成群的危險暗影","0","11068","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31020","0","8","2015/12/17 15:00:00","2","15069001","0","-324","0","0","背面世界的走失兒童","5","11069","31047","2","1","2","在戰鬥中獲得勝利。","300010","51023","30","1","91002","5"
"31060","0","8","2015/12/17 15:00:00","2","15069002","-78","-175","0","0","吉歐‧格黑納的魔法研究","5","11069","31016","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15069003","-136","0","0","0","《EX》成群的危險暗影","0","11069","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31055","0","8","2015/12/17 15:00:00","2","15069004","-9","411","0","0","活躍於吉歐‧格黑納的忍者們","5","11069","31096","2","1","2","在戰鬥中獲得勝利。","300010","51024","30","1","91002","5"
"31063","0","8","2015/12/17 15:00:00","2","15069005","-167","522","0","0","特別讓你成為眷屬！","5","11069","31223","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15069006","-39","859","0","0","《EX》成群的危險暗影","0","11069","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"51025","0","8","2015/12/17 15:00:00","2","15070001","128","-291","0","0","在吉歐‧格黑納採集植物","1","11070","31040","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"31065","0","8","2015/12/17 15:00:00","2","15070002","38","-143","0","0","灼熱的打架時間","5","11070","31066","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15070003","-14","0","0","0","《EX》成群的危險暗影‧偶像","0","11070","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"51026","0","8","2015/12/17 15:00:00","2","15070004","38","434","0","0","在深淵般的煉獄中邂逅","1","11070","31009","0","1","2","在戰鬥中獲得勝利。","300010","0","30","0","91002","5"
"31261","0","8","2015/12/17 15:00:00","2","15070005","22","575","0","0","展現大人的從容吧","5","11070","31004","2","1","2","在戰鬥中獲得勝利。","300010","31050","30","5","91002","5"
"0","0","8","2015/12/17 15:00:00","0","15070006","-180","546","0","0","《EX》成群的危險暗影‧財團","0","11070","0","0","2","0","在戰鬥中獲得勝利。","300020","0","150","0","91002","0"
"31180","1","8","2015/12/17 15:00:00","2","15071001","90","15","51027","2","輕快的少女們","5","11071","31028","2","1","2","在戰鬥中獲得勝利。","300010","31002","30","5","91002","5"
