13a6bfec05c6e3191f04f6824954a1034ac019d6518e7d31e3cfa32e4e936d2c,e6710a33348defc8174a8421b678a48e8d93bcb16d27ee75c259f95d0a3b812b,5231c6d2ff6cf551e045e5b71d9d68bd533971f6d5693c663a27d35768d01740,950222c19c704fca3424e25ae0096cc52d692a51f9b661ec3bb26ca1a0a64e3c,08fe51b0685ffa8606ccd0468ac340764f6444545caf5b3632936e2a051a4171,096d7071dce45e2ea74b3e562048636c89fad1ef53ff174c9620651ae6bc17f1,49d77a0d5eea09dd2ecbfe3d13012bf6356a20ef3a5b8ca5c93a7542a5e59892,61c8e02c932f0b094f267d3696ee4a8e0f1259059a3aa5a56833b8ee94023581,34d9b76c114ba6ef7e2c0ebe4c1fdd1f08f44ec214fc583f413c38db70e9e115,bda21795176514d8a9a020a6c49bb83c9e57b4e51bbc8e1be29476ba4ff619b4
"0","10001","2018/01/01 15:00:00","0","0","0","2019/08/01 15:59:59","0","0","0"
"1001","10002","2019/08/01 16:00:00","1","1001","0","2020/02/14 15:59:59","1001","0","1"
"1001","10003","2020/02/14 16:00:00","1","0","0","2020/08/03 15:59:59","0","0","1"
"1001","10004","2020/08/03 16:00:00","1","1002","0","2020/08/31 23:59:59","1002","1002","1"
"1002","10005","2020/08/03 16:00:00","2","1002","2015009","2020/08/31 23:59:59","1002","1002","2"
"1001","10006","2020/09/01","1","0","0","2021/02/09 04:59:59","0","0","1"
"1002","10007","2020/09/01","2","0","2015009","2021/02/09 04:59:59","0","0","2"
"1001","10008","2021/02/09 05:00:00","1","0","0","2021/02/26 04:59:59","0","1003","1"
"1002","10009","2021/02/09 05:00:00","2","0","2015009","2021/02/26 04:59:59","0","1003","2"
"1001","10010","2021/02/26 04:59:59","1","0","0","2021/08/01 04:59:59","0","0","1"
"1002","10011","2021/02/26 04:59:59","2","0","2015009","2021/08/01 04:59:59","0","0","2"
"1001","10012","2021/08/01 05:00:00","1","1003","0","2021/08/31 23:59:59","1003","1004","1"
"1002","10013","2021/08/01 05:00:00","2","1003","2015009","2021/08/31 23:59:59","1003","1004","2"
"1001","10014","2021/09/01","1","0","0","2023/08/01 04:59:59","0","0","1"
"1002","10015","2021/09/01","2","0","2015009","2023/08/01 04:59:59","0","0","2"
"1001","10028","2023/08/01 05:00:00","1","1005","0","2023/08/31 23:59:59","1005","1008","1"
"1002","10029","2023/08/01 05:00:00","2","1005","2015009","2023/08/31 23:59:59","1005","1008","2"
"1001","10030","2023/09/01","1","0","0","2030/08/15 14:59:59","0","0","1"
"1002","10031","2023/09/01","2","0","2015009","2030/08/15 14:59:59","0","0","2"
