f8219dc4b0d6d840b93debf8248a9d57911e03d46c3ca12a234e06af89672332,4242eece80b9a01dd5b406abeffd5747c74b31402d1c2ae9ce28b98f37d01351,6e3209ea16e61931268b356ed69d8a78303ea332b891db0ba3daea13311c3dc2,54bb13fc8e59a3d1e08765c7b976a4214359d58d955afabf154d725e8a753387,2e7c78d2801a3086bc0a3cf8f0a417c3f4f5460631659dd8e1a337a227ae14b3,c3b02fe28647d8ae8012cc929d14405c87a34c74a4e6fa647aeaca0e291442c1,093a4a56ced65152e3f37fbc38cf14e679a0238504202224090f926953e463f2,b2a0ed147348953a280842c4a401870223324ff0dde569553e26c5f96800c69e,dfe28f5038e872538c84ee5415015cc183f6eaa12fb77aedff2578dab43b40d0,44a829262f8fd8d559ba325d9dc0a12769cf5196c43f230d2af80f0b87afa319,5f5ef7d416b897a096722fb9b1025ba38b5b2d6c2fc678b42110c5409ec18e48,f8adc4e66350a625e8dae9dbec7063b4e11831255309d9d799060a661cb934d0,e599b4aabd4e7ccee58c7279f4d4e605ec091ea1ec5032e9275c97a51a2ca536
"1001","8","0","1","1","2","bgm_M90","1","2018/08/22 16:00:00","2018/09/21 15:59:59","2018/08/15 23:00:00","2018/08/20 22:59:00","2018/08/19 22:59:00"
"1002","9","1001","1","1","2","bgm_M97","2","2018/09/21 16:00:00","2018/10/22 15:59:59","2018/09/14 23:00:00","2018/09/19 22:59:00","2018/09/18 22:59:00"
"1003","10","1002","1","1","2","bgm_M104","1","2018/10/22 16:00:00","2018/11/20 04:59:59","2018/10/15 23:00:00","2018/10/20 22:59:00","2018/10/19 22:59:00"
"1004","11","1003","1","1","2","bgm_M115","2","2018/11/20 05:00:00","2018/12/21 15:59:59","2018/11/13 12:00:00","2018/11/18 11:59:00","2018/11/17 11:59:00"
"1005","12","1004","1","1","2","bgm_M119","1","2018/12/21 16:00:00","2019/01/22 15:59:59","2018/12/14 23:00:00","2018/12/19 22:59:00","2018/12/18 22:59:00"
"1006","1","1005","1","1","2","bgm_M132","2","2019/01/22 16:00:00","2019/02/19 04:59:59","2019/01/15 23:00:00","2019/01/20 22:59:00","2019/01/19 22:59:00"
"1007","2","1006","1","1","2","bgm_M139","1","2019/02/19 05:00:00","2019/03/22 04:59:59","2019/02/12 12:00:00","2019/02/17 11:59:00","2019/02/16 11:59:00"
"1008","3","1007","1","1","2","bgm_M166","2","2019/03/22 05:00:00","2019/04/22 04:59:59","2019/03/15 12:00:00","2019/03/20 11:59:00","2019/03/19 11:59:00"
"1009","4","1008","1","1","2","bgm_M175","1","2019/04/22 05:00:00","2019/05/23 04:59:59","2019/04/15 12:00:00","2019/04/20 11:59:00","2019/04/19 11:59:00"
"1010","5","1009","1","1","2","bgm_M181","2","2019/05/23 05:00:00","2019/06/22 04:59:59","2019/05/16 12:00:00","2019/05/21 11:59:00","2019/05/20 11:59:00"
"1011","6","1010","1","1","2","bgm_M186","1","2019/06/22 05:00:00","2019/07/24 04:59:59","2019/06/15 12:00:00","2019/06/20 11:59:00","2019/06/19 11:59:00"
"1012","7","1011","1","1","2","bgm_M205","2","2019/07/24 05:00:00","2019/08/23 04:59:59","2019/07/17 12:00:00","2019/07/22 11:59:00","2019/07/21 11:59:00"
"1013","8","1012","1","1","2","bgm_M90","1","2019/08/23 05:00:00","2019/09/23 04:59:59","2019/08/16 12:00:00","2019/08/21 11:59:00","2019/08/20 11:59:00"
"1014","9","1013","1","1","2","bgm_M97","2","2019/09/23 05:00:00","2019/10/24 04:59:59","2019/09/16 12:00:00","2019/09/21 11:59:00","2019/09/20 11:59:00"
"1015","10","1014","1","1","2","bgm_M104","1","2019/10/24 05:00:00","2019/11/23 04:59:59","2019/10/17 12:00:00","2019/10/22 11:59:00","2019/10/21 11:59:00"
"1016","11","1015","1","1","2","bgm_M115","2","2019/11/23 05:00:00","2019/12/23 04:59:59","2019/11/16 12:00:00","2019/11/21 11:59:00","2019/11/20 11:59:00"
"1017","12","1016","1","1","2","bgm_M119","1","2019/12/23 05:00:00","2020/01/23 04:59:59","2019/12/16 12:00:00","2019/12/21 11:59:00","2019/12/20 11:59:00"
"1018","1","1017","1","1","2","bgm_M132","2","2020/01/23 05:00:00","2020/02/24 04:59:59","2020/01/16 12:00:00","2020/01/21 11:59:00","2020/01/20 11:59:00"
"1019","2","1018","1","1","2","bgm_M139","1","2020/02/24 05:00:00","2020/03/25 04:59:59","2020/02/17 12:00:00","2020/02/22 11:59:00","2020/02/21 11:59:00"
"1020","3","1019","1","1","2","bgm_M166","2","2020/03/25 05:00:00","2020/04/24 04:59:59","2020/03/18 12:00:00","2020/03/23 11:59:00","2020/03/22 11:59:00"
"1021","4","1020","1","1","2","bgm_M175","1","2020/04/24 05:00:00","2020/05/25 04:59:59","2020/04/17 12:00:00","2020/04/22 11:59:00","2020/04/21 11:59:00"
"1022","5","1021","1","1","2","bgm_M181","2","2020/05/25 05:00:00","2020/06/24 04:59:59","2020/05/18 12:00:00","2020/05/23 11:59:00","2020/05/22 11:59:00"
"1023","6","1022","1","1","2","bgm_M186","1","2020/06/24 05:00:00","2020/07/25 04:59:59","2020/06/17 12:00:00","2020/06/22 11:59:00","2020/06/21 11:59:00"
"1024","7","1023","1","1","2","bgm_M205","2","2020/07/25 05:00:00","2020/08/25 04:59:59","2020/07/18 12:00:00","2020/07/23 11:59:00","2020/07/22 11:59:00"
"1025","8","1024","1","1","2","bgm_M90","1","2020/08/25 05:00:00","2020/09/25 04:59:59","2020/08/18 12:00:00","2020/08/23 11:59:00","2020/08/22 11:59:00"
"1026","9","1025","1","1","2","bgm_M97","2","2020/09/25 05:00:00","2020/10/26 04:59:59","2020/09/18 12:00:00","2020/09/23 11:59:00","2020/09/22 11:59:00"
"1027","10","1026","1","1","2","bgm_M104","1","2020/10/26 05:00:00","2020/11/26 04:59:59","2020/10/19 12:00:00","2020/10/24 11:59:00","2020/10/23 11:59:00"
"1028","11","1027","1","1","2","bgm_M115","2","2020/11/26 05:00:00","2020/12/26 04:59:59","2020/11/19 12:00:00","2020/11/24 11:59:00","2020/11/23 11:59:00"
"1029","12","1028","1","1","2","bgm_M119","1","2020/12/26 05:00:00","2021/01/26 04:59:59","2020/12/19 12:00:00","2020/12/24 11:59:00","2020/12/23 11:59:00"
"1030","1","1029","1","1","2","bgm_M132","2","2021/01/26 05:00:00","2021/02/24 04:59:59","2021/01/19 12:00:00","2021/01/24 11:59:00","2021/01/23 11:59:00"
"1031","2","1030","1","1","2","bgm_M139","1","2021/02/24 05:00:00","2021/03/26 04:59:59","2021/02/17 12:00:00","2021/02/22 11:59:00","2021/02/21 11:59:00"
"1032","3","1031","1","1","2","bgm_M166","2","2021/03/26 05:00:00","2021/04/26 04:59:59","2021/03/19 12:00:00","2021/03/24 11:59:00","2021/03/23 11:59:00"
"1033","4","1032","1","1","2","bgm_M175","1","2021/04/26 05:00:00","2021/05/27 04:59:59","2021/04/19 12:00:00","2021/04/24 11:59:00","2021/04/23 11:59:00"
"1034","5","1033","1","1","2","bgm_M181","2","2021/05/27 05:00:00","2021/06/26 04:59:59","2021/05/20 12:00:00","2021/05/25 11:59:00","2021/05/24 11:59:00"
"1035","6","1034","1","1","2","bgm_M186","1","2021/06/26 05:00:00","2021/07/27 04:59:59","2021/06/19 12:00:00","2021/06/24 11:59:00","2021/06/23 11:59:00"
"1036","7","1035","1","1","2","bgm_M205","2","2021/07/27 05:00:00","2021/08/27 04:59:59","2021/07/20 12:00:00","2021/07/25 11:59:00","2021/07/24 11:59:00"
"1037","8","1036","1","1","2","bgm_M90","1","2021/08/27 05:00:00","2021/09/26 04:59:59","2021/08/20 12:00:00","2021/08/25 11:59:00","2021/08/24 11:59:00"
"1038","9","1037","1","1","2","bgm_M97","2","2021/09/26 05:00:00","2021/10/27 04:59:59","2021/09/19 12:00:00","2021/09/24 11:59:00","2021/09/23 11:59:00"
"1039","10","1038","1","1","2","bgm_M104","1","2021/10/27 05:00:00","2021/11/26 04:59:59","2021/10/20 12:00:00","2021/10/25 11:59:00","2021/10/24 11:59:00"
"1040","11","1039","1","1","2","bgm_M115","2","2021/11/26 05:00:00","2021/12/27 04:59:59","2021/11/19 12:00:00","2021/11/24 11:59:00","2021/11/23 11:59:00"
"1041","12","1040","1","1","2","bgm_M119","1","2021/12/27 05:00:00","2022/01/27 04:59:59","2021/12/20 12:00:00","2021/12/25 11:59:00","2021/12/24 11:59:00"
"1042","1","1041","1","1","2","bgm_M132","2","2022/01/27 05:00:00","2022/02/24 04:59:59","2022/01/20 12:00:00","2022/01/25 11:59:00","2022/01/24 11:59:00"
"1043","2","1042","1","1","2","bgm_M139","1","2022/02/24 05:00:00","2022/03/27 04:59:59","2022/02/17 12:00:00","2022/02/22 11:59:00","2022/02/21 11:59:00"
"1044","3","1043","1","1","2","bgm_M166","2","2022/03/27 05:00:00","2022/04/26 04:59:59","2022/03/20 12:00:00","2022/03/25 11:59:00","2022/03/24 11:59:00"
"1045","4","1044","1","1","2","bgm_M175","1","2022/04/26 05:00:00","2022/05/27 04:59:59","2022/04/19 12:00:00","2022/04/24 11:59:00","2022/04/23 11:59:00"
"1046","5","1045","1","1","2","bgm_M181","2","2022/05/27 05:00:00","2022/06/26 04:59:59","2022/05/20 12:00:00","2022/05/25 11:59:00","2022/05/24 11:59:00"
"1047","6","1046","1","1","2","bgm_M186","1","2022/06/26 05:00:00","2022/07/27 04:59:59","2022/06/19 12:00:00","2022/06/24 11:59:00","2022/06/23 11:59:00"
"1048","7","1047","1","1","2","bgm_M205","2","2022/07/27 05:00:00","2022/08/27 04:59:59","2022/07/20 12:00:00","2022/07/25 11:59:00","2022/07/24 11:59:00"
"1049","8","1048","1","1","2","bgm_M90","1","2022/08/27 05:00:00","2022/09/26 04:59:59","2022/08/20 12:00:00","2022/08/25 11:59:00","2022/08/24 11:59:00"
"1050","9","1049","1","1","2","bgm_M97","2","2022/09/26 05:00:00","2022/10/27 04:59:59","2022/09/19 12:00:00","2022/09/24 11:59:00","2022/09/23 11:59:00"
"1051","10","1050","1","1","2","bgm_M104","1","2022/10/27 05:00:00","2022/11/26 04:59:59","2022/10/20 12:00:00","2022/10/25 11:59:00","2022/10/24 11:59:00"
"1052","11","1051","1","1","2","bgm_M115","2","2022/11/26 05:00:00","2022/12/26 04:59:59","2022/11/19 12:00:00","2022/11/24 11:59:00","2022/11/23 11:59:00"
"1053","12","1052","1","1","2","bgm_M119","1","2022/12/26 05:00:00","2023/01/27 04:59:59","2022/12/19 12:00:00","2022/12/24 11:59:00","2022/12/23 11:59:00"
"1054","1","1053","1","1","2","bgm_M132","2","2023/01/27 05:00:00","2023/02/24 04:59:59","2023/01/20 12:00:00","2023/01/25 11:59:00","2023/01/24 11:59:00"
"1055","2","1054","1","1","2","bgm_M139","1","2023/02/24 05:00:00","2023/03/27 04:59:59","2023/02/17 12:00:00","2023/02/22 11:59:00","2023/02/21 11:59:00"
"1056","3","1055","1","1","2","bgm_M166","2","2023/03/27 05:00:00","2023/04/26 04:59:59","2023/03/20 12:00:00","2023/03/25 11:59:00","2023/03/24 11:59:00"
"1057","4","1056","1","1","2","bgm_M175","1","2023/04/26 05:00:00","2023/05/27 04:59:59","2023/04/19 12:00:00","2023/04/24 11:59:00","2023/04/23 11:59:00"
"1058","5","1057","1","1","2","bgm_M181","2","2023/05/27 05:00:00","2023/06/26 04:59:59","2023/05/20 12:00:00","2023/05/25 11:59:00","2023/05/24 11:59:00"
"1059","6","1058","1","1","2","bgm_M186","1","2023/06/26 05:00:00","2023/07/27 04:59:59","2023/06/19 12:00:00","2023/06/24 11:59:00","2023/06/23 11:59:00"
"1060","7","1059","1","1","2","bgm_M205","2","2023/07/27 05:00:00","2023/08/27 04:59:59","2023/07/20 12:00:00","2023/07/25 11:59:00","2023/07/24 11:59:00"
"1061","8","1060","1","1","2","bgm_M90","1","2023/08/27 05:00:00","2023/09/26 04:59:59","2023/08/20 12:00:00","2023/08/25 11:59:00","2023/08/24 11:59:00"
"1063","9","1061","1","1","2","bgm_M97","2","2023/09/26 05:00:00","2023/10/27 04:59:59","2023/09/19 12:00:00","2023/09/24 11:59:00","2023/09/23 11:59:00"
