4880ff6ec066b9bdca26378a43a210c5a828ed25d6aac936fbca9b5753e53d08,44f87417c0dfb37d01287cfc34c872d15000b0990eb27e532d62f8bd1958ae3c,3b2a53486e0c750d0a05c94f17bc0b4e860d7e5bd5a6da71c022528c6549fc6b,c83be518754a56ff30ffdd81a6a8ab0cf84eef240add483c63174c1d84d05411,3283716693c67eac1e863c54ebbe8cdff530772a55aa98c40b258db15a3c5792
"0","26999","1","1","小雞"
"0","26999","2","1","生手"
"0","26999","3","1","魚苗"
"0","26999","4","3","新手賽跑者"
"0","26999","5","1","小嬰兒"
"0","26999","6","1","寶寶"
"0","26999","7","1","小人物"
"0","26999","8","1","無用之人"
"0","26999","9","1","外行人"
"27000","33999","10","1","小魚"
"27000","33999","11","1","新手"
"27000","33999","12","3","愉悅賽跑者"
"27000","33999","13","1","小輩"
"27000","33999","14","1","新人"
"27000","33999","15","1","女孩"
"27000","33999","16","1","期待之星"
"27000","33999","17","1","原石"
"27000","33999","18","2","新希望"
"34000","50399","19","1","探究者"
"34000","50399","20","1","暴徒"
"34000","50399","21","1","天才"
"34000","50399","22","1","奇才"
"34000","50399","23","1","大人物"
"34000","50399","24","1","麒麟兒"
"34000","50399","25","1","希望"
"34000","50399","26","1","新星"
"34000","50399","27","1","逸才"
"50400","59999","28","1","女僕"
"50400","59999","29","1","前輩"
"50400","59999","30","1","中級者"
"50400","59999","31","3","沙灘搶旗者"
"50400","59999","32","1","魚"
"50400","59999","33","1","領袖"
"50400","59999","34","1","主將"
"50400","59999","35","1","獨當一面"
"50400","59999","36","1","半職業"
"50400","59999","37","1","大型新人"
"60000","69999","38","1","流星"
"60000","69999","39","1","老師"
"60000","69999","40","1","海豚"
"60000","69999","41","1","職人"
"60000","69999","42","1","選手"
"60000","69999","43","1","金槍鮪"
"60000","69999","44","1","中等之中"
"60000","69999","45","2","知名人士"
"60000","69999","46","1","異才"
"60000","69999","47","1","精英"
"60000","69999","48","1","高手"
"60000","69999","49","1","行家"
"70000","83999","50","1","虎鯨"
"70000","83999","51","1","名人"
"70000","83999","52","1","魔術師"
"70000","83999","53","1","師傅"
"70000","83999","54","1","潛水艇"
"70000","83999","55","2","短跑選手"
"70000","83999","56","1","名手"
"70000","83999","57","2","王牌賽跑者"
"70000","83999","58","1","職業選手"
"70000","83999","59","1","看板選手"
"70000","83999","60","1","最高權威"
"70000","83999","61","1","教師"
"84000","99999","62","2","速度之星"
"84000","99999","63","1","豪傑"
"84000","99999","64","1","公主"
"84000","99999","65","1","女神"
"84000","99999","66","1","大師"
"84000","99999","67","2","頭號人物"
"84000","99999","68","1","寵兒"
"84000","99999","69","3","狂暴格里芬"
"84000","99999","70","1","飛龍"
"84000","99999","71","2","專家"
"84000","99999","72","2","頂尖賽跑者"
"100000","119999","73","1","飛毛腿"
"100000","119999","74","1","皇后"
"100000","119999","75","2","冠軍"
"100000","119999","76","2","天才賽跑者"
"100000","119999","77","3","紀錄保持人"
"100000","119999","78","1","極致"
"100000","119999","79","2","涅普堤利昂"
"100000","119999","80","2","希德雷克"
"100000","119999","81","1","女傑"
"100000","119999","82","1","革命家"
"100000","119999","83","2","巨星"
"120000","999999","84","2","幻想之星"
"120000","999999","85","2","超級巨星"
"120000","999999","86","3","世界冠軍"
"120000","999999","87","1","傳奇"
"120000","999999","88","1","超人"
"120000","999999","89","1","托爾披頓"
"120000","999999","90","1","加爾基諾司"
"120000","999999","91","2","水之里歐斯"
"120000","999999","92","1","至寶"
"120000","999999","93","3","宗師"
"120000","999999","94","1","英雄"
"120000","999999","95","1","統治天下"
