0350f9bb311b80f41dea328eb2d19a4075919a12b6c2d0a62f65e7596e5411d7,856df8fdbb268160b165495fc35ca5b886264f06c504b6b34a4d148c1116f5d3,102c14977476e7965604eb529e2acac69f4a615c393df629407db9c58bf44836,8e66b0f59cb055ec1dec56a3770c0c81fa6436207106951c6ab6ba6cb94cb2c5,dc978bb71a4a0240f06b0b13089d93918662f18deddead475c579832ba2bd1ae,cbcde45db05d22aea11af99e4aec725a6be506ae1ac062cf483e8038296c0104,1e7097b84e4c4ddbceabd3af12f42060ecc96c83a32d3d2bc58046f1c3d07955
"1","1","0","1110001","英文「Platinum」的金屬，指的是「黃金」。","1","2"
"1","1","0","1110002","要表示羅馬數字的「１」的時候，使用的英文字母是「I」。","1","2"
"1","1","0","1110003","英文「Tornado」，指的是「颱風」。","1","2"
"1","1","0","1110004","「不明飛行物」的略稱是「USO」。","1","2"
"1","1","0","1110005","「略」有耳聞跟軍事戰「略」， 兩個「略」的意思相同。","1","2"
"1","1","0","1110006","代表「智商」的兩個英文字母是「ID」。","1","2"
"1","1","0","1110007","「斑馬線」的英文是「Stripezone」。","1","2"
"1","1","0","1110008","因為形狀長得像新月而得名的麵包，是「可頌麵包」。","1","2"
"1","1","0","1110009","英文「Aquarium」，指的是「美術館」。","1","2"
"1","1","0","1110011","「矯」枉過正跟身手「矯」健 ，兩個「矯」的意思相同。","1","2"
"1","1","0","1110014","「你」或是「您」這種表示對方的代詞，屬於「第一人稱」。","1","2"
"1","1","0","1110015","在工作時偷懶做其他不相關的事情，俗稱「摸魚」。","1","2"
"1","1","0","1110016","電梯按鈕的「B」符號代表「停車場」。","1","2"
"1","1","0","1110017","成語「週而復始」是形容一件事循環不斷。","1","2"
"1","1","0","1110019","成語「怒髮衝冠」是形容一個人「頭髮太蓬」。","1","2"
"1","1","0","1110020","成語「畫皮充飢」是形容徒具虛名而無益於實際。","1","2"
"1","1","0","1110021","「無名英雄」是形容一個人不為人知默默出力。","1","2"
"1","1","0","1110022","「自食惡過」是形容自己的惡行反讓自己受害。","1","2"
"1","1","0","1110024","「延」攬人才跟「延」年益壽，兩個「延」的意思相同。","1","2"
"1","1","0","1110026","「慎重」的反義詞是「輕率」。","1","2"
"1","1","0","1110027","是某個顏色的名字，同時又有「憂鬱的」意思的英文單字是「Blue」。","1","2"
