a2f3f17e3e3aed3e27681f7bd33126517d1e12019c2df0c10e5c171228e7d183,ca4472a20314ffb69a6c657d3aaa52815be33299c0bf9ce49aa6ec3a81702e9e,a1743a61e84d32ae88bfcc59deb89d9b18af3ae5cb0b843193bdd5f86963c043,141694604ca4b353dd0ecc58e84fd92b2a27f1a19efb6db25b633781b096f8e4,f4814d425645dc412c0cc575150762f72e11ee20831eb4310ff9aef9bec38b82
"500000101","18","傷害值衰減","75000001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000102","17","賦予TP上升的上限","75000001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000103","boss_def_lower_limit","提升物理防禦力（不可降低）","75000001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000105","9","降低HP吸收","75000001","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000106","boss_tp_down_cut","減少降低TP","75000001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000201","18","傷害值衰減","75000002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000202","17","賦予TP上升的上限","75000002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000203","boss_def_lower_limit","提升物理防禦力（不可降低）","75000002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000205","9","降低HP吸收","75000002","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000206","boss_tp_down_cut","減少降低TP","75000002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000301","18","傷害值衰減","75000003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000302","17","賦予TP上升的上限","75000003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000303","boss_def_lower_limit","提升物理防禦力（不可降低）","75000003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000304","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000305","9","降低HP吸收","75000003","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000306","boss_tp_down_cut","減少降低TP","75000003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000401","18","傷害值衰減","75000004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000402","17","賦予TP上升的上限","75000004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000403","boss_def_lower_limit","提升物理防禦力（不可降低）","75000004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000405","9","降低HP吸收","75000004","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000406","boss_tp_down_cut","減少降低TP","75000004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000501","18","傷害值衰減","75000005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000502","17","賦予TP上升的上限","75000005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000503","boss_def_lower_limit","提升物理防禦力（不可降低）","75000005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000505","9","降低HP吸收","75000005","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000506","boss_tp_down_cut","減少降低TP","75000005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000601","18","傷害值衰減","75000006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000602","17","賦予TP上升的上限","75000006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000603","boss_def_lower_limit","提升物理防禦力（不可降低）","75000006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000604","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000605","9","降低HP吸收","75000006","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000606","boss_tp_down_cut","減少降低TP","75000006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000701","18","傷害值衰減","75000007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000702","17","賦予TP上升的上限","75000007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000703","boss_def_lower_limit","提升物理防禦力（不可降低）","75000007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000704","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000705","9","降低HP吸收","75000007","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000706","boss_tp_down_cut","減少降低TP","75000007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"500000801","18","傷害值衰減","75000008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"500000802","17","賦予TP上升的上限","75000008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"500000803","boss_def_lower_limit","提升物理防禦力（不可降低）","75000008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"500000804","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","75000008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"500000805","9","降低HP吸收","75000008","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"500000806","boss_tp_down_cut","減少降低TP","75000008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"601000101","18","傷害值衰減","76010001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"601000102","17","賦予TP上升的上限","76010001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"601000103","boss_def_lower_limit","提升物理防禦力（不可降低）","76010001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"601000104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76010001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"601000105","9","降低HP吸收","76010001","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"601000106","boss_tp_down_cut","減少降低TP","76010001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"601000201","18","傷害值衰減","76010002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"601000202","17","賦予TP上升的上限","76010002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"601000203","boss_def_lower_limit","提升物理防禦力（不可降低）","76010002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"601000204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76010002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"601000205","9","降低HP吸收","76010002","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"601000206","boss_tp_down_cut","減少降低TP","76010002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"601000301","18","傷害值衰減","76010003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"601000302","17","賦予TP上升的上限","76010003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"601000303","boss_def_lower_limit","提升物理防禦力（不可降低）","76010003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"601000304","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76010003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"601000305","9","降低HP吸收","76010003","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"601000306","boss_tp_down_cut","減少降低TP","76010003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"601000401","18","傷害值衰減","76010004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"601000402","17","賦予TP上升的上限","76010004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"601000403","boss_def_lower_limit","提升物理防禦力（不可降低）","76010004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"601000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76010004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"601000405","9","降低HP吸收","76010004","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"601000406","boss_tp_down_cut","減少降低TP","76010004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"601000501","18","傷害值衰減","76010005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"601000502","17","賦予TP上升的上限","76010005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"601000503","boss_def_lower_limit","提升物理防禦力（不可降低）","76010005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"601000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76010005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"601000505","9","降低HP吸收","76010005","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"601000506","boss_tp_down_cut","減少降低TP","76010005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"602000101","18","傷害值衰減","76020001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"602000102","17","賦予TP上升的上限","76020001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"602000103","boss_def_lower_limit","提升物理防禦力（不可降低）","76020001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"602000104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76020001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"602000105","9","降低HP吸收","76020001","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"602000106","boss_tp_down_cut","減少降低TP","76020001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。"
"602000201","18","傷害值衰減","76020002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"602000202","17","賦予TP上升的上限","76020002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"602000203","boss_def_lower_limit","提升物理防禦力（不可降低）","76020002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"602000204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76020002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"602000205","9","降低HP吸收","76020002","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"602000206","boss_tp_down_cut","減少降低TP","76020002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。"
"602000301","18","傷害值衰減","76020003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"602000302","17","賦予TP上升的上限","76020003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"602000303","boss_def_lower_limit","提升物理防禦力（不可降低）","76020003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"602000304","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76020003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"602000305","9","降低HP吸收","76020003","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"602000306","boss_tp_down_cut","減少降低TP","76020003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。"
"602000401","18","傷害值衰減","76020004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"602000402","17","賦予TP上升的上限","76020004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"602000403","boss_def_lower_limit","提升物理防禦力（不可降低）","76020004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"602000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76020004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"602000405","9","降低HP吸收","76020004","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"602000406","boss_tp_down_cut","減少降低TP","76020004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。"
"602000501","18","傷害值衰減","76020005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"602000502","17","賦予TP上升的上限","76020005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"602000503","boss_def_lower_limit","提升物理防禦力（不可降低）","76020005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"602000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","76020005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"602000505","9","降低HP吸收","76020005","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"602000506","boss_tp_down_cut","減少降低TP","76020005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。"
