6b429ebfea1efce986350149532e6984992133500ddaf9c6d48abcd1fabda500,bb7a566a532ca44019aff045bdace18ecd484b97f95917217793c16849110a7d,f590547cda25204daf74f1ae80bca50de0aee8acac332f449e991d99fd897f65,f974ef88b396794c6182f93f77183c5217c8c7f8f336b219482df70ab86c10fd,3ecfb1da11754eee7e048f085ab5077c28554bc01ac4a132ceb3b9bc1ce992fb,059ddb9da03762e0b4bcd92125f8b6c0d6f7ed1145841ede0217a449530216c7
"211","1","3001","212","803100263","2146041"
"211","1","3002","212","803100263","2146042"
"211","1","3003","212","803100263","2146043"
"211","1","3004","212","803100263","2146044"
"213","1","3006","212","803100272","2147041"
"213","1","3007","212","803100272","2147042"
"202","1","30011","313","803100253","2145039"
"105","0","30012","302","803100253","2145040"
"204","1","30021","311","803100256","2145069"
"205","1","30022","312","803100256","2145070"
"212","1","30031","310","803100259","2145099"
"107","0","30032","301","803100259","2145100"
"110","0","30041","307","803100262","2146039"
"105","0","30042","302","803100262","2146040"
"203","1","30051","314","803100267","2146081"
"205","1","30061","312","803100269","2147019"
"106","0","30062","303","803100269","2147020"
"202","1","30071","313","803100271","2147039"
"212","1","30072","310","803100271","2147040"
"104","0","300101","100","803100251","2145011"
"104","0","300102","100","803100251","2145012"
"105","0","300103","102","803100251","2145013"
"104","0","300104","100","803100251","2145014"
"105","0","300105","102","803100251","2145015"
"106","0","300106","103","803100251","2145016"
"105","0","300107","102","803100251","2145017"
"106","0","300108","103","803100251","2145018"
"204","1","300109","111","803100251","2145019"
"104","0","300110","100","803100251","2145020"
"104","0","300111","100","803100252","2145021"
"105","0","300112","102","803100252","2145022"
"104","0","300113","100","803100252","2145023"
"105","0","300114","102","803100252","2145024"
"106","0","300115","103","803100252","2145025"
"105","0","300116","102","803100252","2145026"
"106","0","300117","103","803100252","2145027"
"204","1","300118","111","803100252","2145028"
"104","0","300119","100","803100252","2145029"
"104","0","300120","100","803100252","2145030"
"105","0","300121","102","803100253","2145031"
"104","0","300122","100","803100253","2145032"
"105","0","300123","102","803100253","2145033"
"208","1","300124","112","803100253","2145034"
"212","1","300125","110","803100253","2145035"
"104","0","300126","100","803100253","2145036"
"105","0","300127","102","803100253","2145037"
"106","0","300128","103","803100253","2145038"
"107","0","300201","101","803100254","2145041"
"107","0","300202","101","803100254","2145042"
"105","0","300203","102","803100254","2145043"
"106","0","300204","103","803100254","2145044"
"202","1","300205","113","803100254","2145045"
"203","1","300206","114","803100254","2145046"
"107","0","300207","101","803100254","2145047"
"202","1","300208","113","803100254","2145048"
"203","1","300209","114","803100254","2145049"
"107","0","300210","101","803100254","2145050"
"107","0","300211","101","803100255","2145051"
"105","0","300212","102","803100255","2145052"
"106","0","300213","103","803100255","2145053"
"202","1","300214","113","803100255","2145054"
"203","1","300215","114","803100255","2145055"
"107","0","300216","101","803100255","2145056"
"202","1","300217","113","803100255","2145057"
"203","1","300218","114","803100255","2145058"
"107","0","300219","101","803100255","2145059"
"107","0","300220","101","803100255","2145060"
"105","0","300221","102","803100256","2145061"
"106","0","300222","103","803100256","2145062"
"107","0","300223","101","803100256","2145063"
"208","1","300224","112","803100256","2145064"
"212","1","300225","110","803100256","2145065"
"105","0","300226","102","803100256","2145066"
"106","0","300227","103","803100256","2145067"
"107","0","300228","101","803100256","2145068"
"104","0","300301","100","803100257","2145071"
"107","0","300302","101","803100257","2145072"
"107","0","300303","101","803100257","2145073"
"202","1","300304","113","803100257","2145074"
"203","1","300305","114","803100257","2145075"
"104","0","300306","100","803100257","2145076"
"107","0","300307","101","803100257","2145077"
"204","1","300308","111","803100257","2145078"
"205","1","300309","112","803100257","2145079"
"104","0","300310","100","803100257","2145080"
"107","0","300311","101","803100258","2145081"
"107","0","300312","101","803100258","2145082"
"202","1","300313","113","803100258","2145083"
"203","1","300314","114","803100258","2145084"
"104","0","300315","100","803100258","2145085"
"107","0","300316","101","803100258","2145086"
"204","1","300317","111","803100258","2145087"
"205","1","300318","112","803100258","2145088"
"104","0","300319","100","803100258","2145089"
"107","0","300320","101","803100258","2145090"
"104","0","300321","100","803100259","2145091"
"107","0","300322","101","803100259","2145092"
"202","1","300323","113","803100259","2145093"
"208","1","300324","112","803100259","2145094"
"104","0","300325","100","803100259","2145095"
"107","0","300326","101","803100259","2145096"
"204","1","300327","111","803100259","2145097"
"205","1","300328","112","803100259","2145098"
"105","0","300401","102","803100260","2146011"
"105","0","300402","102","803100260","2146012"
"202","1","300403","113","803100260","2146013"
"203","1","300404","114","803100260","2146014"
"105","0","300405","102","803100260","2146015"
"202","1","300406","113","803100260","2146016"
"203","1","300407","114","803100260","2146017"
"105","0","300408","102","803100260","2146018"
"105","0","300409","102","803100260","2146019"
"105","0","300410","102","803100260","2146020"
"105","0","300411","102","803100261","2146021"
"202","1","300412","113","803100261","2146022"
"203","1","300413","114","803100261","2146023"
"105","0","300414","102","803100261","2146024"
"202","1","300415","113","803100261","2146025"
"203","1","300416","114","803100261","2146026"
"105","0","300417","102","803100261","2146027"
"105","0","300418","102","803100261","2146028"
"202","1","300419","113","803100261","2146029"
"202","1","300420","113","803100261","2146030"
"202","1","300421","113","803100262","2146031"
"203","1","300422","114","803100262","2146032"
"105","0","300423","102","803100262","2146033"
"208","1","300424","112","803100262","2146034"
"212","1","300425","110","803100262","2146035"
"202","1","300426","113","803100262","2146036"
"202","1","300427","113","803100262","2146037"
"105","0","300428","102","803100262","2146038"
"104","0","300501","100","803100264","2146051"
"104","0","300502","100","803100264","2146052"
"104","0","300503","100","803100264","2146053"
"104","0","300504","100","803100264","2146054"
"105","0","300505","102","803100264","2146055"
"106","0","300506","103","803100264","2146056"
"104","0","300507","100","803100264","2146057"
"104","0","300508","100","803100264","2146058"
"105","0","300509","102","803100264","2146059"
"106","0","300510","103","803100264","2146060"
"104","0","300511","100","803100265","2146061"
"104","0","300512","100","803100265","2146062"
"104","0","300513","100","803100265","2146063"
"104","0","300514","100","803100265","2146064"
"105","0","300515","102","803100265","2146065"
"106","0","300516","103","803100265","2146066"
"104","0","300517","100","803100265","2146067"
"104","0","300518","100","803100265","2146068"
"105","0","300519","102","803100265","2146069"
"106","0","300520","103","803100265","2146070"
"104","0","300521","100","803100266","2146071"
"104","0","300522","100","803100266","2146072"
"202","1","300523","113","803100266","2146073"
"203","1","300524","114","803100266","2146074"
"104","0","300525","100","803100266","2146075"
"208","1","300526","112","803100266","2146076"
"212","1","300527","110","803100266","2146077"
"202","1","300528","113","803100266","2146078"
