e1541ca86a77508452882e556e4e7db56a8783d6ed63171087bc9e8069661b0c,dcef78fa1bf4556472c7c8bdf458708d994b2ed5b573ea0e879c4cfa0e9d638c,261662590851092ebd76ebc4d1444ef48da4239e8efe4318870d4f770e51c0ad,e812a8166fb9080096a01b1f50a07ab57afd14495255aa7642f392033361ba90,4bbdb7ff55ab2069e2852e8c3b36e96b686018f6e6a4661f89171f769ce7c9e1,502fd7a587017359137464f43a38f567e3ce4ed8ee822976d018b679ab6596f0,e66fdd876ff892702b213f6387b81de292433459b921510c3f984fda3869fbdf,bc9825847d6d2aff15fde9046ff2bd2a8ebec8801006f295fcc8979e3c87de0b,558a3924cbb0dd5cb01b161b2545c851c2d9aea707a6ea5a908d3e4e8cdc8543,da143926f46101ba3b3d213cf8dcdeb24a3066410f6f76a49fdf279b76cf9dc1,447b673186e20f50e1f12cd2c91b4d018d68d21cbd60d7a490cb5df7e110daf4,1ca259791b5342ec17f8c4360a23273c93b810f0b6980cd8374bc41a59306632,1d8b79cb8f403843d0cc4f6f91ec6b3edc59ae89261243004a30ba80b4a26c52
"0","1","0","0","0","10010484","57","0","1","0","10010001","0","0"
"10010674","1","0","0","0","10010100","59","0","2","0","10010099","1","0"
"10010099","1","0","0","0","10010101","58","0","11","0","10010100","10001","0"
"10010100","1","0","0","0","10010102","57","0","12","0","10010101","0","0"
"10010101","1","0","0","0","10010103","56","0","2","0","10010102","1","0"
"10010102","1","0","0","0","10010104","55","0","2","0","10010103","2","0"
"10010103","1","0","0","0","10010105","54","0","4","0","10010104","0","0"
"10010104","1","0","0","0","10010106","53","0","3","0","10010105","1","0"
"10010105","1","0","0","0","10010107","52","0","12","0","10010106","0","0"
"10010106","1","0","0","0","10010559","51","0","5","0","10010107","0","0"
"10010560","1","0","0","0","10010111","48","0","2","0","10010110","2","0"
"10010110","1","0","0","0","10010561","47","0","6","0","10010111","0","0"
"10010561","1","0","0","0","10010114","45","0","2","0","10010113","3","0"
"10010113","1","0","0","0","10010562","44","0","11","0","10010114","10001","0"
"10010562","1","0","0","0","10010117","42","0","4","0","10010116","0","0"
"10010116","1","0","0","0","10010118","41","0","6","0","10010117","0","0"
"10010117","1","0","0","0","10010563","40","0","3","0","10010118","3","0"
"10010559","1","0","0","0","10010120","49","0","11","0","10010119","10001","0"
"10010119","1","0","0","0","10010121","48","0","4","0","10010120","0","0"
"10010120","1","0","0","0","10010565","47","0","2","0","10010121","3","0"
"10010565","1","0","0","0","10010566","45","0","2","0","10010123","2","0"
"10010566","1","0","0","0","10010126","43","0","7","0","10010125","10003","0"
"10010125","1","0","0","0","10010127","42","0","4","0","10010126","0","0"
"10010126","1","0","0","0","10010128","41","0","7","0","10010127","10001","0"
"10010127","1","0","0","0","10010563","40","0","2","0","10010128","2","0"
"10010563","1","0","0","0","10010131","38","0","7","0","10010130","10001","0"
"10010130","1","0","0","0","10010132","37","0","6","0","10010131","0","0"
"10010131","1","0","0","0","10010701","36","10010702","11","0","10010132","10001","0"
"10010701","1","0","0","0","10010705","34","0","12","0","10010153","0","0"
"10010708","1","0","0","0","10010161","29","0","14","0","10010158","5","0"
"10010158","1","0","0","0","10010162","28","0","4","0","10010161","0","0"
"10010161","1","0","0","0","10010163","27","0","2","0","10010162","2","0"
"10010162","1","0","0","0","10010164","26","0","3","0","10010163","1","0"
"10010163","1","0","0","0","10010165","25","0","14","0","10010164","3","0"
"10010164","1","0","0","0","10010166","24","0","11","0","10010165","10001","0"
"10010165","1","0","0","0","10010167","23","0","12","0","10010166","0","0"
"10010166","1","0","0","0","10010568","22","0","3","0","10010167","2","0"
"10010568","1","0","0","0","10010570","20","0","7","0","10010169","10002","0"
"10010570","1","0","0","0","10010174","18","0","3","0","10010173","2","0"
"10010173","1","0","0","0","10010175","17","0","7","0","10010174","10001","0"
"10010174","1","0","0","0","10010176","16","0","4","0","10010175","0","0"
"10010175","1","0","0","0","10010177","15","0","2","0","10010176","1","0"
"10010176","1","0","0","0","10010178","14","0","2","0","10010177","2","0"
"10010177","1","0","0","0","10010179","13","0","3","0","10010178","2","0"
