02a20b468fc1c6432e7e6684d4f82189b074f3c3af4f7c4ba13066c90071a595,af44869e08eb9ec8eba1d1e7aa05240c5855f4b42f47da5832128ce9d900914c,20778914d875b2120d4176165a997ad434073e3e23ca7b6e991f3761e2ea415a
"裝備中","平常時","106101"
"特殊技","平常時","106701"
"權能解放中","平常時","106801"
"特殊技","平常時","106901"
"模式變動中","平常時","114401"
"變身中","平常時","115801"
"特殊技","平常時","116401"
"特殊技能","平常時","118201"
"特殊技","平常時","118501"
"特殊技能","平常時","118601"
"初次發動時","平常時","120801"
"特殊技","平常時","122001"
"共鬥中","平常時","122301"
"特殊技","平常時","122701"
"特殊技","平常時","123001"
"共鬥中","平常時","125001"
"特殊技能","平常時","125801"
"特殊技能","平常時","126001"
"特殊技能","平常時","126101"
"特殊技能","平常時","126201"
"【蓄電滿載】中","平常時","126401"
"特殊技能","平常時","126501"
"特殊技能","平常時","129001"
"特殊技能","平常時","129301"
"特殊技能","平常時","129401"
"初次發動時","平常時","129501"
"特殊技能","平常時","129601"
"特殊技能","平常時","129701"
"特殊技能","平常時","130001"
"特殊技能","平常時","130101"
"特殊技能","平常時","131201"
"特殊技能","平常時","131801"
"特殊技能","平常時","132001"
"鬼化中","平常時","132101"
"初次發動時","平常時","132401"
"初次發動時","平常時","132901"
"特殊技能","平常時","133101"
"召喚物技能","平常時","133801"
"特殊技能","平常時","134501"
"特殊技能","平常時","134901"
"特殊技能","平常時","135001"
"特殊技能","平常時","135101"
"特殊效果","平常時","135201"
"特殊技能","平常時","135601"
"初次發動時","平常時","135901"
"特殊技能","平常時","136001"
"特殊技能","平常時","136101"
"初次發動時","平常時","136401"
"特殊效果","平常時","136501"
"模式變動後","平常時","137401"
"模式變動中","平常時","138101"
"特殊技能","平常時","181201"
