a1de9df93f93e5b9c466b5d48e6e6b2135f388c2b62d417f65a9a0d7beeada4f,f4778d672af375b01c492eedc4bcb93bae0ea2645bc8318113cf6b2c879c3b2f,0781bbbec11790d40e0146732ec34223f0d9d80fa05d50863bdcb6733510ed04,ed4a45ab3d205006a6300eb9e57ecb9c23d364841ac57e72f4223f5bd81e2d7c,afced2632158c2fcbedc1c2d5497a9198da04f4c77f4d7e4390b1b6bbc25f07c,35131e55d0d70da4f403a87db5cfcb27bfecd44df1c9ad67146a24b5cb101644,42228f0ca1417b8f2c7650ae0bc6bdb1da6fdd504feea832501f06dc164a122d,679c061f94092d680aab3f13bd833ad2fe0ced6bba603c77470e3a0d9d9e1ed5,338a2250c6eaaa56f5f0217df8a6d14be32664b9cc4b674385b238eb71fbeb0b,d5291af6876de614e0637c302900d19eac921ab543470d30eedd5be7c5b98222,74c30114cc38a3ea440b09eff5c7177b1150856ce5e5ce6549ced9867029878c
"wac_215_karin_idle_normal","111001","118511","-273","111","0","202","-345","2","1","1"
"wac_215_idle_joy1","111002","105811","170","111","1","205","-355","2","1","1"
"wac_215_idle_normal_joy","111003","105911","50","111","1","202","-325","2","1","1"
"wac_215_idle_arm_crossed","111004","106011","300","111","1","203","-330","2","1","1"
"wac_215_idle_normal2","111005","106431","450","111","1","204","-360","2","1","1"
"","111006","","","111","","","","","131","1"
"","112001","0","","112","","","","","93","1"
"","112002","wac_215_karin_talk_normal","","112","","1","","0.2","3","118511"
"","112003","vo_wac_220215_000","0","112","","0","","","21","vo_wac_220215"
"0.5","112004","【美食殿堂】的各位，\n謝謝你們過來！","1","112","0","10","1","0","11","118511"
"","112005","","","112","","","","","91","112004"
"","112006","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112007","wac_215_peko_oissu","wac_215_talk_normal","112","0.2","0","1","0.2","3","105811"
"","112008","vo_wac_220215_001","0","112","","0","","","21","vo_wac_220215"
"0.5","112009","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","1","112","0","10","1","0","11","105811"
"","112010","","","112","","","","","91","112009"
"","112011","wac_215_idle_normal","","112","","1","","0.2","3","105811"
"","112012","wac_215_karin_talk_normal","","112","","1","","0.2","3","118511"
"","112013","vo_wac_220215_002","0","112","","0","","","21","vo_wac_220215"
"0.5","112014","我今天有個重要的委託\n想要拜託各位。","1","112","0","10","1","0","11","118511"
"","112015","","","112","","","","","91","112014"
"","112016","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112017","wac_215_talk_arm_crossed","wac_215_talk_arm_crossed_loop","112","0","0","1","0.2","3","106011"
"","112018","vo_wac_220215_003","0","112","","0","","","21","vo_wac_220215"
"0.5","112019","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","1","112","0","10","1","0","11","106011"
"","112020","","","112","","","","","91","112019"
"","112021","wac_215_idle_arm_crossed","","112","","1","","0.2","3","106011"
"","112022","wac_215_karin_talk_normal","","112","","1","","0.2","3","118511"
"","112023","vo_wac_220215_004","0","112","","0","","","21","vo_wac_220215"
"0.5","112024","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","1","112","0","10","1","0","11","118511"
"","112025","","","112","","","","","91","112024"
"","112026","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112027","wac_215_shefy_humu","wac_215_talk_normal","112","0.2","0","1","0.2","3","106431"
"","112028","vo_wac_220215_005","0","112","","0","","","21","vo_wac_220215"
"0.5","112029","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","1","112","0","10","1","0","11","106431"
"","112030","","","112","","","","","91","112029"
"","112031","wac_215_idle_normal2_joy","","112","","1","","0.2","3","106431"
"","112032","wac_215_karin_talk_normal","","112","","1","","0.2","3","118511"
"","112033","vo_wac_220215_006","0","112","","0","","","21","vo_wac_220215"
"0.5","112034","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","1","112","0","10","1","0","11","118511"
"","112035","","","112","","","","","91","112034"
"","112036","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112037","wac_215_talk_sad","","112","","1","","0.2","3","106431"
"","112038","vo_wac_220215_007","0","112","","0","","","21","vo_wac_220215"
"0.5","112039","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","1","112","0","10","1","0","11","106431"
"","112040","","","112","","","","","91","112039"
"","112041","wac_215_idle_sad","","112","","1","","0.2","3","106431"
"","112042","wac_215_karin_talk_wish","","112","","1","","0.2","3","118511"
"","112043","vo_wac_220215_008","0","112","","0","","","21","vo_wac_220215"
"0.5","112044","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","1","112","0","10","1","0","11","118511"
"","112045","","","112","","","","","91","112044"
"","112046","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112047","wac_215_coccoro_talk_wish","","112","","1","","0.2","3","105911"
"","112048","vo_wac_220215_009","0","112","","0","","","21","vo_wac_220215"
"0.5","112049","這個計畫……還真是壯闊啊。\n花凜小姐。","1","112","0","10","1","0","11","105911"
"","112050","","","112","","","","","91","112049"
"","112051","wac_215_coccoro_idle_wish","","112","","1","","0.2","3","105911"
"","112052","wac_215_peko_talk_guts2","wac_215_peko_talk_guts2_loop","112","0","0","1","0.2","3","105811"
"","112053","vo_wac_220215_010","0","112","","0","","","21","vo_wac_220215"
"0.5","112054","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","1","112","0","10","1","0","11","105811"
"","112055","","","112","","","","","91","112054"
"","112056","wac_215_peko_idle_guts2","","112","","1","","0.2","3","105811"
"","112057","0","","112","","","","","4","105811"
"","112058","0","","112","","","","","4","105911"
"","112059","wac_215_idle_joy1","","112","","1","","0.2","3","105811"
"","112060","wac_215_idle_normal","","112","","1","","0.2","3","105911"
"","112061","wac_215_idle_surprise1","","112","","1","","0.2","3","106431"
"","112062","wac_215_kyaru_anger","wac_215_talk_anger2","112","0.2","1","1","0.2","3","106011"
"","112063","vo_wac_220215_011","0","112","","0","","","21","vo_wac_220215"
"0.5","112064","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","1","112","0","10","1","0","11","106011"
"","112065","","","112","","","","","91","112064"
"","112066","wac_215_idle_anger2","","112","","1","","0.2","3","106011"
"","112067","wac_215_talk_sad","","112","","1","","0.2","3","106011"
"","112068","vo_wac_220215_012","0","112","","0","","","21","vo_wac_220215"
"0.5","112069","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","1","112","0","10","1","0","11","106011"
"","112070","","","112","","","","","91","112069"
"","112071","wac_215_idle_sad","","112","","1","","0.2","3","106011"
"","112072","wac_215_coccoro_talk_wish2","","112","","1","","0.2","3","105911"
"","112073","vo_wac_220215_013","0","112","","0","","","21","vo_wac_220215"
"0.5","112074","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","1","112","0","10","1","0","11","105911"
"","112075","","","112","","","","","91","112074"
"","112076","wac_215_coccoro_idle_wish2","","112","","1","","0.2","3","105911"
"","112077","wac_215_kyaru_talk_doya","wac_215_kyaru_talk_doya_loop","112","0","0","1","0.2","3","106011"
"","112078","vo_wac_220215_014","0","112","","0","","","21","vo_wac_220215"
"0.5","112079","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","1","112","0","10","1","0","11","106011"
"","112080","","","112","","","","","91","112079"
"","112081","wac_215_idle_arm_crossed","","112","","1","","0.2","3","106011"
"","112082","1","","112","","","","","4","105811"
"","112083","1","","112","","","","","4","105911"
"","112084","wac_215_idle_normal_joy","","112","","1","","0.2","3","105911"
"","112085","wac_215_idle_normal2_joy","","112","","1","","0.2","3","106431"
"","112086","wac_215_karin_talk_wish","","112","","1","","0.2","3","118511"
"","112087","vo_wac_220215_015","0","112","","0","","","21","vo_wac_220215"
"0.5","112088","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","1","112","0","10","1","0","11","118511"
"","112089","","","112","","","","","91","112088"
"","112090","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112091","wac_215_karin_talk_normal","","112","","1","","0.2","3","118511"
"","112092","vo_wac_220215_016","0","112","","0","","","21","vo_wac_220215"
"0.5","112093","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","1","112","0","10","1","0","11","118511"
"","112094","","","112","","","","","91","112093"
"","112095","wac_215_karin_idle_normal","","112","","1","","0.2","3","118511"
"","112096","wac_215_peko_talk_wish","wac_215_peko_talk_wish_loop","112","0.2","0","1","0.2","3","105811"
"","112097","vo_wac_220215_017","0","112","","0","","","21","vo_wac_220215"
"0.5","112098","我明白了！\n那我就來畫魔物料理──","1","112","0","10","1","0","11","105811"
"","112099","","","112","","","","","91","112098"
"","112100","wac_215_peko_idle_wish","","112","","1","","0.2","3","105811"
"","112101","wac_215_kyaru_talk_anger","wac_215_talk_arm_crossed_loop","112","0.2","0","1","0.2","3","106011"
"","112102","vo_wac_220215_018","0","112","","0","","","21","vo_wac_220215"
"0.5","112103","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","1","112","0","10","1","0","11","106011"
"","112104","","","112","","","","","91","112103"
"","112105","wac_215_idle_arm_crossed","","112","","1","","0.2","3","106011"
"","112106","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","112","0","0","1","0.2","3","105811"
"","112107","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","112","0","0","1","0.2","3","106431"
"","112108","","","112","","","","","93","0.1"
"","112109","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","112","0","0","1","0.2","3","105911"
"","112110","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","112","0.2","0","1","0.2","3","106011"
"","112111","","","112","","","","","93","0.9"
"","112112","wac_215_handclap","wac_215_karin_idle_normal","112","0.2","0","1","0.2","3","118511"
"","112113","0","","112","","","","","93","2"
"","112114","","","112","","","","","91","0"
"","113001","wac_215_karin_idle_normal","","113","","1","","0.2","3","118511"
"","113002","wac_215_idle_joy1","","113","","1","","0.2","3","105811"
"","113003","","","113","","","","","93","0.1"
"","113004","wac_215_coccoro_idle_wish","","113","","1","","0.2","3","105911"
"","113005","wac_215_idle_arm_crossed","","113","","1","","0.2","3","106011"
"","113006","","","113","","","","","93","0.1"
"","113007","wac_215_idle_normal2_joy","","113","","1","","0.2","3","106431"
"","113008","","","113","","","","","91","0"
"wac_default_11","211001","105811","-108","211","0","202","-212.75","2","1","1"
"wac_default_11","211002","111","-108","211","0","201","-212.75","2","5","1"
"","211003","1","0","211","","0","1","1","31","1"
"","211004","2","0","211","","0","1","0","31","2"
"","211005","11","0","211","","0","1","0","31","11"
"","211006","wac_paint_11","","211","","0","0","0.2","3","105811"
"","211007","wac_paint_11","","211","","0","0","0.2","3","111"
"","211008","0","","211","","","","","93","0.3"
"wac_default_11","211009","1","","211","","","","","32","11"
"","211010","se_10035700_roller","","211","","0","","","23","se_10035700"
"","211011","","","211","","","","","131","1"
"","212001","wac_talk_kyapi_in","wac_talk_kyapi_loop","212","","0","1","0.2","3","105811"
"","212002","wac_no_items","","212","","1","","0.2","3","111"
"","212003","200","0","212","","-340","","","2","105811"
"","212004","200","0","212","","-340","","","2","111"
"","212005","0","","212","","","","","32","1"
"","212006","1","","212","","","","","32","2"
"","212007","0","","212","","","","","32","11"
"","212008","vo_wac_220216_000","0","212","","0","","","21","vo_wac_220216"
