43b64ff85a9a2c5eddde117aaa5db8df2e40ae07abe71be62dfd223c8d4dd30b,02aaf5bb0af5e99e0ac26fc2b88d850f9629eb0fdf56c384190cc29f6e8ab74c,52b4506a47f0dc3d44aa10211ae26b1a1953f58ec1a07af8324bb0a95c5224ff,28535364e9402b79b5b241c557f976209d586b433ecb17dce26cec3d11c89ceb,286b9c8cfb71354896940eb41fb6cc9fbf2cfb12f6a28195b724670c3e466926,aaf7fcd014655277583a8956b56544e022b2c9ac191a7e85e92593fc205995a0,875ff19ca029bf45d9edf5efc900e786a7bf65800669bc1913b1a2e17ed621f7,472be4bdd00cbb934f8527e933712bfff9c2a4e213439a32792bbf648eabd9f6,7613828c25984f23fbe3c00f71bdf27cc0091a002757cb8b37762fe9109bcdc3,26257257432995948c819b2f7744ca0cf6c43042ec2cbfefe3e9478a55b556b8,ab5a97444579129d65ac486621951e0bf7e46f9e4e5865a28964b4ac7269b58e,0917f61818d2914b7122b63ee567042f313524de32d0165ea7c5363cea18ce4f,0a895c56fe9037775d3551df7d6026cec327a26fb57e916eacc972cae65b00fa
"vo_minigame_1012_correct_107","11120101","0","8","0","0","這樣子就好！","8","0","1","0","1","1201"
"vo_minigame_1012_correct_108","11120102","0","8","0","0","嗯，OK！","8","0","1","0","1","1201"
"vo_minigame_1012_correct_109","11120103","0","1","0","0","狀況不錯喔！","1","0","1","0","1","1201"
"vo_minigame_1012_correct_115","11120201","-1","1","13333","0","慢慢來沒關係！","1","0","1","0","1","1202"
"vo_minigame_1012_correct_117","11120202","-1","9","13333","0","答對就可以了！","9","0","1","0","1","1202"
"vo_minigame_1012_correct_118","11120301","0","1","0","0","好厲害喔！","1","0","1","0","1","1203"
"vo_minigame_1012_correct_119","11120302","0","5","0","0.01","你知道這個啊！？","5","0","1","8","1","1203"
"vo_minigame_1012_correct_125","11120401","0","1","0","0","看來沒問題吧！","1","0","1","0","1","1204"
"vo_minigame_1012_correct_123","11120501","0","7","0","0.01","複習得很完美呢！","7","0","1","4","1","1205"
"vo_minigame_1012_correct_128","11120601","-1","8","3","0","連續答對了！","8","0","1","0","1","1206"
"vo_minigame_1012_correct_131","11120701","-1","2","3","0","挽回劣勢！","2","0","1","0","1","1207"
"vo_minigame_1012_incorrect_107","11130101","0","2","0","0","重整心情！","2","0","1","0","1","1301"
"vo_minigame_1012_incorrect_108","11130102","0","9","0","0","也會有這種事啊！","9","0","1","0","1","1301"
"vo_minigame_1012_incorrect_109","11130103","0","4","0","0","那樣子不行喔！","4","0","1","0","1","1301"
"vo_minigame_1012_incorrect_116","11130201","-1","4","20000","0","時間到了！","4","0","1","0","1","1302"
"vo_minigame_1012_incorrect_117","11130202","-1","5","20000","0","不是，你回答啊！","5","0","1","0","1","1302"
"vo_minigame_1012_incorrect_118","11130301","0","3","0","0.01","好難啊……","3","0","1","6","1","1303"
"vo_minigame_1012_incorrect_119","11130302","0","4","0","0","難度真高……","4","0","1","0","1","1303"
"vo_minigame_1012_incorrect_123","11130401","0","2","0","0","不能忘記喔！","2","0","1","0","1","1304"
"vo_minigame_1012_incorrect_126","11130501","0","1","0","0","不是全錯呢！","1","0","1","0","1","1305"
"vo_minigame_1012_result_1000","11300101","10","8","10","3.18","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","7","1","1","4","1","3001"
"vo_minigame_1012_result_1001","11300102","10","7","10","3.33","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","8","1","1","10","1","3001"
"vo_minigame_1012_result_1002","11300103","10","1","10","5.41","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","8","1","1","10","1","3001"
"vo_minigame_1012_result_1003","11300104","10","8","10","8.11","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","5","2","1","10","1","3001"
"vo_minigame_1012_result_1004","11300105","10","5","10","1.31","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","10","2","1","0","1","3001"
"vo_minigame_1012_result_1005","11300106","10","8","10","4.93","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","9","2","1","0","1","3001"
"vo_minigame_1012_result_1006","11300107","10","8","10","2.99","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","5","3","1","4","1","3001"
"vo_minigame_1012_result_1007","11300108","10","7","10","8.37","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","8","3","1","4","1","3001"
"vo_minigame_1012_result_1008","11300109","10","5","10","5.32","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","7","3","1","8","1","3001"
"vo_minigame_1012_result_1009","11300110","9","1","7","4.77","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","7","1","1","4","1","3001"
"vo_minigame_1012_result_1010","11300111","9","7","7","2.97","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","8","1","1","4","1","3001"
"vo_minigame_1012_result_1011","11300112","9","1","7","3.47","啊～好可惜！\n差一點就滿分了！\n下次一定可以很完美的！\n加油吧！","5","1","1","0","1","3001"
"vo_minigame_1012_result_1012","11300113","9","7","7","5.32","好厲害，你答對了很多喔！\n題目這麼難，你很行嘛！\n之後就以滿分為目標吧！","8","2","1","4","1","3001"
"vo_minigame_1012_result_1013","11300114","9","7","7","6.49","嗯，很不錯喔！\n看來完～全不用擔心你會不及格呢♪\n但還是不會讓你停止學習的！","8","2","1","10","1","3001"
"vo_minigame_1012_result_1014","11300115","9","1","7","3.56","啊～\n只差一點點就能全部答對的說！\n雖然題目很難但你沒問題的，\n下次可以以滿分為目標！","5","2","1","0","1","3001"
"vo_minigame_1012_result_1015","11300116","9","1","7","5.67","嗯，幾乎都答對囉！\n裡面這麼多困難的題目，\n你很厲害嘛！\n你果然不是個普通人！","8","3","1","10","1","3001"
"vo_minigame_1012_result_1016","11300117","9","1","7","2.85","感覺你很紮實地在進步嘛？\n如果是你的話，即使面對難題，\n總有一天搞不好也能拿滿分…………！","7","3","1","10","1","3001"
"vo_minigame_1012_result_1017","11300118","9","1","7","3.88","哇啊～好可惜！\n差一點就滿分了！\n不過連我也有不會的難題，\n你拿這個分數已經可以抬頭挺胸了！","5","3","1","0","1","3001"
"vo_minigame_1012_result_1018","11300119","6","1","4","4.12","答對率一半左右啊～\n是不差啦，\n不過是你的話，應該不只這樣吧？","3","1","1","0","1","3001"
"vo_minigame_1012_result_1019","11300120","6","1","4","4.34","嗯～我就老實說了，\n這分數很不上不下呢……\n不過沒關係！\n接下來要咻咻咻地提高分數喔！","9","1","1","0","1","3001"
"vo_minigame_1012_result_1020","11300121","6","1","4","3.15","嗯～老實說這分數有點讓人不滿意呢！\n我對你抱有很大的期待，\n再更加油一些吧！","3","1","1","0","1","3001"
"vo_minigame_1012_result_1021","11300122","6","1","4","5.3","答對率一半左右啊……\n題目很難所以也沒辦法呢……\n不過你一定能更進步的！\n因為有我陪著你！","9","2","1","0","1","3001"
"vo_minigame_1012_result_1022","11300123","6","1","4","2.55","嗯，答得還行嘛！\n繼續努力學習，\n以更高的分數為目標吧！","8","2","1","0","1","3001"
"vo_minigame_1012_result_1023","11300124","6","7","4","4.19","題目很難，\n但看這個答對率，\n算是有在讀書的吧！\n不過可不能滿足於這種程度喔！？","1","2","1","0","1","3001"
"vo_minigame_1012_result_1024","11300125","6","1","4","3.43","題目這麼難卻答對了一半左右，\n你很厲害嘛♪\n保持這個步調，\n繼續提升實力吧！","7","3","1","0","1","3001"
"vo_minigame_1012_result_1025","11300126","6","1","4","0","好，拿到了平均分數！\n看你好像有好好學習，\n那我就安心了～♪","1","3","1","0","1","3001"
"vo_minigame_1012_result_1026","11300127","6","7","4","3.72","裡面都是難題，\n這個答對率很不得了喔！\n不過，如果你還想拿更高的分數，\n那我可以陪你讀書！","8","3","1","0","1","3001"
"vo_minigame_1012_result_1027","11300128","3","2","1","3.5","原來如此……\n看來很值得教你呢，\n我會徹底鞭策你的，\n做好覺悟吧！","3","1","1","1","1","3001"
"vo_minigame_1012_result_1028","11300129","3","2","1","3.25","喂，\n你完全不行嘛！\n……你不會要跟我說\n你已經拿出真本事了吧～？","4","1","1","1","1","3001"
"vo_minigame_1012_result_1029","11300130","3","2","1","4.62","唔嗯……\n即使隨便回答，\n答對率也差不多是這樣吧？\n看來我得認真教你了……！","3","1","1","0","1","3001"
"vo_minigame_1012_result_1030","11300131","3","1","1","4.5","……也、也對啦，\n這題目對你來說可能太難了，\n慢慢來就行了，\n一起提升實力吧！","9","2","1","0","1","3001"
"vo_minigame_1012_result_1031","11300132","3","3","1","0.01","嗯……蠻多答錯的呢……\n要繼續作答也可以，\n但從簡單的題目重新來過，\n也是種選項喔～？","3","2","1","9","1","3001"
"vo_minigame_1012_result_1032","11300133","3","9","1","0.01","唉呀呀，這對你來說，\n有點太難了嗎……？\n再重來一次吧！","9","2","1","9","1","3001"
"vo_minigame_1012_result_1033","11300134","3","3","1","0.01","唔嗯……真是遺憾的結果……\n題目超難也無可奈何，\n不要勉強，從簡單的題目開始挑戰\n搞不好也不錯喔？","3","3","1","6","1","3001"
"vo_minigame_1012_result_1034","11300135","3","9","1","2.97","答對率很低呢……\n畢竟題目很難嘛……！\n我很欣賞你的挑戰精神喔！","3","3","1","0","1","3001"
"vo_minigame_1012_result_1035","11300136","3","1","1","3.1","總算是避免拿到0分了……\n不過裡面都是難題就是了，\n繼續加油吧！","3","3","1","0","1","3001"
"vo_minigame_1012_result_1036","11300137","0","2","0","4.31","……你啊，換個角度來想，\n要考0分也是很難的喔！？\n你應該不是\n故意考這樣的對吧～！？","6","1","1","1","1","3001"
"vo_minigame_1012_result_1037","11300138","0","2","0","0.1","0分是……\n你是來鬧的嗎！？\n不好好作答的話，\n就用電擊魔法伺候喔！？","2","1","1","1","1","3001"
"vo_minigame_1012_result_1038","11300139","0","3","0","4.23","搞不好你其實\n不適合讀書呢……\n……學習不是一切，\n就在其他方面努力吧！","9","1","1","9","1","3001"
"vo_minigame_1012_result_1039","11300140","0","2","0","4.38","我不會生氣，你說實話吧？\n……你是亂回答的對吧？\n快點，老實地……\n說、出、來、吧？","3","2","1","0","1","3001"
"vo_minigame_1012_result_1040","11300141","0","2","0","3.58","你的分數是～～\n……好！0分！！\n……呃，開什麼玩笑──！！！","8","2","1","0","1","3001"
"vo_minigame_1012_result_1041","11300142","0","2","0","2.02","0分是怎麼回事！？\n不是，從反面來看你很厲害喔！？\n畢竟閉著眼睛考，\n也能拿個1分啊！","4","2","1","1","1","3001"
"vo_minigame_1012_result_1042","11300143","0","1","0","5.53","唉呀……很遺憾，是0分喔。\n可能有點太難了吧……\n……不過也是會有這種事的！\n別太喪氣！","9","3","1","9","1","3001"
"vo_minigame_1012_result_1043","11300144","0","1","0","4.4","雖說題目相當難，\n但0分還是讓人有點落寞呢……\n不過要反向思考！\n你以後只會更加成長的！","3","3","1","9","1","3001"
"vo_minigame_1012_result_1044","11300145","0","1","0","5.35","0分啊……嗯，抱歉……\n我想不到要怎麼安慰你！\n……算了，還有下一次，\n來轉換心情吧！","3","3","1","0","1","3001"
"vo_minigame_1012_correct_132","12120101","0","8","0","0","OK！","8","0","1","0","2","1201"
"vo_minigame_1012_correct_133","12120102","0","7","0","0","對了！","7","0","1","0","2","1201"
"vo_minigame_1012_correct_134","12120103","0","7","0","0","很好！","7","0","1","0","2","1201"
"vo_minigame_1012_correct_135","12120201","3000","5","0","0","真的假的！？","5","0","1","0","2","1202"
"vo_minigame_1012_correct_136","12120202","3000","10","0","0","哦～！","10","0","1","0","2","1202"
"vo_minigame_1012_correct_137","12120203","6000","7","3001","0","就是這樣！","7","0","1","0","2","1202"
"vo_minigame_1012_correct_138","12120204","-1","1","13333","0","要趕快囉！","1","0","1","0","2","1202"
"vo_minigame_1012_correct_139","12120301","0","5","0","0","太厲害了！","5","0","1","0","2","1203"
"vo_minigame_1012_correct_141","12120401","0","7","0","0","輕鬆！","7","0","1","0","2","1204"
"vo_minigame_1012_correct_140","12120501","0","7","0","0","雪恥吧！","7","0","1","0","2","1205"
"vo_minigame_1012_correct_142","12120601","-1","1","3","0","很好喔！","1","0","1","0","2","1206"
"vo_minigame_1012_correct_143","12120701","-1","2","3","0","還早得很！","2","0","1","0","2","1207"
"vo_minigame_1012_incorrect_127","12130101","0","2","0","0","噗～！","2","0","1","0","2","1301"
"vo_minigame_1012_incorrect_128","12130102","0","2","0","0","不行～！","2","0","1","0","2","1301"
"vo_minigame_1012_incorrect_129","12130103","0","9","0","0","唉呀呀……！","9","0","1","0","2","1301"
"vo_minigame_1012_incorrect_130","12130201","3000","3","0","0","不要急！","3","0","1","0","2","1302"
"vo_minigame_1012_incorrect_131","12130202","3000","5","0","0","慢慢來！","5","0","1","0","2","1302"
"vo_minigame_1012_incorrect_132","12130203","6000","2","3001","0","深呼吸！","2","0","1","0","2","1302"
"vo_minigame_1012_incorrect_133","12130204","-1","3","20000","0","好慢喔……！","3","0","1","0","2","1302"
"vo_minigame_1012_incorrect_134","12130301","0","5","0","0","好難！","5","0","1","0","2","1303"
"vo_minigame_1012_incorrect_135","12130401","0","6","0","0","你忘了嗎？","6","0","1","0","2","1304"
"vo_minigame_1012_incorrect_136","12130501","0","2","0","0","下一題一定行！","2","0","1","0","2","1305"
"vo_minigame_1012_time_100","12170101","30000","2","20000","0.01","最後衝刺！","2","0","1","3","2","1701"
"vo_minigame_1012_time_101","12170102","30000","1","20000","0.01","馬上要結束了！","1","0","1","3","2","1701"
"vo_minigame_1012_result_1045","12300101","-1","1","20","3.74","好，做得很好！\n你的基礎打得很完美了！\n下次也挑戰看看\n更難的題目吧！","7","1","1","10","2","3001"
"vo_minigame_1012_result_1046","12300102","-1","9","20","3.85","什麼嘛，\n你這是回答得欲罷不能嗎？\n簡單來說，你很厲害嘛！\n給你個獎勵小花！","1","1","1","0","2","3001"
"vo_minigame_1012_result_1047","12300103","-1","5","20","0.01","好厲害的分數……！\n你就是那種說自己沒讀書，\n其實偷偷拼命複習的類型吧！？","5","1","1","8","2","3001"
"vo_minigame_1012_result_1048","12300104","-1","7","20","2.86","讀書的成果，\n確實展現出來了嘛！\n身為你的老師，\n我也好驕傲呢～♪","8","2","1","4","2","3001"
"vo_minigame_1012_result_1049","12300105","-1","3","20","2.02","OK！已經很夠了！\n要是你再更加苦讀的話，\n我就沒必要教你了！","5","2","1","9","2","3001"
"vo_minigame_1012_result_1050","12300106","-1","1","20","4.46","你選了困難的題目，\n沒想到答對率這麼高……！\n不過還有更難的……\n下次就挑戰最難的吧！","5","2","1","0","2","3001"
"vo_minigame_1012_result_1051","12300107","-1","4","20","6.85","本來就覺得你很厲害了，\n沒想到你連學習都這麼完美……？\n難怪大家都對你著迷……\n不，什、什麼都沒有！！","5","3","1","7","2","3001"
