c7ec5b3ca540f72341ddb67fcef3aa1efe9641d1db4caada36a9f4b9305dab8a,cfc647c57f7869bd8b918858d2e3247252a42f2be1961c1f04e8d8912841d1b9,3bc2bd840b571299c501aab92cb46b5068b63229a36bd0603d46de8b5665d444,65d6a85a0161ed6d5e28203fe4a0a15111340420835b92528da1917430a19ecd,d0cd52416685051f027571c192cb728f9afd8a6afbe8f8b7adc39e6d3740f1df,21a3adb985d1e2a8170bfe33cebe1eeb715808bd49905118361d9febea3d9836,358071f26351d9f7e7203ab7b3a1436c741d5ff8c7b8dea8f2b2f5cfc336055e,6e1eadd7990fcc3835f37130a304d45db3915cbff334ef8f6c1cf34d839a9544
"0","0","0","0","600130001","600090001","600060001","610201001"
"0","0","0","0","600070001","600300101","600090001","610201002"
"600230001","0","0","0","600420001","600050001","600380001","610201003"
"0","0","0","0","600110003","600300003","600090103","610201004"
"0","0","0","0","600390003","600300003","600120001","610201005"
"600340003","0","0","0","600160003","600380102","600290103","610201006"
"0","0","0","0","600440004","600060004","600370004","610201007"
"0","0","0","0","600080004","600210104","600330002","610201008"
"600160004","0","0","0","600420004","600380103","600270004","610201009"
"0","0","0","0","600340010","600320010","600380009","610201010"
"0","0","0","0","600140010","600300010","600050009","610201011"
"600130110","0","0","0","600250010","600290210","600330008","610201012"
"0","0","0","0","600020011","600280011","600030011","610201013"
"0","0","0","0","600280011","600010011","600210111","610201014"
"600210111","0","0","0","600100011","600030011","600040010","610201015"
"0","0","0","0","600130013","600090013","600060013","610201016"
"0","0","0","0","600070013","600300113","600090013","610201017"
"600230013","0","0","0","600420013","600050012","600380012","610201018"
"0","0","0","0","600110014","600300014","600090114","610201019"
"0","0","0","0","600390014","600300014","600120012","610201020"
"600340014","0","0","0","600160014","600380113","600290114","610201021"
"0","0","0","0","600440016","600060016","600370016","610201022"
"0","0","0","0","600080016","600210116","600330014","610201023"
"600160016","0","0","0","600420016","600380115","600270016","610201024"
"0","0","0","0","600340017","600320017","600380016","610201025"
"0","0","0","0","600140017","600300017","600050016","610201026"
"600130117","0","0","0","600250017","600290217","600330015","610201027"
"0","0","0","0","600020019","600280019","600030019","610201028"
"0","0","0","0","600280019","600010019","600210119","610201029"
"600210119","0","0","0","600100019","600030019","600040018","610201030"
"0","0","0","0","600390020","600290120","600030020","610201031"
"0","0","0","0","600300120","600230018","600060020","610201032"
"600020020","0","0","0","600050020","600040020","600130120","610201033"
"0","0","0","0","600110022","600400022","600090022","610201034"
"0","0","0","0","600430022","600090122","600070022","610201035"
"600140022","0","0","0","600420022","600380122","600120022","610201036"
"0","0","0","0","600110023","600400023","600090023","610201037"
"0","0","0","0","600010021","600270023","600280022","610201038"
"600150023","0","0","0","600220023","600380123","600240023","610201039"
"0","0","0","0","0","0","610201101","610201101"
"0","0","0","0","0","0","610201201","610201102"
"0","0","0","0","0","0","610201202","610201103"
"0","0","0","0","0","0","610201203","610201104"
"0","0","0","0","0","0","610201301","610201105"
"0","0","0","0","0","0","610201302","610201106"
"0","0","0","0","0","0","610201303","610201107"
"0","0","0","0","0","0","610201151","610201151"
"610201453","0","0","0","610201452","610201451","610201251","610201152"
"0","0","0","0","0","0","610201252","610201153"
"0","0","0","0","0","0","610201253","610201154"
"610201553","0","0","0","610201552","610201551","610201351","610201155"
"0","0","0","0","0","0","610201352","610201156"
"0","0","0","0","0","0","610201353","610201157"
"0","0","0","0","0","0","610202101","610202101"
"610202403","610202404","0","0","610202402","610202401","610202201","610202102"
"0","0","0","0","0","0","610202202","610202103"
"0","0","0","0","0","0","610202203","610202104"
"610202503","610202504","0","0","610202502","610202501","610202301","610202105"
"0","0","0","0","0","0","610202302","610202106"
"0","0","0","0","0","0","610202303","610202107"
"0","0","0","0","0","0","610203101","610203101"
