6da76d9674de20e8774e6cdc747f58ef622843bf12fda83a9e6d62f4c78d3eab,16ff383c3327023b4e8c93b57abf8442ed4055cc76d11f1155e063069b489520,743ca373917b6c6614203fcc8fde0089dceca9fd3bd06bf78d08ce1f2d642953,3db44ed72ccb14a40ed4b84ebb88b714f3d4053ba28446ee504bd7d979b48e2e,d38d59514282734b49c3748fa8945c83f4e00b177d87d988eb0ff6ca32ef2d6f,380c56979dc1b7f795175552f7412bc95c5b9b33ba80bcbd3a8813ac6c8b77e2,2f8d83e480d41e2d84c7e7fc8b2b2f860fe0ae980ea07e59445c8ec81ba4d5a4,5e56f44161a9934a35df0b12f7b22967ee16da1842340294e89eab6bfa7b6044
"bgm_M61","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","1.朱諾平原","11001","1.朱諾平原"
"bgm_M61_02","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","2.帕拉斯高原","11002","2.帕拉斯高原"
"bgm_M61_03","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","3.赫柏丘陵","11003","3.赫柏丘陵"
"bgm_M61_04","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","4.維斯塔溪谷","11004","4.維斯塔溪谷"
"bgm_M62_01","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","5.刻瑞斯森林","11005","5.刻瑞斯森林"
"bgm_M62_02","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","6.佛洛拉湖畔","11006","6.佛洛拉湖畔"
"bgm_M62_03","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","7.墨提斯大瀑布","11007","7.墨提斯大瀑布"
"bgm_M42_02","bgm_M42","2015/12/17 15:00:00","101","2030/12/17 14:59:59","8.伊麗絲樹海","11008","8.伊麗絲樹海"
"bgm_M58","bgm_M58","2015/12/17 15:00:00","101","2030/12/17 14:59:59","9.弗麗嘉雪原","11009","9.弗麗嘉雪原"
"bgm_M101","bgm_M101","2018/10/05 16:00:00","101","2030/12/17 14:59:59","10.洛麗泰海岸","11010","10.洛麗泰海岸"
