70cf381a88472b078e85a9400fd1a12bb91f77756dd3ff85e142ac2473881dcc,28f91e278b81d34aa6a006df73da16f05abfbcc9cd10ad46444b23bcafdc3bd9,d0e7d18fd65a1cd1b17c697512ed33c0f2d2b4d83fd4c4b2dfc1df3b58809bd1,b8254e6f5ee9c58b78faa53ca88b84f116eb5ec9576c306937a4828f11e53c05,fc3323c23e48e9037ba8a1543c6d93b1d58d3c8b609dc0923adc5cc1cd2dd925,20614b007a2a65dfb5c384de6f70a4604c0a33f099cf490cf22f2881a1eee0de,74610f16820039b8a8565de83d0c2033215b2159793c36fdfd1c75dab1c0e253,1a244658bd33818b3091280c3e5f6b7782583cfb5102212c52b6fe37d2e78b28,fd29181b2e7741940b843d8a29dadcc909926c5dbcd2ff5a5f05f6710fa37a57,bf06aa7f758bdf27cb22c3e46334102ce7615d813dccb10413f5b04bc8a5b26f,276c48ecba6e7b2d030b6996e63a6810a77eeec33843d60f1f7cdde3e36753c0
"42","1","travel_topdrama_r_2000_idle_smile","1","1","20011","105811","0.8","-68","101","1200110001"
"-42","1","travel_topdrama_r_2000_idle_sad_shy","1","0","20011","106011","0.8","-68","102","1200110002"
"0","0","mana","5","0","20011","0","1","-75","110","1200110003"
"","0","","91","","20011","","","","","1200110004"
"","10","","93","","20011","0","","","","1200110005"
"","1200110005","","101","","20011","","","","","1200110006"
"","0","","3","","20011","none","0","","0","1200110007"
"","0","","91","","20011","","","","","1200110008"
"","105811","","13","","20012","103","","","","1200120001"
"","106011","","13","","20012","104","","","","1200120002"
"travel_topdrama_r_2000_talk_smile_loop","105811","","3","","20012","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1200120003"
"0","vo_travel_talk","","21","","20012","vo_travel_talk_20001_00","","","0","1200120004"
"1","105811","0","11","0","20012","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","0","1","10","1200120005"
"","0","","91","","20012","","","","","1200120006"
"","105811","","3","","20012","travel_topdrama_r_2000_idle_smile","0.2","","1","1200120007"
"","106011","","3","","20012","travel_topdrama_r_2000_talk_anger_shy","0.2","1","1","1200120008"
"0","vo_travel_talk","","21","","20012","vo_travel_talk_20001_01","","","0","1200120009"
"1","106011","0","11","0","20012","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","0","1","10","1200120010"
"","0","","91","","20012","","","","","1200120011"
"","106011","","3","","20012","travel_topdrama_r_2000_idle_sad_shy","0.2","","1","1200120012"
"travel_topdrama_r_2000_talk_smile_loop","105811","","3","","20012","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1200120013"
"0","vo_travel_talk","","21","","20012","vo_travel_talk_20001_02","","","0","1200120014"
"1","105811","0","11","0","20012","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","0","1","10","1200120015"
"","0","","91","","20012","","","","","1200120016"
"","105811","","3","","20012","travel_topdrama_r_2000_idle_smile","0.2","","1","1200120017"
"","","","112","","20012","","","","","1200120018"
"","0","","91","","20012","","","","","1200120019"
"42","1","travel_topdrama_r_2000_idle_normal","1","1","20021","100211","0.8","-68","101","1200210001"
"-42","1","travel_topdrama_r_2002_sitting_loop","1","0","20021","100111","0.8","-68","102","1200210002"
"-42","3","travel_topdrama_r_2002_sitting_loop","5","0","20021","3","0.8","-68","100","1200210003"
"0","0","mana","5","0","20021","0","1","-75","110","1200210004"
"","0","","91","","20021","","","","","1200210005"
"","10","","93","","20021","0","","","","1200210006"
"","1200210006","","101","","20021","","","","","1200210007"
"","0","","3","","20021","none","0","","0","1200210008"
"","0","","91","","20021","","","","","1200210009"
"","100211","","13","","20022","103","","","","1200220001"
"","100111","","13","","20022","104","","","","1200220002"
"","100211","","3","","20022","travel_topdrama_r_2000_talk_normal","0.2","1","1","1200220003"
"0","vo_travel_talk","","21","","20022","vo_travel_talk_20002_00","","","0","1200220004"
"1","100211","0","11","0","20022","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","0","1","10","1200220005"
"","0","","91","","20022","","","","","1200220006"
"","100211","","3","","20022","travel_topdrama_r_2000_idle_normal","0.2","","1","1200220007"
"0","vo_travel_talk","","21","","20022","vo_travel_talk_20002_01","","","0","1200220008"
"1","100111","0","11","0","20022","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","0","1","10","1200220009"
"","0","","91","","20022","","","","","1200220010"
"travel_topdrama_r_2000_talk_wish_loop_joy","100211","","3","","20022","travel_topdrama_r_2000_talk_wish_in_joy","0.2","1","0","1200220011"
"0","vo_travel_talk","","21","","20022","vo_travel_talk_20002_02","","","0","1200220012"
