d68bff9dd7bc567d23a1d934370830c2bdced6276a8aa9e4b56b3a5cab3da484,3cee55c9e342f79766efaa4fc3e06a210c823eaf9c829a9f88623ec6d0ac6cbd,1f57b6a09f9e668ec56b9b58e0e9e136d2956377e675ba435010543f69f1d61d,74100ca4a5b8af26ae7bb4e4da95f3bf8d0463a22d402411c8c8f94147121e6c,29d318b6bb67903099798d5dc3383dde3ea5c190effc57ecb454cd1b9b97ea8a
"100001011","150000","12","94002","10000101"
"100001012","6","2","22003","10000101"
"100001021","500000","12","94002","10000102"
"100001022","6","2","22003","10000102"
"100001031","500000","12","94002","10000103"
"100001032","3","4","140001","10000103"
"100001033","3","2","25001","10000103"
"100001041","500000","12","94002","10000104"
"100001042","6","2","22003","10000104"
"100001051","500000","12","94002","10000105"
"100001052","4","4","140001","10000105"
"100001053","4","2","25001","10000105"
"100001061","500000","12","94002","10000106"
"100001062","6","2","22003","10000106"
"100001071","500000","12","94002","10000107"
"100001072","4","4","140001","10000107"
"100001073","4","2","25001","10000107"
"100001081","500000","12","94002","10000108"
"100001082","6","2","22003","10000108"
"100001091","500000","12","94002","10000109"
"100001092","4","4","140001","10000109"
"100001093","4","2","25001","10000109"
"100505011","120000","12","94002","10050501"
"100505012","3","2","22003","10050501"
"100505021","120000","12","94002","10050502"
"100505022","4","2","22003","10050502"
"100505031","120000","12","94002","10050503"
"100505032","4","2","22003","10050503"
"100505111","120000","12","94002","10050511"
"100505112","3","2","22003","10050511"
"100505121","160000","12","94002","10050512"
"100505122","4","2","22003","10050512"
"100606011","120000","12","94002","10060601"
"100606012","3","2","22003","10060601"
"100606021","120000","12","94002","10060602"
"100606022","4","2","22003","10060602"
"100606031","120000","12","94002","10060603"
"100606032","4","2","22003","10060603"
"100606111","120000","12","94002","10060611"
"100606112","3","2","22003","10060611"
"100606121","160000","12","94002","10060612"
"100606122","4","2","22003","10060612"
"100707011","120000","12","94002","10070701"
"100707012","3","2","22003","10070701"
"100707021","120000","12","94002","10070702"
"100707022","4","2","22003","10070702"
"100707031","120000","12","94002","10070703"
"100707032","4","2","22003","10070703"
"100707111","120000","12","94002","10070711"
"100707112","3","2","22003","10070711"
"100707121","160000","12","94002","10070712"
"100707122","4","2","22003","10070712"
"100808011","120000","12","94002","10080801"
"100808012","3","2","22003","10080801"
"100808021","120000","12","94002","10080802"
"100808022","4","2","22003","10080802"
"100808031","120000","12","94002","10080803"
"100808032","4","2","22003","10080803"
"100808111","120000","12","94002","10080811"
"100808112","3","2","22003","10080811"
"100808121","160000","12","94002","10080812"
"100808122","4","2","22003","10080812"
