6eb72f8ba1d7b2223ad42ee43f3f959c5c53123a6e5326ccbc250026ec5a6ed4,a3a1f2f1acda37dad731736c9afb91b3f031ca997373cf13e6c56733dfe5b103,a73121f9b616d8a70bac86b9fb4bdf3591012008e8b0dc99fb8e9d48839744d5,998393b551dda6d0bf9aeeb44fc7bc3a90d8ecc40ade6ae33ecf911f70a191aa,9209e863a1f32b4660d8c295dd478d59a53c124eff1f721b16f93251b512213e,cc888f6e6b2db2bc5a1867caa971ba2b80d0b090119b78e11e34ac6811d466be,2a6160fd8ef13b779c47cb6a8afff2c11d73985a95ab9a460ee6ad7fb48659cc,3fbc4685b66fd3c6d1fced7c5ad9c2d8228791b560e5412bb33671dccb690af2,5f09c3ed16e4ad251e894cbc6cc8381b115c11f701267ca435695373623a764e
"-1","1","100","1","93001","18001001","6","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","100","2","93001","18001002","6","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","30","3","0","11001001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","30000","4","94002","11001001","12","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","10","5","91002","11001001","8","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","40","6","0","11003001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","2","7","20002","11003001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","10","8","91002","11003001","8","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","20","9","0","13002001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","20","10","0","18004001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","25","11","0","16006001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","25","12","0","16007001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","3","13","22001","16007001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","30","14","0","11004001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","2","15","20002","11004001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","500","16","90007","11004001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","40","17","0","11005001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","30000","18","94002","11005001","12","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","500","19","90007","11005001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","30","20","0","11006001","5","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","2","21","20003","11006001","2","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","30","22","0","15004001","5","2018/01/01 05:00:00","2023/04/17 04:59:59"
"-1","1","100","23","90007","15004001","2","2018/01/01 05:00:00","2023/04/17 04:59:59"
"-1","1","40","24","0","14001001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","80000","25","94002","14001001","12","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","2","26","20003","14001001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","50","27","0","14003001","5","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","140000","28","94002","14003001","12","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","4","29","22002","14003001","2","2018/01/01 05:00:00","2021/02/09 04:59:59"
"-1","1","30","30","91002","21001001","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","2000","31","94002","21001001","12","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","30","33","91002","21001002","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","2","34","22001","21001002","2","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","30","36","91002","21001003","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","1","37","22002","21001003","2","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","30","39","91002","21001004","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","1","40","22003","21001004","2","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","90","42","91002","21001005","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","2","43","22003","21001005","2","2018/01/01 05:00:00","2030/12/31 23:59:59"
"-1","1","60","45","91002","21002001","8","2018/01/01 05:00:00","2030/12/31 23:59:59"
