76c5caa813017196187ecb972e9cc26f96c31c07bdfc35b14239296b2ed54b04,0b0a23c29161926c51d68c41661c246fc667f9448624b4513069235e84cfe91a,cbffa00b48874daeefd7ffb2906eae8e0e6285ad6421beb630a01ee44c6073d1,5875b628491a3a944982ba74dfea0424a82dac012415b6de1123fa2980576a32,cc41e0c28a30d229bd1a9cef41f5bc61d98a7f06f0c079b1247eb6dd1ea5e0a5,e4f86ec3ae20c574f277f2091061c9a2c6d5843255c395067f973b86c27e4ab3,4a12bcbc9245641961035efbd5a3411a2a3d07e773a58d884c0e45024d1968c7,21f19617ebbb68755a10687266f121d1ae7113069e04e03e2117109ba0cb4bae
"0","3","0","短時間內，展開障礙物護盾！","0","2001","短時間內，展開障礙物護盾　　　　（TP上升率：大）","101"
"5","5","0","中時間內，小幅度提升速度與跳躍力！","5","3","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","102"
"0","4","0","短時間內，中幅度提升速度！","6","1","短時間內，中幅度提升速度　　　　（TP上升率：中）","103"
"0","5","0","中時間內，展開障礙物護盾！","0","2001","中時間內，展開障礙物護盾　　　　（TP上升率：小）","104"
"0","6","0","中時間內，小幅度提升速度！","3","1","中時間內，小幅度提升速度　　　　（TP上升率：小）","105"
"0","6","0","中時間內，對戰對手小幅度減速！","4","1001","中時間內，對戰對手小幅度減速　　（TP上升率：大）","106"
"16","5","0","中時間內，特大幅度提升速度與跳躍力！","17","3","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","107"
"0","40","0","回合內，中幅度提升速度！","8","1","回合內，中幅度提升速度　　　　　（TP上升率：小）","108"
"0","4","0","短時間內，特大幅度提升速度！","30","1","短時間內，特大幅度提升速度　　　（TP上升率：特小）","109"
"0","40","0","回合內，對戰對手大幅度減速！","10","1001","回合內，對戰對手中幅度減速　　　（TP上升率：小）","110"
"0","1","0","極短時間內，展開障礙物護盾！","0","2001","極短時間內，展開障礙物護盾　　　（TP上升率：大）","111"
"0","4","0","短時間內，最前方對戰對手大幅度減速！","15","1004","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","112"
"0","6","0","中時間內，小幅度提升速度！","5","1","中時間內，小幅度提升速度　　　　（TP上升率：大）","113"
"0","5","0","中時間內，小幅度提升跳躍力！","5","2","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","114"
"0","7","0","長時間內，以護盾防止能力降低！","0","2002","長時間內，以護盾防止能力降低　　（TP上升率：特大）","115"
"0","25","0","累積時，小幅度提升速度！","3","1","累積時，小幅度提升速度　　　　　（TP上升率：特大）","116"
"0","25","0","累積時，對戰對手小幅度減速！","3","1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","117"
"20","7","0","長時間內，特大幅度提升速度與跳躍力！","30","3","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","118"
"0","4","0","短時間內，最前方對戰對手大幅度減速！","15","1004","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","119"
"0","7","0","長時間內，以護盾防止能力降低！","0","2002","長時間內，以護盾防止能力降低　　（TP上升率：大）","120"
"0","12","0","長時間內，特大幅度提升跳躍力！","30","2","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","121"
"0","30","0","累積時，最前方的對戰對手大幅度減速！","15","1004","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","122"
"2","4","8","短時間大幅度加速後，極短時間減速！","11","4","短時間大幅度加速後，減速　　　　（TP上升率：大）","123"
"0","8","0","長時間內，中幅度提升速度！","9","1","長時間內，中幅度提升速度　　　　（TP上升率：大）","124"
"0","4","0","短時間內，展開障礙物護盾！","0","2001","短時間內，展開障礙物護盾　　　　（TP上升率：中）","125"
"0","30","0","累積時，對戰對手小幅度減速！","3","1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","126"
"0","10","0","長時間內，特大幅度提升速度！","22","1","長時間內，特大幅度提升速度　　　（TP上升率：特小）","127"
"0","4","0","中時間內，特大幅度提升跳躍力！","30","2","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","128"
"0","3","0","短時間內，對戰對手特大幅度減速！","20","1001","短時間內，對戰對手特大幅度減速　（TP上升率：大）","129"
"0","4","0","短時間內，特大幅度提升速度！","30","1","短時間內，特大幅度提升速度　　　（TP上升率：大）","130"
