84842a5902375461e0faf483f231cbd4896ca786d30787e674d5631f1eb05e58,4d36ce7e1e99b432e04be89e4068e3a7fb66c59eb108fa01190e1307ac8337d1,bfadc267d83a1c100818cb63cdbac45493e77a22a3a534145f8f9212834209b9,b0c90abec40f4d34c491a58577e63a24aef143fb2b11c2bce7c7036c522e8388,e3351e38e0423ed57d220753451c2cdc647f5d5af939fdd5222cee110d4ebe70,d5da5db3518dda12512f0bc0fe0ae95fd4f3f11a8f0a4e3a6133c66813b292e5,37a96f9150b8f0884510c86294f347ed9721133f0eae74e487f567b1b3f8c633,e7ab7275a250a026f632438e0a9afa5f636f7da69ab20a1168f22089ebecd322,b6429870b475fc279afe4be7a80a964a48cbf4fc5ba255feebcd65550def73ca,751648d06ef8679d101697eb25b869525a598a59af8968fc5af6304bff5951ec
"0","10062","0","0","0","10062103","1","7001","0","卯月和凜的回憶"
"0","10062","0","0","0","10062107","2","7002","0","new generations的回憶"
"0","10062","0","0","0","10062107","4","7003","0","卯月與未央的回憶"
"0","10062","0","0","0","10062111","6","7004","0","美食殿堂的回憶"
"0","10062","0","0","0","10062111","7","7005","0","凜與未央的回憶"
"0","10062","0","0","0","10062111","8","7006","0","new generations的回憶"
"0","10062","0","0","0","10062115","9","7007","0","new generations與美食殿堂的回憶"
"0","10062","0","0","0","10062115","10","7008","0","美食殿堂的回憶"
"0","10063","0","0","0","10063111","14","7009","0","new generations與美食殿堂的回憶"
"0","10062","0","0","0","10062107","3","7102","0","new generations的回憶"
"0","10062","0","0","0","10062107","5","7103","0","美食殿堂的回憶"
"0","10062","0","0","0","10062115","11","7104","0","new generations與美食殿堂的回憶"
"0","10063","0","0","0","10063111","12","7105","0","new generations與美食殿堂的回憶"
"0","10063","0","0","0","10063111","13","7106","0","new generations與美食殿堂的回憶"
"2405","10062","1","1","7","10062103","15","7201","0",""
