b27e057ee22c62753eee8d6cc1411f22df78e09231f2e86e7113c4c1d46339cc,82e95f381cff5ea3b2978185240e2a41975c8670e3b5dd4f49283374351e5a26,12149fc8cab9b744f33816532e6e09570de404210ca04a0cdadf170c582e9eb4,fd69481995b546e827ac30b330c3397c92154848d2b19f4c12e02a623d2cda0b,22fec566a4b3d356fda4b3536ff5bd2f7d9f573e1a47a5525ffebae9b1f057a3
"0","0","1","0","0"
"0","0","2","0","0"
"0","0","3","0","0"
"0","2","4","0","0"
"0","2","5","0","0"
"0","2","6","0","0"
"0","3","7","0","0"
"0","3","8","0","0"
"0","3","9","0","0"
"0","4","10","0","0"
"0","4","11","0","0"
"0","4","12","0","0"
"0","0","13","0","0"
"0","0","14","0","0"
"0","0","15","0","0"
"0","0","16","2","0"
"0","0","17","2","0"
"0","0","18","2","0"
"0","0","19","3","0"
"0","0","20","3","0"
"0","0","21","3","0"
"0","3","22","0","0"
"0","3","23","0","0"
"0","2","24","0","0"
"0","2","25","0","0"
"0","0","26","2","0"
"0","0","27","2","0"
"0","2","28","0","3"
"0","2","29","0","3"
"0","3","30","2","0"
"0","3","31","2","0"
"0","3","32","3","0"
"0","0","33","3","0"
"0","3","34","0","4"
"0","0","35","0","0"
"0","2","36","2","0"
"0","2","37","2","0"
"0","4","38","3","0"
