6cee17293e7d5cbf3ba0c2b5046e9f6771a0ab044f0cce996d4bf8618557d87a,2963fa1d2972cb681368982a2b3035265143e7663b7261c2dde2150852f9ebb3,ac4f82798641707b94e52fb8f5dea06ebca6a774d3704be03a4f27e764e4958b,177ea66d39694ab98393d723d622b7c9aa3daecf47ace1e89b9e171851f885c1,fa5cf1a6578bb26984f2f9d7faffca39ba3023ab02defa68a4b2d56f95eb956c,04f6ba3e53e922361e4ee0dff8c2e755357a204eccecd5b8dac7300bb73158a1,09731e2ce9e4787f827542fb591374a0e89f25bd293ad59caaf0285468e6539a,725a2616208147b24d3817e5754ccb68ae5664f96b5c5c29d0da4a8ef9af950a,f515dd3a0a42a11fde6d1b94cd927b808206c5bf2b2f0279b6fa737f754bea67,dd8f529c601d9f3d7d498b8840c87e4945a4f6e6095e73ef37b580416501a00d,8f7006990ca987874815cd64e20e92c72d070a94a2b0e2b52ae05aac0ad41dee,b035763d161fb1b0e04466d35e31039139608f5f7dfdf085cba087863c767715
"0","0","1120001","0","0","1","3","1","0","0","12","4"
"0","0","1120002","0","vo_nyx_0101","2","0","0","0","vo_nyx","12","2"
"2.698","278","1120003","1","0","3","0","0","0","0","12","1"
"0","0","1120004","0","0","4","1","3.334","0","0","12","4"
"0","0","1120005","0","vo_nyx_0102","5","0","0","0","vo_nyx","12","2"
"1.055","382","1120006","1","0","6","0","0","278","0","12","1"
"0","0","1120007","0","0","7","1","1.055","0","0","12","4"
"0.732","78","1120008","2","0","8","0","0","0","0","12","1"
"0","0","1120009","0","0","9","1","1.05","0","0","12","4"
"2.42","365","1120010","2","0","10","0","0","78","0","12","1"
"0","0","1120011","0","0","11","1","3.5","0","0","12","4"
"0","0","1120012","0","0","12","3","2","0","0","12","4"
"0","0","1120013","0","vo_nyx_0103","13","0","0","0","vo_nyx","12","2"
"0.815","79","1120014","3","0","14","0","0","0","0","12","1"
"0","0","1120015","0","0","15","1","1.157","0","0","12","4"
"2.763","372","1120016","3","0","16","0","0","79","0","12","1"
"0","0","1120017","0","0","17","1","2.763","0","0","12","4"
"2.388","250","1120018","4","0","18","0","0","0","0","12","1"
"0","0","1120019","0","0","19","1","3.338","0","0","12","4"
"0","0","1120020","0","vo_nyx_0104","20","0","0","0","vo_nyx","12","2"
"0.778","108","1120021","5","0","21","0","0","0","0","12","1"
"0","0","1120022","0","0","22","1","1.214","0","0","12","4"
"3.167","375","1120023","5","0","23","0","0","108","0","12","1"
"0","0","1120024","0","0","24","1","3.61","0","0","12","4"
"2.618","279","1120025","6","0","25","0","0","0","0","12","1"
"0","0","1120026","0","0","26","1","3.198","0","0","12","4"
"0","0","1120027","0","vo_nyx_0105","27","0","0","0","vo_nyx","12","2"
"1.4","392","1120028","6","0","28","0","0","279","0","12","1"
"0","0","1120029","0","0","29","1","1.448","0","0","12","4"
"2.927","309","1120030","7","0","30","0","0","0","0","12","1"
"0","0","1120031","0","0","31","1","3.811","0","0","12","4"
"0","0","1120032","0","0","32","3","3","0","0","12","4"
"0","0","1120033","0","vo_nyx_0106","33","0","0","0","vo_nyx","12","2"
"0.506","360","1120034","7","0","34","0","0","309","0","12","1"
"0","0","1120035","0","0","35","1","1.175","0","0","12","4"
"0","0","1120036","0","0","36","3","3","0","0","12","4"
"0","0","1120037","0","vo_nyx_0107","37","0","0","0","vo_nyx","12","2"
"1.439","233","1120038","8","0","38","0","0","0","0","12","1"
"0","0","1120039","0","0","39","1","1.439","0","0","12","4"
"1.462","345","1120040","8","0","40","0","0","233","0","12","1"
"0","0","1120041","0","0","41","1","2.178","0","0","12","4"
"0","0","1120042","0","vo_nyx_0108","42","0","0","0","vo_nyx","12","2"
"3.765","400","1120043","9","0","43","0","0","0","0","12","1"
"0","0","1120044","0","0","44","1","4.495","0","0","12","4"
"0","0","1120045","0","vo_nyx_0109","45","0","0","0","vo_nyx","12","2"
"1.137","109","1120046","10","0","46","0","0","0","0","12","1"
"0","0","1120047","0","0","47","1","1.484","0","0","12","4"
"2.686","395","1120048","10","0","48","0","0","109","0","12","1"
"0","0","1120049","0","0","49","1","2.686","0","0","12","4"
"0.736","127","1120050","11","0","50","0","0","0","0","12","1"
"0","0","1120051","0","0","51","1","1.06","0","0","12","4"
"0","0","1120052","0","vo_nyx_0110","52","0","0","0","vo_nyx","12","2"
"0.353","133","1120053","11","0","53","0","0","127","0","12","1"
"0","0","1120054","0","0","54","1","1.137","0","0","12","4"
"0","0","1120055","0","vo_nyx_0111","55","0","0","0","vo_nyx","12","2"
"2.51","406","1120056","12","0","56","0","0","0","0","12","1"
"0","0","1120057","0","0","57","1","3.164","0","0","12","4"
"0","0","1120058","0","vo_nyx_0112","58","0","0","0","vo_nyx","12","2"
"1.532","155","1120059","13","0","59","0","0","0","0","12","1"
"0","0","1120060","0","0","60","1","1.62","0","0","12","4"
"1.367","374","1120061","13","0","61","0","0","155","0","12","1"
"0","0","1120062","0","0","62","1","2.245","0","0","12","4"
"0","0","1120063","0","vo_nyx_0113","63","0","0","0","vo_nyx","12","2"
"1.116","124","1120064","14","0","64","0","0","0","0","12","1"
"0","0","1120065","0","0","65","1","1.735","0","0","12","4"
"1.048","238","1120066","14","0","66","0","0","124","0","12","1"
"0","0","1120067","0","0","67","1","2.848","0","0","12","4"
"0","0","1130001","0","0","1","3","1","0","0","13","4"
"0","0","1130002","0","vo_nyx_0201","2","0","0","0","vo_nyx","13","2"
"0.382","36","1130003","1","0","3","0","0","0","0","13","1"
"0","0","1130004","0","0","4","1","0.672","0","0","13","4"
"0.65","67","1130005","1","0","5","0","0","36","0","13","1"
"0","0","1130006","0","0","6","1","1.115","0","0","13","4"
"2.158","192","1130007","1","0","7","0","0","67","0","13","1"
"0","0","1130008","0","0","8","1","2.541","0","0","13","4"
"0.914","365","1130009","1","0","9","0","0","192","0","13","1"
"0","0","1130010","0","0","10","1","0.914","0","0","13","4"
"1.72","220","1130011","2","0","11","0","0","0","0","13","1"
"0","0","1130012","0","0","12","1","1.5","0","0","13","4"
"0","0","1130013","0","0","13","3","2","0","0","13","4"
"0","0","1130014","0","0","14","1","1.726","0","0","13","4"
"0","0","1130015","0","vo_nyx_0202","15","0","0","0","vo_nyx","13","2"
"2.838","335","1130016","3","0","16","0","0","0","0","13","1"
"0","0","1130017","0","0","17","1","3.334","0","0","13","4"
"2.491","300","1130018","4","0","18","0","0","0","0","13","1"
"0","0","1130019","0","0","19","1","3.427","0","0","13","4"
"0","0","1130020","0","0","20","3","3","0","0","13","4"
"0","0","1130021","0","vo_nyx_0203","21","0","0","0","vo_nyx","13","2"
"0.475","28","1130022","5","0","22","0","0","0","0","13","1"
"0","0","1130023","0","0","23","1","0.872","0","0","13","4"
"1.001","103","1130024","5","0","24","0","0","28","0","13","1"
"0","0","1130025","0","0","25","1","1.492","0","0","13","4"
"1.73","310","1130026","5","0","26","0","0","103","0","13","1"
"0","0","1130027","0","0","27","1","2.045","0","0","13","4"
"0.87","395","1130028","5","0","28","0","0","310","0","13","1"
"0","0","1130029","0","0","29","1","1.949","0","0","13","4"
"0","0","1130030","0","vo_nyx_0204","30","0","0","0","vo_nyx","13","2"
"1.885","165","1130031","6","0","31","0","0","0","0","13","1"
"0","0","1130032","0","0","32","1","2.37","0","0","13","4"
"0.939","311","1130033","6","0","33","0","0","165","0","13","1"
"0","0","1130034","0","0","34","1","1.12","0","0","13","4"
"0.5","388","1130035","6","0","35","0","0","311","0","13","1"
"0","0","1130036","0","0","36","1","1.435","0","0","13","4"
"0","0","1130037","0","vo_nyx_0205","37","0","0","0","vo_nyx","13","2"
"0.58","45","1130038","7","0","38","0","0","0","0","13","1"
"0","0","1130039","0","0","39","1","0.976","0","0","13","4"
"1.425","292","1130040","7","0","40","0","0","45","0","13","1"
"0","0","1130041","0","0","41","1","1.683","0","0","13","4"
"0.85","292","1130042","7","0","42","0","0","292","0","13","1"
"0","0","1130043","0","0","43","1","1.9","0","0","13","4"
"0","0","1130044","0","0","44","3","4","0","0","13","4"
"0","0","1130045","0","vo_nyx_0206","45","0","0","0","vo_nyx","13","2"
"0.43","322","1130046","7","0","46","0","0","292","0","13","1"
