31326d1ce6edce2d0e9328fad6a02674b08de301800531d3b4465ac18c6bd602,cd7ca83d1bbd10ec45ac0b5f7da44d7a4f42c4b4ae4fc28c192b3e19b79de4e4,77e924c0e9f213e47bce1d6c17a48e1f07e17096f82c8ffd7715d0e0751970f4,bc11765c2e227e2b4bce0a8d0498ff233d551fc59629d4c027040ec895eb9241,4fe8dbade45c80b791c047a8fd93a9fa1c8bf07d230e3cfb1ee79c3bef889632,ef8ea76954f86cf8499a360ec5aaaf022694140e9d2e9171d4996004d651052f,73f8f26606f246c7ad6b880f8aa3e4ba05e5ff071d2b7cec0ec581371fe8da28,b855f0ac815a3ef336a71a796c385ff0bfe1ac11457e639180981e99a161ca83,f6316e6b2de1a30e5378c1583e231dc31472d7ef7435743e00bce9c5d5702bce,aed54b7c0d5139f8df49e2a475c5209950655e51cc5f7c97c7c47644a224b450,d2d360499f1d46ebc9ef778b2ebd6e80a1ec304e5765308265050548c8f71e06,3ba0399553002211d1b8e6e471623c1621b61a7e7299626fee4949b370843990,48596bbffa14b475edd94f2ff9207ac3205e6e16482e4d8253d9aa196565f002
"1","10001","1","2018/08/24 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M33","bgm_M33"
"2","10002","1","2018/10/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M99","bgm_M99"
"3","10003","1","2018/10/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M107","bgm_M107"
"4","10004","1","2018/11/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M113","bgm_M113"
"5","10005","1","2019/01/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M121","bgm_M121"
"6","10006","1","2019/01/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M128","bgm_M128"
"7","10007","1","2019/03/04 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M135","bgm_M135"
"8","10008","1","2019/04/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M162","bgm_M162"
"9","10009","1","2019/04/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M171","bgm_M171"
"10","10010","1","2019/05/31 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M182","bgm_M182"
"11","10011","1","2019/06/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M189","bgm_M189"
"12","10012","1","2019/07/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M206","bgm_M206"
"13","10013","1","2019/07/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M215","bgm_M215"
"14","10014","1","2019/08/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M33","bgm_M33"
"15","10015","1","2019/08/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M223","bgm_M223"
"16","10016","1","2019/09/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M99","bgm_M99"
"17","10017","1","2019/09/27 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","",""
"18","10018","1","2019/10/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M107","bgm_M107"
"19","10019","1","2019/10/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M237","bgm_M237"
"20","10020","1","2019/11/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M113","bgm_M113"
"21","10021","1","2019/11/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M245","bgm_M245"
"22","10022","1","2019/12/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M121","bgm_M121"
"23","10023","1","2019/12/31 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M254","bgm_M254"
"24","10024","1","2020/01/14 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M128","bgm_M128"
"25","10025","1","2020/01/31 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M265","bgm_M265_Top"
"26","10026","1","2020/02/14 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M135","bgm_M135"
"27","10027","1","2020/02/27 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M273","bgm_M273"
"28","10028","1","2020/03/13 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M162","bgm_M162"
"29","10029","1","2020/03/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M281","bgm_M281"
"30","10030","1","2020/04/13 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M171","bgm_M171"
"31","10031","1","2020/04/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M294","bgm_M294"
"32","10032","1","2020/05/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M182","bgm_M182"
"33","10033","1","2020/06/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M316","bgm_M316"
"34","10034","1","2020/06/15 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M189","bgm_M189"
"35","10035","1","2020/09/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M330","bgm_M330"
"36","10036","1","2020/09/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M330","bgm_M330"
"37","10037","1","2020/08/14 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M206","bgm_M206"
"38","10038","1","2020/06/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M343","bgm_M343"
"39","10039","1","2020/07/13 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M215","bgm_M215"
"40","10040","1","2020/07/31 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M351","bgm_M351"
"41","10041","1","2020/09/18 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M223","bgm_M223"
"42","10042","1","2020/09/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M375","bgm_M375"
"43","10043","1","2020/10/19 18:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M237","bgm_M237"
"44","10044","1","2020/11/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M380A","bgm_M380A"
"45","10046","1","2020/12/04 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M393","bgm_M393"
"47","10047","1","2020/12/18 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M254","bgm_M254"
"48","10048","1","2020/12/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M403","bgm_M403"
"49","10049","1","2021/01/18 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M265","bgm_M265_Top"
"50","10050","1","2021/02/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M413","bgm_M413"
"52","10052","1","2021/03/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M421","bgm_M421"
"53","10053","1","2021/04/16 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","0","0"
"54","10054","1","2021/04/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M426","bgm_M426"
"56","10056","1","2021/05/04 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M435","bgm_M435"
"58","10058","1","2021/06/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M442A","bgm_M442A"
"59","10059","1","2021/06/12 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M442B","bgm_M442B"
"61","10061","1","2021/07/05 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M451","bgm_M451"
"64","10064","1","2021/08/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M457","bgm_M457"
"66","10066","1","2021/09/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M467","bgm_M467"
"68","10068","1","2021/10/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M478","bgm_M478_Lofi"
"70","10070","1","2021/11/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M486","bgm_M486"
"72","10072","1","2021/12/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M496","bgm_M496"
"74","10074","1","2022/01/03 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M508","bgm_M508"
"76","10076","1","2022/02/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M520","bgm_M520"
"78","10078","1","2022/03/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M527","bgm_M527"
"80","10080","1","2022/04/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M536","bgm_M536"
"82","10082","1","2022/05/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M543","bgm_M543"
"84","10084","1","2022/06/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M552","bgm_M552"
"85","10085","1","2022/06/08 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M553","bgm_M553"
"88","10088","1","2022/07/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M565","bgm_M565"
"90","10090","1","2022/08/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M574","bgm_M574"
"92","10092","1","2022/09/01 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M582","bgm_M582"
"94","10094","1","2022/10/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M595","bgm_M595"
"96","10096","1","2022/10/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M601","bgm_M601"
"98","10098","1","2022/11/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M608","bgm_M608"
"100","10100","1","2022/12/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M618","bgm_M618"
