2a1d596b6cad3368ccaa83f5046b476c3a4ef3977af820ef6814a1af044d2578,b93f6bea88ddde6ea89201a289c0e448ca54e60ab296dab433e8bf8a82056fc8,164c050b61ea17822d216287bd6e4562b111f9b21fb7a2615bd37cf828034c9a,5d3c3125f002ef14f3577f547bb9ec9238bd24866d106f49f9cecf0696387479,2b3c8fe75cc2925e01fb40e6b0d90c25b3dc114d59050f278710ac1ed6774023,6a8abad0ac582597d828d3e722bfa53e3bc3bd43518bfe341f4aa5c8c2099715,352532b9b6475256f7561343e0b18c850b11530c0ae8a5345d554b34b5402018,ac519500a1a0fe8999eb1e8ac6ae8f5a1e99e6f2a0b5cf909efe7275104911cd,9f509e0fd15ab2ac81af4ff4148f0e720a5ab1a53749b8d970c007a7b9ab2fcd,ba9d78470075acd7266041e28e3eac0aec4fe588f158e549b7f251de1174e2b5,fcfcccca6b0f06bf92e7ddd4d3b221733c872ad9e26a60c050b4cc9b8aed6023
"110010001","1","-100","2","-250","1001","1.3","1000001","0","55","<weapon>_idle"
"110010002","31","0","100","1","1001","1","100","","0",""
"110010003","31","0","101","1","1001","0","101","","0",""
"110010004","31","0","4","1","1001","1","4","","0",""
"110010005","31","0","5","1","1001","1","5","","94.5",""
"110010006","91","","0","","1001","","0","","",""
"110010007","93","","0.4","","1001","","0","","",""
"110010008","3","","1000001","","1001","0.2","<weapon>_joy_short","","0",""
"110010009","93","","1.3","","1001","","0","","",""
"110010010","3","","1000001","","1001","0","<weapon>_run","","1",""
"110010011","2","1","1000001","0","1001","","800","","-250",""
"110010012","93","","0.7","","1001","","0","","",""
"110010013","32","","101","","1001","","1","","",""
"110010014","93","","0.7","","1001","","0","","",""
"111010001","1","-640","2","-250","1101","1.3","1000001","0","55","<weapon>_run"
"111010002","31","0","100","1","1101","1","100","","0",""
"111010003","31","0","101","1","1101","0","101","","0",""
"111010004","31","0","4","1","1101","1","4","","0",""
"111010005","35","","4","","1101","","0","","",""
"111010006","31","0","5","1","1101","1","5","","0",""
"111010007","31","0","10","1","1101","1","10","","0",""
"111010008","91","","0","","1101","","","","",""
"111010009","35","","100","","1101","","1","","",""
"111010010","2","2.1","1000001","0","1101","","640","","-250",""
"111010011","93","","1.7","","1101","","0","","",""
"111010012","32","","101","","1101","","1","","",""
"111010013","93","","0.7","","1101","","0","","",""
"120010001","1","0","1","-240","2001","1.3","1000001","0","55","look_loop"
"120010002","31","0","1","1","2001","0","1","0","0",""
"120010003","35","","1","","2001","","0","","",""
"120010004","32","","1","","2001","","1","","",""
"120010005","31","0","2","1","2001","1","2","0","345.4",""
"120010006","35","","2","","2001","","0","","",""
"120010007","31","0","3","1","2001","0","3","0","345.4",""
"120010008","35","","3","","2001","","0","","",""
"120010009","32","","3","","2001","","1","","",""
"120010010","31","0","31000001","1","2001","1","31000001","","-345.4",""
"120010011","31","0","31000002","1","2001","1","31000002","","345.4",""
"120010012","31","0","100","1","2001","1","100","","0",""
"120010013","31","0","101","1","2001","0","101","","0",""
"120010014","91","","0","","2001","","","","",""
"120010015","35","","100","","2001","","1","","",""
"120010016","3","look_loop","1000001","1","2001","0","look_in","0","0",""
"120010017","93","","1.3","","2001","","0","","",""
"121010001","31","0","12","1","2101","0","998","","0",""
"121010002","31","0","14","1","2101","0","997","","0",""
"121010003","31","0","16","1","2101","0","996","","0",""
"121010004","32","","31000001","","2101","","0","","",""
"121010005","32","","31000002","","2101","","0","","",""
"121010006","121","1","0","0","2101","0","0","","-1",""
"121010007","35","","1","","2101","","1","","",""
"121010008","35","","3","","2101","","1","","",""
"121010009","3","","1000001","","2101","0","pointing","","0",""
"121010010","93","","1","","2101","","0","","",""
"121010011","121","1.47","505","2","2101","0","100","","-1.47",""
"121010012","3","","1000001","","2101","0.2","run_talk1","","1",""
"121010013","2","1","1000001","0","2101","","100","","-240",""
"121010014","23","","se_travel","","2101","","se_travel_treasure_cha_run","","0",""
"121010015","93","","1","","2101","","0","","",""
"122010001","31","0","11","1","2201","0","998","","0",""
"122010002","31","0","13","1","2201","0","997","","0",""
"122010003","31","0","15","1","2201","0","996","","0",""
"122010004","32","","31000001","","2201","","0","","",""
"122010005","32","","31000002","","2201","","0","","",""
"122010006","35","","1","","2201","","1","","",""
"122010007","35","","3","","2201","","1","","",""
"122010008","3","","1000001","","2201","0","pointing","","0",""
"122010009","93","","1","","2201","","0","","",""
"122010010","121","1.47","-505","2","2201","0","100","","1.47",""
"122010011","3","","1000001","","2201","0.2","run_talk1","","1",""
"122010012","2","1","1000001","0","2201","","100","","-240",""
"122010013","23","","se_travel","","2201","","se_travel_treasure_cha_run","","0",""
"122010014","93","","1","","2201","","0","","",""
"130000001","31","0","300000","1","3000","0","300000","","345.4",""
"130000002","91","","0","","3000","","","","",""
"130000003","123","1.05","1.05","7.4","3000","0","1.05","","1.05",""
"130000004","3","","1000001","","3000","0.2","wait","","0",""
"130000005","35","","2","","3000","","1","","",""
"130000006","93","","4.9","","3000","","0","","",""
"130000007","123","0.95","0.95","0.4","3000","0","0.95","","0.95",""
"130000008","32","","300000","","3000","","1","","",""
"130000009","93","","0.1","","3000","","0","","",""
"130000010","32","","2","","3000","","0","","",""
"130000011","93","","0.1","","3000","","0","","",""
"130000012","32","","996","","3000","","1","","",""
"130000013","3","","1000001","","3000","0","joy_from_wait","","0",""
"130000014","93","","1.9","","3000","","0","","",""
"130000015","3","","1000001","","3000","0","glad_from_joy","","0",""
"130000016","93","","1.5","","3000","","0","","",""
"130000017","3","","1000001","","3000","0.2","run_gatein","","1",""
"130000018","23","","se_travel","","3000","","se_travel_treasure_cha_run","","",""
"130000019","2","1","1000001","0","3000","","450","","-195",""
"130000020","93","","0.5","","3000","","1","","",""
"130000021","6","1","1000001","0","3000","0.4","1","0","1",""
"130000022","93","","0.4","","3000","","0","","",""
"130000023","113","","1","","3000","","","","",""
"130010001","31","0","300100","1","3001","0","300100","","345.4",""
"130010002","31","0","990001","1","3001","1","990001","","345.4",""
"130010003","91","","0","","3001","","","","",""
"130010004","123","1.05","1.05","7.4","3001","0","1.05","","1.05",""
"130010005","3","","1000001","","3001","0.2","wait","","0",""
"130010006","35","","2","","3001","","1","","",""
"130010007","93","","5.4","","3001","","0","","",""
"130010008","123","0.95","0.95","0.4","3001","0","0.95","","0.95",""
"130010009","3","","1000001","","3001","0.2","glad","","0",""
"130010010","32","","300100","","3001","","1","","",""
"130010011","32","","996","","3001","","1","","",""
"130010012","93","","0.1","","3001","","0","","",""
"130010013","32","","2","","3001","","0","","",""
"130010014","32","","3","","3001","","0","","",""
"130010015","93","","1.5","","3001","","0","","",""
"130010016","3","","1000001","","3001","0.2","joy","","0",""
"130010017","93","","1.7","","3001","","0","","",""
"130010018","3","","1000001","","3001","0","run_gatein","","1",""
"130010019","2","1","1000001","0","3001","","450","","-195",""
"130010020","93","","0.5","","3001","","1","","",""
"130010021","6","1","1000001","0","3001","0.4","1","0","1",""
"130010022","93","","0.4","","3001","","0","","",""
"130010023","113","","1","","3001","","","","",""
"130020001","31","0","300100","1","3002","0","300100","","345.4",""
"130020002","31","0","990002","1","3002","1","990002","","345.4",""
"130020003","91","","0","","3002","","","","",""
"130020004","123","1.05","1.05","7.4","3002","0","1.05","","1.05",""
"130020005","3","","1000001","","3002","0.2","wait","","0",""
"130020006","35","","2","","3002","","1","","",""
"130020007","93","","5.4","","3002","","0","","",""
"130020008","123","0.95","0.95","0.4","3002","0","0.95","","0.95",""
"130020009","3","","1000001","","3002","0.2","glad","","0",""
"130020010","32","","300100","","3002","","1","","",""
"130020011","32","","996","","3002","","1","","",""
"130020012","93","","0.1","","3002","","0","","",""
"130020013","32","","2","","3002","","0","","",""
"130020014","32","","3","","3002","","0","","",""
"130020015","93","","1.5","","3002","","0","","",""
"130020016","3","","1000001","","3002","0.2","joy","","0",""
"130020017","93","","1.7","","3002","","0","","",""
"130020018","3","","1000001","","3002","0","run_gatein","","1",""
"130020019","2","1","1000001","0","3002","","450","","-195",""
"130020020","93","","0.5","","3002","","1","","",""
"130020021","6","1","1000001","0","3002","0.4","1","0","1",""
"130020022","93","","0.4","","3002","","0","","",""
"130020023","113","","1","","3002","","","","",""
"130110001","31","0","6","1","3011","0","6","","345.4",""
"130110002","31","0","8","1","3011","0","8","","345.4",""
"130110003","31","0","301100","1","3011","0","301100","","345.4",""
"130110004","91","","0","","3011","","","","",""
"130110005","123","1.05","1.05","7.4","3011","0","1.05","","1.05",""
"130110006","3","","1000001","","3011","0.2","wait","","0",""
"130110007","35","","2","","3011","","1","","",""
"130110008","93","","4.9","","3011","","0","","",""
"130110009","123","0.95","0.95","0.3","3011","0","0.95","","0.95",""
"130110010","23","","se_travel","","3011","","se_travel_treasure_ghost_success","","0",""
"130110011","32","","8","","3011","","1","","",""
"130110012","35","","8","","3011","","0","","",""
"130110013","32","","6","","3011","","1","","",""
"130110014","93","","0.1","","3011","","0","","",""
"130110015","32","","2","","3011","","0","","",""
"130110016","32","","3","","3011","","0","","",""
"130110017","3","","1000001","","3011","","dotEyes","","0",""
"130110018","93","","0.87","","3011","","0","","",""
"130110019","3","","1000001","","3011","0.2","glad","","0",""
"130110020","32","","301100","","3011","","1","","",""
"130110021","35","","8","","3011","","1","","",""
"130110022","93","","0.6","","3011","","0","","",""
"130110023","32","","996","","3011","","1","","",""
"130110024","93","","0.5","","3011","","0","","",""
"130110025","3","","1000001","","3011","","joy","","0",""
"130110026","93","","1.67","","3011","","0","","",""
"130110027","3","","1000001","","3011","0","run_gatein","","1",""
"130110028","2","1","1000001","0","3011","","450","","-195",""
"130110029","93","","0.5","","3011","","1","","",""
"130110030","6","1","1000001","0","3011","0.4","1","0","1",""
"130110031","93","","0.4","","3011","","0","","",""
"130110032","113","","1","","3011","","","","",""
