5a14eaa01ded1a5b866a1f0855659b68696636a3b5a354b34cd279ae7229d979,b4eaed5108c1934b9b756a1af91320af34c2a4eab2e981a4e6a047782123abb5,850329cf114131654590a8fe7bfbf7231b2256ffd0a57e305664859c18e7596a,6c511931c6c23fb4e608677b3a910dd24def4994ef6d6f8ea9154ab4cef6e0a2,b00ed09c5547ac2b59958b0b2e1c563e14819947d40248da3557b96f43395585,cece233cfa3c67843021714b5ed6b6958ea6ab2c933d45b711d9f8973713ded7,3873b661fd01d759640d068366694ff41740a4776c27fff5d2d51ac524b76577,4c08e79f465addd93473f35c847ac7d6c1f81955cf22039750f318355f33c25c,fac334a2502892832991a0d04555e8fbfdf1678eacb50b713065a53e25c26b97,d709334efe357ca7787de419d16328ab54e97e0925747715ff1734019930eaa5,acba379d73a425e31bb4618c819c21c748682ab33b06f6a9379855934f91efdc,a13c79d9de3066e1d06cd0177fca767a8459caa66f2702449e1c5336efe2960f,ab6a2132ada5d51a7aaa2625132b3dfd1365285efa38d5c0d87f69b2ddab4ed0
"20001","0","-6","2018/08/28 16:00:00","1","2030/04/19 15:00:00","0","0","10001","0","0","2020/07/02 16:00:00","5032"
"20002","0","-3","2018/10/03 16:00:00","1","2030/04/19 15:00:00","0","0","10002","0","0","2020/08/03 16:00:00","8135"
"20003","0","-8","2018/11/01 15:59:59","1","2030/04/19 15:00:00","0","0","10003","0","0","2020/09/04 16:00:00","201"
"20004","0","-5","2018/12/01 16:00:00","1,2","2030/04/19 15:00:00","0","0","10004","0","0","2020/09/30 16:00:00","3394"
"20005","0","-3","2019/01/03 16:00:00","1,4","2030/04/19 15:00:00","0","0","10005","0","0","2020/11/02 16:00:00","3060"
"20006","0","-5","2019/02/01 12:00:00","1","2030/04/19 15:00:00","0","0","10006","0","0","2020/12/04 15:00:00","1412"
"20007","0","-2","2019/03/06 16:00:00","1,5","2030/04/19 15:00:00","0","0","10007","0","0","2021/01/20 16:00:00","3481"
"20008","0","-3","2019/04/03 16:00:00","1","2030/04/19 15:00:00","0","0","10008","0","0","2021/02/09 16:00:00","3490"
"20009","0","0","2019/05/02 16:00:00","1,6","2030/04/19 15:00:00","0","0","10009","0","0","2021/03/25 16:00:00","5402"
"20010","0","-5","2019/06/03 16:00:00","1,7","2030/04/19 15:00:00","0","0","10010","0","0","2021/04/21 16:00:00","2192"
"20011","0","0","2019/07/01 16:00:00","1,8","2030/04/19 15:00:00","0","0","10011","0","0","2021/05/26 16:00:00","5034"
"20012","0","-5","2019/07/17 16:00:00","1","2030/04/19 15:00:00","0","0","10012","0","0","2021/06/25 16:00:00","402"
"20013","0","-5","2019/08/01 16:00:00","1,9","2030/04/19 15:00:00","0","0","10013","0","0","2021/07/26 16:00:00","22"
"20014","0","-8","2019/09/03 16:00:00","1","2030/04/19 15:00:00","0","0","10015","0","0","2021/08/26 16:00:00","2174"
"20015","0","3","2019/11/01 16:00:00","1,10","2030/04/19 15:00:00","0","0","10019","0","0","2021/09/24 16:00:00","2222"
"20016","0","0","2019/12/02 16:00:00","1,11","2030/04/19 15:00:00","0","0","10021","0","0","2021/10/26 16:00:00","6040"
"20017","0","-4","2020/01/02 16:00:00","1","2030/04/19 15:00:00","0","0","10023","0","0","2021/11/25 15:00:00","6481"
"20018","0","0","2020/02/04 16:00:00","1,12","2030/04/19 15:00:00","0","0","10025","0","0","2021/12/24 16:00:00","8134"
