3694d7a4f1dcdb5657869474a13dced2c62a3849778f2314579065660532500b,2fe4ceee341232fd988cd05e3720eb32f2e8cb6c8ededbd1003f8dae070ad31a,6f509133ed72dbf23e43355acccd1729a14a54704080ed1e7d942af0ab2835c2,2287bed7334f2fb6660a99f255574955461027da91968f13aeb224d6744fae84,625fff6298afa8e1c9040799d6bc39287aa72422ae393819569c22c9a40e9375,eb54ef97ef8bce621ed553907fced6c8ca0f9a903d6ffd098900e4dafd3587e3,c5f08d378d7e54f25e1769fb93efbcb8babf1e8c1d2f14b07648e704647af2cf,2f7925b8c255188bfcdfe9977b5955beca9444af0b51264d054204464badc6f2,90f00c74f08702fb9881b82d478c34bf571c4fff85cfb9f818b179d4135383d4,66e9273c00e0271124ab7b49711c82b359424ba8f847afcc9eb056183215aa4e,9544feae03832a72b87e771ef7f9dcc87ca999cb1d21d94b30597b4256691191
"110","1","歐姆蛋","0","250","8","1","10101","0","1","1010100"
"110","1","歐姆蛋","0","222","9","1","10101","0","1","1010101"
"110","1","歐姆蛋","0","200","10","1","10101","0","1","1010102"
"110","2","歐姆蛋","0","400","9","1","10102","0","1","1010200"
"110","2","歐姆蛋","0","367","10","1","10102","0","1","1010201"
"110","2","歐姆蛋","0","338","11","1","10102","0","1","1010202"
"110","3","歐姆蛋","0","640","10","1","10103","0","1","1010300"
"110","3","歐姆蛋","0","597","11","1","10103","0","1","1010301"
"110","3","歐姆蛋","0","560","12","1","10103","0","1","1010302"
"115","1","餃子","0","275","9","2","10201","0","1","1020100"
"115","1","餃子","0","248","10","2","10201","0","1","1020101"
"115","1","餃子","0","225","11","2","10201","0","1","1020102"
"115","2","餃子","0","440","10","2","10202","0","1","1020200"
"115","2","餃子","0","406","11","2","10202","0","1","1020201"
"115","2","餃子","0","377","12","2","10202","0","1","1020202"
"115","3","餃子","0","704","11","2","10203","0","1","1020300"
"115","3","餃子","0","660","12","2","10203","0","1","1020301"
"115","3","餃子","0","621","13","2","10203","0","1","1020302"
"100","1","章魚燒","0","200","8","3","10301","0","1","1030100"
"100","1","章魚燒","0","175","9","3","10301","0","1","1030101"
"100","1","章魚燒","0","156","10","3","10301","0","1","1030102"
"100","2","章魚燒","0","320","9","3","10302","0","1","1030200"
"100","2","章魚燒","0","291","10","3","10302","0","1","1030201"
"100","2","章魚燒","0","267","11","3","10302","0","1","1030202"
"100","3","章魚燒","0","512","10","3","10303","0","1","1030300"
"100","3","章魚燒","0","475","11","3","10303","0","1","1030301"
"100","3","章魚燒","0","444","12","3","10303","0","1","1030302"
"115","1","飯糰","0","225","9","4","10401","0","1","1040100"
"115","1","飯糰","0","200","10","4","10401","0","1","1040101"
"115","1","飯糰","0","180","11","4","10401","0","1","1040102"
"115","2","飯糰","0","360","10","4","10402","0","1","1040200"
"115","2","飯糰","0","330","11","4","10402","0","1","1040201"
"115","2","飯糰","0","305","12","4","10402","0","1","1040202"
"115","3","飯糰","0","576","11","4","10403","0","1","1040300"
"115","3","飯糰","0","538","12","4","10403","0","1","1040301"
"115","3","飯糰","0","504","13","4","10403","0","1","1040302"
"150","1","沙威瑪","0","300","10","5","10501","0","1","1050100"
"150","1","沙威瑪","0","273","11","5","10501","0","1","1050101"
"150","1","沙威瑪","0","250","12","5","10501","0","1","1050102"
"150","2","沙威瑪","0","480","11","5","10502","0","1","1050200"
"150","2","沙威瑪","0","446","12","5","10502","0","1","1050201"
"150","2","沙威瑪","0","416","13","5","10502","0","1","1050202"
"150","3","沙威瑪","0","768","12","5","10503","0","1","1050300"
"150","3","沙威瑪","0","723","13","5","10503","0","1","1050301"
"150","3","沙威瑪","0","683","14","5","10503","0","1","1050302"
"60","1","輪胎（特大）","0","160","0","1","20101","0","2","2010100"
"60","2","輪胎（特大）","0","256","0","1","20102","0","2","2010200"
"60","3","輪胎（特大）","0","410","0","1","20103","0","2","2010300"
"45","1","輪胎（大）","0","145","0","2","20201","0","2","2020100"
"45","2","輪胎（大）","0","232","0","2","20202","0","2","2020200"
"45","3","輪胎（大）","0","371","0","2","20203","0","2","2020300"
"30","1","輪胎（中）","0","120","0","3","20301","0","2","2030100"
"30","2","輪胎（中）","0","192","0","3","20302","0","2","2030200"
"30","3","輪胎（中）","0","307","0","3","20303","0","2","2030300"
"15","1","輪胎（小）","0","100","0","4","20401","0","2","2040100"
"15","2","輪胎（小）","0","160","0","4","20402","0","2","2040200"
"15","3","輪胎（小）","0","256","0","4","20403","0","2","2040300"
"1","1","加農砲","4","0","0","1","30101","125","3","3010100"
"1","1","加農砲","5","0","0","1","30101","195","3","3010101"
