5a2ee75148f0515e5749f5ff50331a69f2d8e3528c3dc1c6a9f544fe33bf510e,b4c5850ad2b5bd5e4ee5d8182143dc3f771fe91e5d68b718d51aeccd7168b83a,6ef102867a90d9f007cefba490a8e44ddb0671472651dc54d6c1c351ab955c93,6a755273171243aeb527c7814181c329f42fada3a700c493f7aa83b151350a02,c027197944df0091f38f18dd0e52cfac1dca6c736a21a3ef66ea13ce71965202,f852b44a124546f6285afa43cd4f19d24ffd113eac428c5175102a8f9fae19b3
"1","0","20025","1101","0","1"
"1","0","20025","1102","0","1"
"0","5042002","20025","1103","1","1"
"1","0","20025","1104","0","1"
"0","5042003","20025","1105","1","1"
"1","0","20025","1106","0","1"
"0","5042005","20025","1107","2","1"
"0","5042007","20025","1201","1","2"
"0","5042007","20025","1202","2","2"
"1","0","20025","1203","0","2"
"1","0","20025","1204","0","2"
"0","0","20025","1301","0","1"
