bf608940e1b93af1ea95f36bd3b74ec2f9a4d8ee37d5060c07c99e750669baee,3c19a4a66a4c5a8e5aabd74a68797f7c71ee16890ae29e237419167e681fc5f0,de626b602c8838fab630015d62f7ef957f304e0a141ad77858bc59fa101d8085,67ebc460c61301124c77d2ba7b71cb2a40b4c27c95c9a1ee1b194b90a16d82e7,a49951468bc507fd9abcfbfae629364b47a924e45e68fe69e68753f6d82a13a5,074c05e45c094412138041c223ca1b33523a5b07c043cb44a16eb68f944a4aac,42085833d58706dd31f89ecde3160bf5f85288bdeb242d16c71336457a2085ec,235e056b5c2ed926188120817289a8799ed36648fa43c23202e0d0db743c60cb,3a43f0d3ef1c7a61627f42642044e94cc731c7c2670f3397b5b1f4ce4afdeb67,e2cb6840742380796c0476919d0150e3cc78853874f3c079113495d25c65506a,75040552ed49dad4b6215ec864afd97df81450ab11b1cf096042ddf2e9db5479,1da18bad35ae154f2fc8278ccc7f600aebdd42b467525393120756679bf14da9,e9f95c10fbee0563ee3d51638213890e26d51bfd2623987c58b392c90778d4ea,065e343a647befbdf91bd05427529085dc8937be4f5f71af5e42f591c6c84c91,748b59db09d59c620cae9e9426e445a1c593f343ea561cbff4580d1f4879420a,997520363038d6ae1c41491526939e457a252643c5204ca5ab7a0dea2c41cbae,670280be71975d90c88f9547e17f21ea1d8fc5c60ad86afe9f514c4fd17e479c,b8baece3168c2389a3775f51e5956db2f0f4ac7961e8c3443e18e7c7724f668c
"12","0","0","5000","0","0","0","分數累積獲得 20000 分","0","0","0","0","0","94002","0","1","20000","0"
"12","0","0","10000","0","0","0","分數累積獲得 40000 分","0","0","0","0","0","94002","0","2","40000","0"
"12","0","0","15000","0","0","0","分數累積獲得 60000 分","0","0","0","0","0","94002","0","3","60000","0"
"12","0","0","20000","0","0","0","分數累積獲得 80000 分","0","0","0","0","0","94002","0","4","80000","0"
"8","5","0","50","0","0","0","分數累積獲得 100000 分","2","0","0","0","0","91002","23001","5","100000","0"
"12","0","0","25000","0","0","0","分數累積獲得 120000 分","0","0","0","0","0","94002","0","6","120000","0"
"12","0","0","30000","0","0","0","分數累積獲得 140000 分","0","0","0","0","0","94002","0","7","140000","0"
"12","0","0","35000","0","0","0","分數累積獲得 160000 分","0","0","0","0","0","94002","0","8","160000","0"
"12","0","0","40000","0","0","0","分數累積獲得 180000 分","0","0","0","0","0","94002","0","9","180000","0"
"8","5","0","50","0","0","0","分數累積獲得 200000 分","2","0","0","0","0","91002","23001","10","200000","0"
"12","0","0","55000","0","0","0","分數累積獲得 220000 分","0","0","0","0","0","94002","0","11","220000","0"
"12","0","0","35000","0","0","0","分數累積獲得 240000 分","0","0","0","0","0","94002","0","12","240000","0"
"12","0","0","40000","0","0","0","分數累積獲得 260000 分","0","0","0","0","0","94002","0","13","260000","0"
"12","0","0","45000","0","0","0","分數累積獲得 280000 分","0","0","0","0","0","94002","0","14","280000","0"
"15","150","0","1","0","0","0","分數累積獲得 300000 分","8","2","0","0","10","11001021","91002","15","300000","23001"
