192a9f4570ebae90e55f3bab46bf6c37926552f90c424468bddc6c48de319f64,dbad8467fdc71a7ba3164a1a8894860d5078d40505dbad99a518c923e2e2902c,a67b67403d1ce77abdbdf9f0a41cd540fdc8b4dcd7e6b66113f37455b80b9b48,eb9a1d1d6b01e18b6faaa77b20465cea87f45faac50d46188cdc6568c2730891
"2","20","20","1"
"3","30","30","1"
"3","80","50","2"
"3","160","80","3"
"4","60","60","1"
"4","160","100","2"
"4","340","180","3"
"4","700","360","4"
"4","1200","500","5"
"5","100","100","1"
"5","260","160","2"
"5","540","280","3"
"5","1020","480","4"
"5","1800","780","5"
"6","100","100","1"
"6","260","160","2"
"6","540","280","3"
"6","1020","480","4"
"6","1800","780","5"
"7","100","100","1"
"7","260","160","2"
"7","540","280","3"
"7","1020","480","4"
"7","1800","780","5"
"8","100","100","1"
"8","260","160","2"
"8","540","280","3"
"8","1020","480","4"
"8","1800","780","5"
"9","100","100","1"
"9","260","160","2"
"9","540","280","3"
"9","1020","480","4"
"9","1800","780","5"
"10","100","100","1"
"10","260","160","2"
"10","540","280","3"
"10","1020","480","4"
"10","1800","780","5"
