5aa80be7ff417e666b4fc78a5b1b9ba867328ca266d9343a10a11468512f2524,319fbc35b953b22b4277050a065c340f3e55bb11290f80359fd4884eb465f006,6d26f23a5d0ddc6aa689c96c710806cc231c5a334b4619837664ce725ae394a6,046a1bd313ca687152e05c55e13e72c9d5e02203767f04b6b564c0723cedbaba,7de3c3118f3bed24622baeb3608d2d56de543cde9b9faa137ca92fbc7749585a,5363a8cd497a79c79043d9fbc5b8a66561fb37d48a8b6f213b243c9dcf8455e8,46edaaf94d00987e7d66e88e84d0297c0b3939d24a325411f396564fb44182d6,e872387c7e1a65aede25a41f0a874bad5d534b17d356df0a3a4a22e8cc7babb1
"0","2001","短時間內，展開障礙物護盾！","3","短時間內，展開障礙物護盾　　　　（TP上升率：大）","0","101","0"
"5","3","中時間內，小幅度提升速度與跳躍力！","5","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","5","102","0"
"0","1","短時間內，中幅度提升速度！","4","短時間內，中幅度提升速度　　　　（TP上升率：中）","6","103","0"
"0","2001","中時間內，展開障礙物護盾！","5","中時間內，展開障礙物護盾　　　　（TP上升率：小）","0","104","0"
"0","1","中時間內，小幅度提升速度！","6","中時間內，小幅度提升速度　　　　（TP上升率：小）","3","105","0"
"0","1001","中時間內，對戰對手小幅度減速！","6","中時間內，對戰對手小幅度減速　　（TP上升率：大）","4","106","0"
"16","3","中時間內，特大幅度提升速度與跳躍力！","5","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","17","107","0"
"0","1","回合內，中幅度提升速度！","40","回合內，中幅度提升速度　　　　　（TP上升率：小）","8","108","0"
"0","1","短時間內，特大幅度提升速度！","4","短時間內，特大幅度提升速度　　　（TP上升率：特小）","30","109","0"
"0","1001","回合內，對戰對手大幅度減速！","40","回合內，對戰對手中幅度減速　　　（TP上升率：小）","10","110","0"
"0","2001","極短時間內，展開障礙物護盾！","1","極短時間內，展開障礙物護盾　　　（TP上升率：大）","0","111","0"
"0","1004","短時間內，最前方對戰對手大幅度減速！","4","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","15","112","0"
"0","1","中時間內，小幅度提升速度！","6","中時間內，小幅度提升速度　　　　（TP上升率：大）","5","113","0"
"0","2","中時間內，小幅度提升跳躍力！","5","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","5","114","0"
"0","2002","長時間內，以護盾防止能力降低！","7","長時間內，以護盾防止能力降低　　（TP上升率：特大）","0","115","0"
"0","1","累積時，小幅度提升速度！","25","累積時，小幅度提升速度　　　　　（TP上升率：特大）","3","116","0"
"0","1001","累積時，對戰對手小幅度減速！","25","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","3","117","0"
"20","3","長時間內，特大幅度提升速度與跳躍力！","7","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","30","118","0"
"0","1004","短時間內，最前方對戰對手大幅度減速！","4","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","15","119","0"
"0","2002","長時間內，以護盾防止能力降低！","7","長時間內，以護盾防止能力降低　　（TP上升率：大）","0","120","0"
"0","2","長時間內，特大幅度提升跳躍力！","12","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","30","121","0"
"0","1004","累積時，最前方的對戰對手大幅度減速！","30","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","15","122","0"
"2","4","短時間大幅度加速後，極短時間減速！","4","短時間大幅度加速後，減速　　　　（TP上升率：大）","11","123","8"
"0","1","長時間內，中幅度提升速度！","8","長時間內，中幅度提升速度　　　　（TP上升率：大）","9","124","0"
"0","2001","短時間內，展開障礙物護盾！","4","短時間內，展開障礙物護盾　　　　（TP上升率：中）","0","125","0"
"0","1001","累積時，對戰對手小幅度減速！","30","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","3","126","0"
"0","1","長時間內，特大幅度提升速度！","10","長時間內，特大幅度提升速度　　　（TP上升率：特小）","22","127","0"
"0","2","中時間內，特大幅度提升跳躍力！","4","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","30","128","0"
"0","1001","短時間內，對戰對手特大幅度減速！","3","短時間內，對戰對手特大幅度減速　（TP上升率：大）","20","129","0"
"0","1","短時間內，特大幅度提升速度！","4","短時間內，特大幅度提升速度　　　（TP上升率：大）","30","130","0"
