2ce23c2f17caf0b7235e9ebd1e01d183d30507519e81bf04a53ebcbde2e09186,e9e0243b23d811a66530371dbd74cc948e16f7febc9f093c585e614328b5afd0,8ded5a9a6ebe61f4bff68c5bdbed69d6980fafbcf146f4e5933f2bcb53e678a3,c2877da28679461eebdbafc2cab11690b45d85e35cdeb6f01e6cd53fbe6354d3,1bd8abb8a9058ad209dd601d049a38d487675d766a87792c30fee5dfa246c5b9,178b293f44f642d63794356859a073e691c7fa7be6f0541527fd570c0946c359,fce3cfb5c72d3aa44d3f15b80f6a1204db98308efde3c075773b6aa2cde329ce,bae3f1e7238f36133a5646f8b7ada138655f27d2dfed004b5ace51d2b14d21fa,20061f7caad2d2c9c07884a6e28d6aef8738b8bc7256a145fed06cf5175db51a,9b24a5918a3f6fb2b534b42939daad8bd49887276647abaf7c42cd671c2afea5,d64a445678b2024399e6f5e3e037ce9e3f2aba3ec2722a4cfb9cf5b95ee31582,70d44fb183b2a628355cbf3decc119ac7904517d1a21a0de92e80b914929fe5b
"1","107601","107601","0","5004401","2018/12/01 16:00:00","10004","1004","0","0","2018/12/20 15:59:59","0"
"2","1000403","107601","0","5004402","2018/12/01 16:00:00","10004","1002","0","1","2018/12/20 15:59:59","0"
"3","10","107701","0","5004403","2018/12/01 16:00:00","10004","1001","0","0","2018/12/20 15:59:59","0"
"4","20","107501","0","5004404","2018/12/01 16:00:00","10004","1001","0","0","2018/12/20 15:59:59","0"
"5","30","107601","0","5004405","2018/12/01 16:00:00","10004","1001","0","0","2018/12/20 15:59:59","0"
"6","2","107501","0","5004406","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"7","5","107601","0","5004407","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"8","8","107801","0","5004408","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"9","12","107701","0","5004409","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"10","16","107501","0","5004410","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"11","20","107601","0","5004411","2018/12/01 16:00:00","10004","1003","0","0","2018/12/20 15:59:59","0"
"12","108001","108001","0","5005401","2019/01/03 16:00:00","10005","1004","0","0","2019/01/22 15:59:59","0"
"13","1000503","107901","0","5005402","2019/01/03 16:00:00","10005","1002","0","1","2019/01/22 15:59:59","0"
"14","10","108001","0","5005403","2019/01/03 16:00:00","10005","1001","0","0","2019/01/22 15:59:59","0"
"15","20","107901","0","5005404","2019/01/03 16:00:00","10005","1001","0","0","2019/01/22 15:59:59","0"
"16","30","108001","0","5005405","2019/01/03 16:00:00","10005","1001","0","0","2019/01/22 15:59:59","0"
"17","2","107901","0","5005406","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"18","5","108001","0","5005407","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"19","8","107901","0","5005408","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"20","12","108001","0","5005409","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"21","16","107901","0","5005410","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"22","20","108001","0","5005411","2019/01/03 16:00:00","10005","1003","0","0","2019/01/22 15:59:59","0"
"23","1000603","103701","0","5006402","2019/02/01 12:00:00","10006","1002","0","1","2019/02/19 15:59:59","0"
"24","10","100501","0","5006403","2019/02/01 12:00:00","10006","1001","0","0","2019/02/19 15:59:59","0"
"25","20","103701","0","5006404","2019/02/01 12:00:00","10006","1001","0","0","2019/02/19 15:59:59","0"
"26","30","104701","0","5006405","2019/02/01 12:00:00","10006","1001","0","0","2019/02/19 15:59:59","0"
"27","2","100501","0","5006406","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"28","5","103701","0","5006407","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"29","8","104701","0","5006408","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"30","12","107101","0","5006409","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"31","16","100501","0","5006410","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"32","19","104701","0","5006411","2019/02/01 12:00:00","10006","1003","0","0","2019/02/19 15:59:59","0"
"33","108201","108201","0","5007401","2019/03/06 16:00:00","10007","1004","0","0","2019/03/25 15:59:59","0"
"34","1000703","108101","0","5007402","2019/03/06 16:00:00","10007","1002","0","1","2019/03/25 15:59:59","0"
"35","10","108101","0","5007403","2019/03/06 16:00:00","10007","1001","0","0","2019/03/25 15:59:59","0"
"36","20","108201","0","5007404","2019/03/06 16:00:00","10007","1001","0","0","2019/03/25 15:59:59","0"
"37","30","108101","0","5007405","2019/03/06 16:00:00","10007","1001","0","0","2019/03/25 15:59:59","0"
"38","2","108201","0","5007406","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"39","5","108101","0","5007407","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"40","8","108201","0","5007408","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"41","12","108101","0","5007409","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"42","16","108201","0","5007410","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"43","19","108101","0","5007411","2019/03/06 16:00:00","10007","1003","0","0","2019/03/25 15:59:59","0"
"44","1000803","105601","0","5008402","2019/04/03 16:00:00","10008","1002","0","1","2019/04/17 15:59:59","0"
"45","10","101301","0","5008403","2019/04/03 16:00:00","10008","1001","0","0","2019/04/17 15:59:59","0"
"46","20","100901","0","5008404","2019/04/03 16:00:00","10008","1001","0","0","2019/04/17 15:59:59","0"
"47","30","105601","0","5008405","2019/04/03 16:00:00","10008","1001","0","0","2019/04/17 15:59:59","0"
"48","2","105601","0","5008406","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"49","4","100901","0","5008407","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"50","7","101301","0","5008408","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"51","10","105101","0","5008409","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"52","13","102701","0","5008410","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"53","15","105601","0","5008411","2019/04/03 16:00:00","10008","1003","0","0","2019/04/17 15:59:59","0"
"54","108501","108501","0","5009401","2019/05/02 16:00:00","10009","1004","0","0","2019/05/16 15:59:59","0"
"55","1000903","108401","0","5009402","2019/05/02 16:00:00","10009","1002","0","1","2019/05/16 15:59:59","0"
"56","10","108601","0","5009403","2019/05/02 16:00:00","10009","1001","0","0","2019/05/16 15:59:59","0"
"57","20","108501","0","5009404","2019/05/02 16:00:00","10009","1001","0","0","2019/05/16 15:59:59","0"
"58","30","108401","0","5009405","2019/05/02 16:00:00","10009","1001","0","0","2019/05/16 15:59:59","0"
"59","2","108601","0","5009406","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"60","4","108601","0","5009407","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"61","7","108501","0","5009408","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"62","10","108501","0","5009409","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"63","13","108401","0","5009410","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"64","15","108401","0","5009411","2019/05/02 16:00:00","10009","1003","0","0","2019/05/16 15:59:59","0"
"65","108901","108901","0","5010401","2019/06/03 16:00:00","10010","1004","0","0","2019/06/17 15:59:59","0"
"66","1001003","108801","0","5010402","2019/06/03 16:00:00","10010","1002","0","1","2019/06/17 15:59:59","0"
"67","10","108901","0","5010403","2019/06/03 16:00:00","10010","1001","0","0","2019/06/17 15:59:59","0"
"68","20","108701","0","5010404","2019/06/03 16:00:00","10010","1001","0","0","2019/06/17 15:59:59","0"
"69","30","108801","0","5010405","2019/06/03 16:00:00","10010","1001","0","0","2019/06/17 15:59:59","0"
"70","2","108801","0","5010406","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"71","4","108901","0","5010407","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"72","7","108701","0","5010408","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"73","10","108901","0","5010409","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"74","13","108801","0","5010410","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"75","15","108701","0","5010411","2019/06/03 16:00:00","10010","1003","0","0","2019/06/17 15:59:59","0"
"76","109001","109001","0","5011401","2019/07/01 16:00:00","10011","1004","0","0","2019/07/15 15:59:59","0"
"77","1001103","101101","0","5011402","2019/07/01 16:00:00","10011","1002","0","1","2019/07/15 15:59:59","0"
"78","10","101101","0","5011403","2019/07/01 16:00:00","10011","1001","0","0","2019/07/15 15:59:59","0"
"79","20","109101","0","5011404","2019/07/01 16:00:00","10011","1001","0","0","2019/07/15 15:59:59","0"
"80","30","109001","0","5011405","2019/07/01 16:00:00","10011","1001","0","0","2019/07/15 15:59:59","0"
"81","2","109101","0","5011406","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"82","4","109001","0","5011407","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"83","7","109101","0","5011408","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"84","10","109001","0","5011409","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"85","13","101101","0","5011410","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"86","15","109101","0","5011411","2019/07/01 16:00:00","10011","1003","0","0","2019/07/15 15:59:59","0"
"87","1001203","101401","0","5012402","2019/07/17 16:00:00","10012","1002","0","1","2019/07/31 15:59:59","0"
"88","10","105501","0","5012403","2019/07/17 16:00:00","10012","1001","0","0","2019/07/31 15:59:59","0"
"89","20","101401","0","5012404","2019/07/17 16:00:00","10012","1001","0","0","2019/07/31 15:59:59","0"
