f9aa62038233dacf8d961dcc1d03ed20b8e89d6f188540c19cc43dfa702a4ca0,b2ba1a645f38e0aee03e42cc67d12efc5758e93fc2a82a160f7324f4e2754b6c,2ce7a9c23e3eb0f39f42cf965affbe4db0f4a29f309860c8ca8a93cd1ae9878c,a64bf03441246c09c5e85f1488e08ca3a9d6252d2b9b80c2b3b9af25b7d9a5d8,bda828fc80718fb36c19b44684ee50e0b9259da6089781a040bdbfd7e67c6d28,b0881b96a8c5ca0b130d43174e2a41f7ddc9f9d300544a5553162d88ed4665d5,dbc67a27264ded62d8fb5f8ccf0c3d00218b5ab762870735abe38cec318b7968,8dc79abd42bea6a176dbbc2a559e01bd47d583a5880fb26c832a02c0d143058e,a67fb15a8be9e0c2afd10a8ff76349d72d38b2cc0b9cffdea79205988995048b,290a966a908d1d8a826c20251f05e2216f109d1824c459486c8c791f98d2d8c8,29808e2c9802d2ad5631b614522a900eb521e2890a9b5c7402bbfebf0aa4fa38,2911fa84961ededcf43582a278a114c05df596f7ef4e4db7b580dc3dd455b740,71707cd4b5439efbd24a8ff4b91c4c1dd963c7d3ce08b5c339484d8f818dd1cd,b2760714d8ffbf4a005b86e6077793625ce7c1d1ae415f2256c9e340ba5e2ecd
"100000","1.5","0","1.7","10050","0","10","1005001","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10050","10050101","0","1005001","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10050","0","10","1005001","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10050","0","10","1005002","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10050","10050201","0","1005002","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10050","0","10","1005002","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10050","0","10","1005003","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10050","10050301","0","1005003","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10050","0","10","1005003","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10050","0","10","1005004","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10050","10050401","0","1005004","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10050","0","10","1005004","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10050","0","10","1005005","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10050","0","0","1005005","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10050","0","10","1005005","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10077","0","10","1007701","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10077","10077101","0","1007701","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10077","0","10","1007701","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10077","0","10","1007702","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10077","10077201","0","1007702","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10077","0","10","1007702","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10077","0","10","1007703","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10077","10077301","0","1007703","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10077","0","10","1007703","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10077","0","10","1007704","-30","0","30","2","0","0"
"100000","1.5","1","1.7","10077","10077401","0","1007704","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10077","0","10","1007704","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","10077","0","10","1007705","-30","0","30","2","0","0"
