8a6fa37607f975a6c15a396f8e95b43e75375030b675c1d25dcb388567b77da7,af75006441851009e4eaa7210be95cf69c0f87a40a49c7b9715a3231e13c2447,bcca10f3aa6e8e65f5141238d16df8585edca3a152ac2e1851d3c696eb3f2812,ac01e77bf95e8fa319348b8168a2299a6bdeb211a66bc88db6b3db9a589c72e0,fd5772dc1b07f23ff1c9ba1fd3cb9068810dc0db10f11cfbee9a15730f3d9895,278409e47948583a05284692ef5c0da24af12fbf90016d6c32238e2ffa01e49d,44924c1cb061c3065a02579355146e262128348270bde2b41c66af0d265b6e9c
"300","1","0","0","0","10101","2"
"360","1","0","0","1","10101","2"
"420","1","0","0","2","10101","2"
"480","1","0","0","3","10101","2"
"540","1","0","0","4","10101","2"
"600","1","0","0","5","10101","2"
"900","2","0","0","0","10101","2"
"960","2","0","0","1","10101","2"
"1020","2","0","0","2","10101","2"
"1080","2","0","0","3","10101","2"
"1140","2","0","0","4","10101","2"
"1200","2","0","0","5","10101","2"
"1500","3","0","0","0","10101","2"
"1560","3","0","0","1","10101","2"
"1620","3","0","0","2","10101","2"
"1680","3","0","0","3","10101","2"
"1740","3","0","0","4","10101","2"
"1800","3","0","0","5","10101","2"
"2100","4","0","0","0","10101","2"
"2160","4","0","0","1","10101","2"
"2220","4","0","0","2","10101","2"
"2280","4","0","0","3","10101","2"
"2340","4","0","0","4","10101","2"
"2400","4","0","0","5","10101","2"
"2700","5","0","0","0","10101","2"
"2760","5","0","0","1","10101","2"
"2820","5","0","0","2","10101","2"
"2880","5","0","0","3","10101","2"
"2940","5","0","0","4","10101","2"
"3000","5","0","0","5","10101","2"
"150","1","0","0","0","10102","5"
"180","1","0","0","1","10102","5"
"210","1","0","0","2","10102","5"
"240","1","0","0","3","10102","5"
"270","1","0","0","4","10102","5"
"300","1","0","0","5","10102","5"
"450","2","0","0","0","10102","5"
"480","2","0","0","1","10102","5"
"510","2","0","0","2","10102","5"
"540","2","0","0","3","10102","5"
"570","2","0","0","4","10102","5"
"600","2","0","0","5","10102","5"
"750","3","0","0","0","10102","5"
"780","3","0","0","1","10102","5"
"810","3","0","0","2","10102","5"
"840","3","0","0","3","10102","5"
"870","3","0","0","4","10102","5"
"900","3","0","0","5","10102","5"
"1050","4","0","0","0","10102","5"
"1080","4","0","0","1","10102","5"
"1110","4","0","0","2","10102","5"
"1140","4","0","0","3","10102","5"
"1170","4","0","0","4","10102","5"
"1200","4","0","0","5","10102","5"
"1350","5","0","0","0","10102","5"
"1380","5","0","0","1","10102","5"
"1410","5","0","0","2","10102","5"
"1440","5","0","0","3","10102","5"
"1470","5","0","0","4","10102","5"
"1500","5","0","0","5","10102","5"
"150","1","0","0","0","10103","7"
"180","1","0","0","1","10103","7"
"210","1","0","0","2","10103","7"
"240","1","0","0","3","10103","7"
"270","1","0","0","4","10103","7"
"300","1","0","0","5","10103","7"
"450","2","0","0","0","10103","7"
"480","2","0","0","1","10103","7"
"510","2","0","0","2","10103","7"
"540","2","0","0","3","10103","7"
"570","2","0","0","4","10103","7"
"600","2","0","0","5","10103","7"
"750","3","0","0","0","10103","7"
"780","3","0","0","1","10103","7"
"810","3","0","0","2","10103","7"
"840","3","0","0","3","10103","7"
"870","3","0","0","4","10103","7"
"900","3","0","0","5","10103","7"
"1050","4","0","0","0","10103","7"
"1080","4","0","0","1","10103","7"
"1110","4","0","0","2","10103","7"
"1140","4","0","0","3","10103","7"
"1170","4","0","0","4","10103","7"
"1200","4","0","0","5","10103","7"
"1350","5","0","0","0","10103","7"
"1380","5","0","0","1","10103","7"
"1410","5","0","0","2","10103","7"
"1440","5","0","0","3","10103","7"
"1470","5","0","0","4","10103","7"
"1500","5","0","0","5","10103","7"
"300","1","0","0","0","10104","10"
"360","1","0","0","1","10104","10"
"420","1","0","0","2","10104","10"
"480","1","0","0","3","10104","10"
"540","1","0","0","4","10104","10"
"600","1","0","0","5","10104","10"
"900","2","0","0","0","10104","10"
"960","2","0","0","1","10104","10"
"1020","2","0","0","2","10104","10"
"1080","2","0","0","3","10104","10"
"1140","2","0","0","4","10104","10"
"1200","2","0","0","5","10104","10"
"1500","3","0","0","0","10104","10"
"1560","3","0","0","1","10104","10"
"1620","3","0","0","2","10104","10"
"1680","3","0","0","3","10104","10"
"1740","3","0","0","4","10104","10"
"1800","3","0","0","5","10104","10"
"2100","4","0","0","0","10104","10"
"2160","4","0","0","1","10104","10"
"2220","4","0","0","2","10104","10"
"2280","4","0","0","3","10104","10"
"2340","4","0","0","4","10104","10"
"2400","4","0","0","5","10104","10"
"2700","5","0","0","0","10104","10"
"2760","5","0","0","1","10104","10"
"2820","5","0","0","2","10104","10"
"2880","5","0","0","3","10104","10"
"2940","5","0","0","4","10104","10"
"3000","5","0","0","5","10104","10"
"300","1","0","0","0","10201","2"
"360","1","0","0","1","10201","2"
"420","1","0","0","2","10201","2"
"480","1","0","0","3","10201","2"
"540","1","0","0","4","10201","2"
"600","1","0","0","5","10201","2"
"900","2","0","0","0","10201","2"
"960","2","0","0","1","10201","2"
"1020","2","0","0","2","10201","2"
"1080","2","0","0","3","10201","2"
"1140","2","0","0","4","10201","2"
"1200","2","0","0","5","10201","2"
"1500","3","0","0","0","10201","2"
"1560","3","0","0","1","10201","2"
"1620","3","0","0","2","10201","2"
"1680","3","0","0","3","10201","2"
"1740","3","0","0","4","10201","2"
"1800","3","0","0","5","10201","2"
"2100","4","0","0","0","10201","2"
"2160","4","0","0","1","10201","2"
"2220","4","0","0","2","10201","2"
"2280","4","0","0","3","10201","2"
"2340","4","0","0","4","10201","2"
"2400","4","0","0","5","10201","2"
"2700","5","0","0","0","10201","2"
"2760","5","0","0","1","10201","2"
"2820","5","0","0","2","10201","2"
"2880","5","0","0","3","10201","2"
"2940","5","0","0","4","10201","2"
"3000","5","0","0","5","10201","2"
"150","1","0","0","0","10202","5"
"180","1","0","0","1","10202","5"
"210","1","0","0","2","10202","5"
"240","1","0","0","3","10202","5"
"270","1","0","0","4","10202","5"
"300","1","0","0","5","10202","5"
"450","2","0","0","0","10202","5"
"480","2","0","0","1","10202","5"
"510","2","0","0","2","10202","5"
"540","2","0","0","3","10202","5"
"570","2","0","0","4","10202","5"
"600","2","0","0","5","10202","5"
"750","3","0","0","0","10202","5"
"780","3","0","0","1","10202","5"
"810","3","0","0","2","10202","5"
"840","3","0","0","3","10202","5"
"870","3","0","0","4","10202","5"
"900","3","0","0","5","10202","5"
"1050","4","0","0","0","10202","5"
"1080","4","0","0","1","10202","5"
"1110","4","0","0","2","10202","5"
"1140","4","0","0","3","10202","5"
"1170","4","0","0","4","10202","5"
"1200","4","0","0","5","10202","5"
"1350","5","0","0","0","10202","5"
"1380","5","0","0","1","10202","5"
"1410","5","0","0","2","10202","5"
"1440","5","0","0","3","10202","5"
"1470","5","0","0","4","10202","5"
"1500","5","0","0","5","10202","5"
"150","1","0","0","0","10203","6"
"180","1","0","0","1","10203","6"
